shot_id,cohort,era,block,pc1,pc2,cluster_pc1_sign,nn_distance_to_development
160715,development,earlier,A,0.3365772510367898,1.1435646752564075,1,0.0
160715,development,earlier,B,0.5790451348068806,0.8824285781038604,1,0.0
160715,development,earlier,C,0.1327162820551046,1.079387254529567,1,0.0
160720,development,earlier,A,0.7069893004551867,0.738432043539003,1,0.0
160720,development,earlier,B,1.2136027895840344,0.8982297971827657,1,0.0
160720,development,earlier,C,1.1781545068057753,0.8169223511939541,1,0.0
161138,development,earlier,A,-3.288686379729147,-2.0555959283069005,0,0.0
161138,development,earlier,B,-3.229664389297095,-2.2127408636858292,0,0.0
161138,development,earlier,C,-3.17402824279682,-2.324187376111218,0,0.0
165022,development,earlier,A,0.9150119238849936,0.5521419267643607,1,0.0
165022,development,earlier,B,1.4268565830327546,0.24548807886416352,1,0.0
165022,development,earlier,C,1.263328374335156,0.0010903586879875693,1,0.0
165028,development,earlier,A,1.2508393304800778,0.17863450213976448,1,0.0
165028,development,earlier,B,0.9906142585167589,0.39645688703931437,1,0.0
165028,development,earlier,C,1.3211528435031656,0.2983947116009824,1,0.0
165042,development,earlier,A,1.0620562378236036,-1.6316120216470982,1,0.0
165042,development,earlier,B,1.0841211606641306,-1.6012302300954115,1,0.0
165042,development,earlier,C,1.3441042155678522,-1.2876475251062234,1,0.0
165861,development,earlier,A,1.2862428588633106,0.9805394921487935,1,0.0
165861,development,earlier,B,1.8831816533977608,0.5921156340644773,1,0.0
165861,development,earlier,C,1.7891438786954064,0.6306037676938461,1,0.0
170396,development,earlier,A,1.0441915413804463,1.087348126300028,1,0.0
170396,development,earlier,B,0.9504060017912489,1.138387755795749,1,0.0
170396,development,earlier,C,1.0315571113184563,1.0940597742525855,1,0.0
187017,development,earlier,A,-2.4873085828842383,-3.0314498141252106,0,0.0
187017,development,earlier,B,-3.75584954498818,-0.9393087058954686,0,0.0
187017,development,earlier,C,-2.8857817088325,-2.0107721251969553,0,0.0
187020,development,earlier,A,-2.7917175261902623,-0.9193889304381339,0,0.0
187020,development,earlier,B,-3.812044536358702,-0.9398088368851344,0,0.0
187020,development,earlier,C,-1.855489118277899,-1.3825961520577454,0,0.0
187024,development,earlier,A,-2.807491756562347,-0.9023277350876968,0,0.0
187024,development,earlier,B,-3.92670782339664,-0.7508943780934004,0,0.0
187024,development,earlier,C,-1.8349151099933405,-1.7456165485173445,0,0.0
189647,development,later,A,-2.1670151473952304,2.4955054112794643,0,0.0
189647,development,later,B,-3.703845136581229,2.3939657468047093,0,0.0
189647,development,later,C,-1.8663326531190245,2.233749220671943,0,0.0
189651,development,later,A,-3.6322493647296326,0.9443924284085987,0,0.0
189651,development,later,B,-4.801270972826017,0.9426459886614827,0,0.0
189651,development,later,C,-3.177155777764279,0.8724955288843134,0,0.0
195264,development,later,A,-0.5615361564203682,1.1286038585551812,0,0.0
195264,development,later,B,-0.44062993251244487,1.2493541593021376,0,0.0
195264,development,later,C,-0.4363061435133826,1.2478585527447525,0,0.0
195267,development,later,A,-0.41130713907609284,1.2178954901132062,0,0.0
195267,development,later,B,0.83563190807629,2.4515553039015847,1,0.0
195267,development,later,C,1.3434171146565244,2.9447674128524226,1,0.0
195273,development,later,A,-0.2766572593936458,0.8685972138208139,0,0.0
195273,development,later,B,-0.07214139721027937,0.8828197809105358,0,0.0
195273,development,later,C,-0.5516452988723725,0.8853440708596652,0,0.0
195638,development,later,A,1.3961555314827634,-0.4473738692162091,1,0.0
195638,development,later,B,2.432253993713312,-0.7906359795531128,1,0.0
195638,development,later,C,2.4817469578193045,-0.8082371257972693,1,0.0
195647,development,later,A,0.23718250375176633,-2.1849974964430765,1,0.0
195647,development,later,B,0.4866596990378704,-2.4496472454837135,1,0.0
195647,development,later,C,0.7665644805333779,-2.649431914671167,1,0.0
195650,development,later,A,3.300714693953661,-1.5887860068825141,1,0.0
195650,development,later,B,3.3300269727067544,-0.9921616772606068,1,0.0
195650,development,later,C,3.00588100395123,-1.290870823836086,1,0.0
195655,development,later,A,1.5495926875255073,-3.262403974265879,1,0.0
195655,development,later,B,1.2143581799511016,-3.1440183717254437,1,0.0
195655,development,later,C,1.5217914912058954,-3.3296741086132546,1,0.0
155537,external,earlier,A,0.8713577103963519,0.7693884181972789,1,0.6359186290021624
155537,external,earlier,B,1.13943722722515,0.5989666919231385,1,0.87445749379415
155537,external,earlier,C,1.1497336537958804,0.5723200650879432,1,0.8732367180348146
159310,external,earlier,A,-0.8704435115759871,-0.9647302464982369,0,2.1030434685406854
159310,external,earlier,B,-0.7054269747372613,-0.46833574379923265,0,2.053718823295687
159310,external,earlier,C,-0.9240607752261105,-0.3331398087641672,0,1.8593514184482673
160717,external,earlier,A,1.4489519623956701,0.5108541964318982,1,0.5136519274488132
160717,external,earlier,B,1.6128471890569283,0.6407709450267118,1,0.6961894827497861
160717,external,earlier,C,1.4931089832635593,0.6216774439743556,1,0.724202418245379
160719,external,earlier,A,0.984100604838808,0.8084789971259081,1,0.6452409560287476
160719,external,earlier,B,1.1186939437743864,1.0200873701760267,1,0.5075808206549358
160719,external,earlier,C,0.6762009282125856,0.9133579761032137,1,1.3961066736963756
160721,external,earlier,A,0.5759205743585118,0.8875956000852414,1,0.20713976190137035
160721,external,earlier,B,0.7061057834748169,0.45349595058898656,1,1.3253526396201456
160721,external,earlier,C,0.6927906971110267,0.46354869934253384,1,1.3266664687187577
161136,external,earlier,A,-3.234174913489997,-2.139647852590593,0,0.2028290586572085
161136,external,earlier,B,-3.1939003226030964,-2.249157583285178,0,0.09608114713206889
161136,external,earlier,C,-3.1468264304559717,-2.3676270535627024,0,0.0994240472148259
161145,external,earlier,A,-2.525574143568369,-2.6179010294962466,0,1.319546612284893
161145,external,earlier,B,-2.5313736418273174,-2.708524723024563,0,1.190149100804996
161145,external,earlier,C,-2.678821787694926,-2.684073150685089,0,0.8935646964404732
161414,external,earlier,A,-0.5899588344778504,0.5363855999438238,0,2.0180301619032943
161414,external,earlier,B,-1.3375960052658609,0.9668935869471084,0,2.057581198751325
161414,external,earlier,C,-0.19737111878591604,1.3795048959330665,0,1.2796312209351235
165017,external,earlier,A,0.7653870968864896,0.5976059017723528,1,0.8795667482922417
165017,external,earlier,B,0.7377025440952988,0.7199486427441076,1,0.8468686681970171
165017,external,earlier,C,0.7847572606264087,0.6197501775389069,1,0.861494744596867
165026,external,earlier,A,1.4251748162038547,-0.019472997558016802,1,0.7607026709120257
165026,external,earlier,B,1.5444664368293606,-0.027350674608322224,1,0.6569095306286695
165026,external,earlier,C,1.5766487261574371,0.09102181069081629,1,0.7739053033618731
165027,external,earlier,A,1.564567579094746,0.030213989202425785,1,0.5633267122505704
165027,external,earlier,B,1.6901115940936464,-0.1961679282413013,1,0.897976999314682
165027,external,earlier,C,1.7370564916081122,-0.22891923730661737,1,1.0386012415405725
165029,external,earlier,A,1.3852508795417842,0.24557129106975142,1,0.6933012720342746
