shot,rel10_rmse,raw10_rmse,raw10_minus_rel10,rel10_over_raw10,rel141_rmse,rel10_better
160715,0.0592396023515705,0.0409715391516841,-0.0182680631998863,1.44587202673189,0.034560416967247,False
160717,0.1278814865048245,0.1464054125377836,0.0185239260329591,0.8734751283312115,0.0956397391797928,True
160719,0.0806395571376043,0.1638025941177975,0.0831630369801932,0.4922971920677453,0.1410602194376436,True
160720,0.0800411692748638,0.0916593037908794,0.0116181345160156,0.873246533243124,0.081468452308105,True
161136,0.1429394395040197,0.2638985373536751,0.1209590978496553,0.5416454404688618,0.2187852089979649,True
161138,0.151597733660613,0.2670973364946259,0.1154996028340129,0.567574861098112,0.0596449888451936,True
161145,0.083208226578582,0.1379106115821365,0.0547023850035544,0.6033489781823286,0.0536873834469119,True
161414,0.1206330103766716,0.2415875333324203,0.1209545229557487,0.499334583671098,0.0645690991684303,True
165017,0.0363317901506135,0.0742665014212656,0.037934711270652,0.4892083167419847,0.0492863541402371,True
165026,0.0328738124452246,0.1128351283421441,0.0799613158969194,0.2913437767850373,0.0304657367355218,True
165027,0.0295164195203192,0.1584238744914342,0.1289074549711149,0.1863129507157408,0.0222568495441697,True
165028,0.0282383784864001,0.0780142517945577,0.0497758733081575,0.3619643569839385,0.0299488411424198,True
165029,0.0294122893539956,0.1137278178973979,0.0843155285434023,0.2586200095787521,0.0251371501941227,True
165031,0.030415258911953,0.0856090419815583,0.0551937830696052,0.3552809166875738,0.0249716725066186,True
165042,0.0300969035178035,0.0838999277177192,0.0538030241999157,0.3587238313132329,0.0210339058185114,True
165043,0.0359116776509374,0.0589044691012087,0.0229927914502712,0.6096596438079187,0.040023016309088,True
165860,0.0869060481190562,0.2132972842738282,0.1263912361547719,0.4074409499161154,0.066198593059096,True
165955,0.2719320900927401,0.261878064237418,-0.0100540258553221,1.0383920122695238,0.3293869494572093,False
165965,0.032574082146851,0.0759407234973105,0.0433666413504594,0.4289408981994317,0.0242717339217262,True
170394,0.1415671216731635,0.1628080979117037,0.0212409762385402,0.8695336625696595,0.1102421107538133,True
170396,0.0495071248403805,0.0974953619140574,0.0479882370736768,0.5077895385836028,0.0694584356740599,True
170411,0.0323128777986234,0.0979223277424751,0.0656094499438516,0.3299847802188969,0.0530697206504584,True
186997,0.079188968374906,0.2709332047104301,0.1917442363355241,0.2922822562835816,0.0493930910248135,True
187017,0.0814812070912181,0.1482179972651551,0.066736790173937,0.5497389560962155,0.0610399095843272,True
187018,0.0423939151729592,0.0960344838265213,0.053640568653562,0.4414447132296822,0.0279559158315135,True
187019,0.0727282345118407,0.207602380603814,0.1348741460919733,0.3503246653545578,0.0389818950619614,True
187020,0.1735527387701169,0.234423226958537,0.06087048818842,0.7403393470085353,0.1403430514895189,True
187021,0.0817678433246462,0.1175046997505932,0.035736856425947,0.6958687056619912,0.0541540324670009,True
187022,0.0724354611366161,0.1464802133967445,0.0740447522601284,0.4945067969038473,0.0690621382805612,True
187024,0.5183510562137694,0.5583975338812417,0.0400464776674722,0.928283211802312,0.4417397090470821,True
189646,0.0747835696578879,0.1460954391346832,0.0713118694767953,0.5118816172553209,0.0431235900668564,True
189647,0.0269313151726753,0.0877154234516962,0.0607841082790209,0.3070305553219613,0.0444440171953309,True
189649,0.0529401964003877,0.1545402054289846,0.1016000090285968,0.342565847207413,0.0466668297611548,True
189650,0.026019131458224,0.1871698450587374,0.1611507136005134,0.1390134797090777,0.0917890547008753,True
189651,0.2036626127805586,0.1017953628289543,-0.1018672499516042,2.0007061925086966,0.0442456515228125,False
189652,0.2059769334868166,0.1643266204399981,-0.0416503130468184,1.2534605344848957,0.0438258408563827,False
195261,0.112077779222722,0.3072198196456379,0.1951420404229158,0.364812984240398,0.0779291369392345,True
195265,0.1188525302812388,0.3642196264665024,0.2453670961852636,0.3263210481936227,0.1336945542868702,True
195266,0.1237288884254312,0.3518352662496675,0.2281063778242362,0.3516671018920297,0.1191831691786145,True
195267,0.0983242594736132,0.2373396489021744,0.1390153894285611,0.4142765860167767,0.1273800208506969,True
195268,0.2253507237332147,0.1761294275122882,-0.0492212962209265,1.27946094480715,0.1716983148058809,False
195269,0.1403326563054376,0.1914582968942963,0.0511256405888586,0.7329672235772317,0.0695872114370211,True
195273,0.1322286487217306,0.2082310993959173,0.0760024506741866,0.6350091273845678,0.0746873513441523,True
195274,0.1860213766910823,0.1368963284389664,-0.0491250482521159,1.3588485448243248,0.0715392521766403,False
195638,0.0823051330530662,0.0642046225137697,-0.0181005105392964,1.2819191178238694,0.0755361990599391,False
195642,0.0662981352671069,0.0798392995391355,0.0135411642720286,0.8303947510788082,0.0776700095163738,True
195645,0.0593234041522197,0.0862181745293036,0.0268947703770839,0.6880614728401262,0.1233663739026639,True
195647,0.0776364734898316,0.0968850098709639,0.0192485363811323,0.8013259594361561,0.1070774696110015,True
195648,0.0801115680116167,0.1289269001486379,0.0488153321370212,0.6213720171605559,0.1396087687902298,True
195649,0.0421309044681855,0.1129351433076006,0.070804238839415,0.3730539780113791,0.0701540445096493,True
195650,0.0387945602426677,0.0637071786495457,0.024912618406878,0.6089511584883905,0.1406154782344401,True
195651,0.1034785692135334,0.0883676983540633,-0.01511087085947,1.1709999370915525,0.1164911503259787,False
195652,0.0672755364022296,0.0790482013254502,0.0117726649232205,0.8510697937989605,0.1060784313223886,True
195655,0.1089266218026766,0.0804849496940869,-0.0284416721085896,1.3533787648087356,0.1332860712694728,False
195659,0.0346532482818703,0.0890843141494664,0.054431065867596,0.3889938269461095,0.016656053844223,True
