coordinate_id,constructor,ordered_operands,first_rejecting_class,rejection_reason,value_min,value_max,denominator_category,signal_families
"PROD(prmtan_neped,pinj_15r)",C2,prmtan_neped|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,1.4181322223392773e+26,none,density|neutral_beams
"PROD(prmtan_neped,pinj_21l)",C2,prmtan_neped|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-5.374581851482518e+20,1.6687608654520367e+26,none,density|neutral_beams
"PROD(prmtan_neped,pinj_21r)",C2,prmtan_neped|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,1.4025413363904005e+26,none,density|neutral_beams
"PROD(prmtan_neped,pinj_33l)",C2,prmtan_neped|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,1.7616903081089565e+26,none,density|neutral_beams
"PROD(prmtan_teped,pinj_15r)",C2,prmtan_teped|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-6452541587.550403,6674906205.522512,none,density|neutral_beams
"PROD(prmtan_teped,pinj_21l)",C2,prmtan_teped|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-8007272460.671085,8148928634.955397,none,density|neutral_beams
"PROD(prmtan_teped,pinj_21r)",C2,prmtan_teped|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-6095575954.44681,6453486885.480979,none,density|neutral_beams
"PROD(prmtan_teped,pinj_33l)",C2,prmtan_teped|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-10265985070.317877,11481259802.462769,none,density|neutral_beams
"PROD(fs04,pinj_15r)",C2,fs04|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9.881535903753852e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs04,pinj_21l)",C2,fs04|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-3.777088118377511e+17,6.036590167125966e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs04,pinj_21r)",C2,fs04|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6.187033408142624e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs04,pinj_33l)",C2,fs04|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-7.480154849402415e+19,1.4140961661928312e+23,none,filterscope_dalpha|neutral_beams
"PROD(fs03da,pinj_15r)",C2,fs03da|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-4.4107244011282386e+18,5.841548618717957e+22,none,filterscope_dalpha|neutral_beams
