coordinate_id,constructor,ordered_operands,operand_roles,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_resolution_rule,temporal_resolution_bound_ms,provenance_lineage,target_independence,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,numerical_realization_id,domain_predicate
ID(ece9),C0,ece9,level,ece9,1,0,eV,eV,inherit,0.2,ece9:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece10),C0,ece10,level,ece10,1,0,eV,eV,inherit,0.2,ece10:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece11),C0,ece11,level,ece11,1,0,eV,eV,inherit,0.2,ece11:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece12),C0,ece12,level,ece12,1,0,eV,eV,inherit,0.2,ece12:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece13),C0,ece13,level,ece13,1,0,eV,eV,inherit,0.2,ece13:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece14),C0,ece14,level,ece14,1,0,eV,eV,inherit,0.2,ece14:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece15),C0,ece15,level,ece15,1,0,eV,eV,inherit,0.2,ece15:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece16),C0,ece16,level,ece16,1,0,eV,eV,inherit,0.2,ece16:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece18),C0,ece18,level,ece18,1,0,eV,eV,inherit,0.2,ece18:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece19),C0,ece19,level,ece19,1,0,eV,eV,inherit,0.2,ece19:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece20),C0,ece20,level,ece20,1,0,eV,eV,inherit,0.2,ece20:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece21),C0,ece21,level,ece21,1,0,eV,eV,inherit,0.2,ece21:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece22),C0,ece22,level,ece22,1,0,eV,eV,inherit,0.2,ece22:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece25),C0,ece25,level,ece25,1,0,eV,eV,inherit,0.2,ece25:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece27),C0,ece27,level,ece27,1,0,eV,eV,inherit,0.2,ece27:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece28),C0,ece28,level,ece28,1,0,eV,eV,inherit,0.2,ece28:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece29),C0,ece29,level,ece29,1,0,eV,eV,inherit,0.2,ece29:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece30),C0,ece30,level,ece30,1,0,eV,eV,inherit,0.2,ece30:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece31),C0,ece31,level,ece31,1,0,eV,eV,inherit,0.2,ece31:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece33),C0,ece33,level,ece33,1,0,eV,eV,inherit,0.2,ece33:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece35),C0,ece35,level,ece35,1,0,eV,eV,inherit,0.2,ece35:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece36),C0,ece36,level,ece36,1,0,eV,eV,inherit,0.2,ece36:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece37),C0,ece37,level,ece37,1,0,eV,eV,inherit,0.2,ece37:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece38),C0,ece38,level,ece38,1,0,eV,eV,inherit,0.2,ece38:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(ece39),C0,ece39,level,ece39,1,0,eV,eV,inherit,0.2,ece39:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(cerqrott3),C0,cerqrott3,level,cerqrott3,1,0,m s^-1,m/s,inherit,10.0,cerqrott3:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqrott6),C0,cerqrott6,level,cerqrott6,1,0,m s^-1,m/s,inherit,9.98003992015968,cerqrott6:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqrott8),C0,cerqrott8,level,cerqrott8,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott8:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqrott10),C0,cerqrott10,level,cerqrott10,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott10:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqrott11),C0,cerqrott11,level,cerqrott11,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott11:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
