coordinate_id,constructor,ordered_operands,operand_roles,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_resolution_rule,temporal_resolution_bound_ms,provenance_lineage,target_independence,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,numerical_realization_id,domain_predicate
"PROD(prmtan_neped,gasa)",C2,prmtan_neped|gasa,level|level,gasa|prmtan_neped,2,1,(m^-3)*(V),m^-3*V,coarser_of_operands,13.267605633802816,gasa:gas_injection|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,gasb)",C2,prmtan_neped|gasb,level|level,gasb|prmtan_neped,2,1,(m^-3)*(V),m^-3*V,coarser_of_operands,13.267605633802816,gasb:gas_injection|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,gasc)",C2,prmtan_neped|gasc,level|level,gasc|prmtan_neped,2,1,(m^-3)*(V),m^-3*V,coarser_of_operands,13.267605633802816,gasc:gas_injection|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,gasd)",C2,prmtan_neped|gasd,level|level,gasd|prmtan_neped,2,1,(m^-3)*(V),m^-3*V,coarser_of_operands,13.267605633802816,gasd:gas_injection|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,pinj)",C2,prmtan_neped|pinj,level|level,pinj|prmtan_neped,2,1,(m^-3)*(W),m^-3*W,coarser_of_operands,13.267605633802816,pinj:neutral_beams|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,pinj_15l)",C2,prmtan_neped|pinj_15l,level|level,pinj_15l|prmtan_neped,2,1,(m^-3)*(W),m^-3*W,coarser_of_operands,13.267605633802816,pinj_15l:neutral_beams|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,pinj_30l)",C2,prmtan_neped|pinj_30l,level|level,pinj_30l|prmtan_neped,2,1,(m^-3)*(W),m^-3*W,coarser_of_operands,13.267605633802816,pinj_30l:neutral_beams|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,pinj_30r)",C2,prmtan_neped|pinj_30r,level|level,pinj_30r|prmtan_neped,2,1,(m^-3)*(W),m^-3*W,coarser_of_operands,13.267605633802816,pinj_30r:neutral_beams|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,pinj_33r)",C2,prmtan_neped|pinj_33r,level|level,pinj_33r|prmtan_neped,2,1,(m^-3)*(W),m^-3*W,coarser_of_operands,13.267605633802816,pinj_33r:neutral_beams|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,tinj)",C2,prmtan_neped|tinj,level|level,prmtan_neped|tinj,2,1,(m^-3)*(N m),m^-3*N m,coarser_of_operands,13.267605633802816,prmtan_neped:density|tinj:neutral_beams,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece1)",C2,prmtan_neped|ece1,level|level,ece1|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece1:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece2)",C2,prmtan_neped|ece2,level|level,ece2|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece2:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece3)",C2,prmtan_neped|ece3,level|level,ece3|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece3:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece4)",C2,prmtan_neped|ece4,level|level,ece4|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece4:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece5)",C2,prmtan_neped|ece5,level|level,ece5|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece5:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece6)",C2,prmtan_neped|ece6,level|level,ece6|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece6:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece7)",C2,prmtan_neped|ece7,level|level,ece7|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece7:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece8)",C2,prmtan_neped|ece8,level|level,ece8|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece8:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece9)",C2,prmtan_neped|ece9,level|level,ece9|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece9:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece10)",C2,prmtan_neped|ece10,level|level,ece10|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece10:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece11)",C2,prmtan_neped|ece11,level|level,ece11|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece11:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece12)",C2,prmtan_neped|ece12,level|level,ece12|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece12:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece13)",C2,prmtan_neped|ece13,level|level,ece13|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece13:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece14)",C2,prmtan_neped|ece14,level|level,ece14|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece14:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece15)",C2,prmtan_neped|ece15,level|level,ece15|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece15:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece16)",C2,prmtan_neped|ece16,level|level,ece16|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece16:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece18)",C2,prmtan_neped|ece18,level|level,ece18|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece18:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece19)",C2,prmtan_neped|ece19,level|level,ece19|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece19:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece20)",C2,prmtan_neped|ece20,level|level,ece20|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece20:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece21)",C2,prmtan_neped|ece21,level|level,ece21|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece21:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece22)",C2,prmtan_neped|ece22,level|level,ece22|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece22:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece25)",C2,prmtan_neped|ece25,level|level,ece25|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece25:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece27)",C2,prmtan_neped|ece27,level|level,ece27|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece27:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece28)",C2,prmtan_neped|ece28,level|level,ece28|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece28:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece29)",C2,prmtan_neped|ece29,level|level,ece29|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece29:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece30)",C2,prmtan_neped|ece30,level|level,ece30|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece30:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece31)",C2,prmtan_neped|ece31,level|level,ece31|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece31:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece33)",C2,prmtan_neped|ece33,level|level,ece33|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece33:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece35)",C2,prmtan_neped|ece35,level|level,ece35|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece35:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece36)",C2,prmtan_neped|ece36,level|level,ece36|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece36:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece37)",C2,prmtan_neped|ece37,level|level,ece37|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece37:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece38)",C2,prmtan_neped|ece38,level|level,ece38|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece38:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,ece39)",C2,prmtan_neped|ece39,level|level,ece39|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,ece39:ece_te_profile|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqrott3)",C2,prmtan_neped|cerqrott3,level|level,cerqrott3|prmtan_neped,2,1,(m^-3)*(m s^-1),m^-3*m/s,coarser_of_operands,13.267605633802816,cerqrott3:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqrott6)",C2,prmtan_neped|cerqrott6,level|level,cerqrott6|prmtan_neped,2,1,(m^-3)*(m s^-1),m^-3*m/s,coarser_of_operands,13.267605633802816,cerqrott6:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqrott8)",C2,prmtan_neped|cerqrott8,level|level,cerqrott8|prmtan_neped,2,1,(m^-3)*(m s^-1),m^-3*m/s,coarser_of_operands,13.267605633802816,cerqrott8:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqrott10)",C2,prmtan_neped|cerqrott10,level|level,cerqrott10|prmtan_neped,2,1,(m^-3)*(m s^-1),m^-3*m/s,coarser_of_operands,13.267605633802816,cerqrott10:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqrott11)",C2,prmtan_neped|cerqrott11,level|level,cerqrott11|prmtan_neped,2,1,(m^-3)*(m s^-1),m^-3*m/s,coarser_of_operands,13.267605633802816,cerqrott11:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqrott12)",C2,prmtan_neped|cerqrott12,level|level,cerqrott12|prmtan_neped,2,1,(m^-3)*(m s^-1),m^-3*m/s,coarser_of_operands,13.267605633802816,cerqrott12:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqrott13)",C2,prmtan_neped|cerqrott13,level|level,cerqrott13|prmtan_neped,2,1,(m^-3)*(m s^-1),m^-3*m/s,coarser_of_operands,13.267605633802816,cerqrott13:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqtit3)",C2,prmtan_neped|cerqtit3,level|level,cerqtit3|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,cerqtit3:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqtit6)",C2,prmtan_neped|cerqtit6,level|level,cerqtit6|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,cerqtit6:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqtit8)",C2,prmtan_neped|cerqtit8,level|level,cerqtit8|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,cerqtit8:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqtit10)",C2,prmtan_neped|cerqtit10,level|level,cerqtit10|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,cerqtit10:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqtit11)",C2,prmtan_neped|cerqtit11,level|level,cerqtit11|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,cerqtit11:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqtit12)",C2,prmtan_neped|cerqtit12,level|level,cerqtit12|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,cerqtit12:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_neped,cerqtit13)",C2,prmtan_neped|cerqtit13,level|level,cerqtit13|prmtan_neped,2,1,(m^-3)*(eV),m^-3*eV,coarser_of_operands,13.267605633802816,cerqtit13:cer_rotation_ti|prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,prmtan_teped)",C2,prmtan_teped|prmtan_teped,level|level,prmtan_teped,1,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,fs04)",C2,prmtan_teped|fs04,level|level,fs04|prmtan_teped,2,1,(eV)*(ph sr^-1 m^-2 s^-1),eV*ph/(sr m^2 s),coarser_of_operands,14.186746987951809,fs04:filterscope_dalpha|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,fs03da)",C2,prmtan_teped|fs03da,level|level,fs03da|prmtan_teped,2,1,(eV)*(ph sr^-1 m^-2 s^-1),eV*ph/(sr m^2 s),coarser_of_operands,14.186746987951809,fs03da:filterscope_dalpha|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,fs05da)",C2,prmtan_teped|fs05da,level|level,fs05da|prmtan_teped,2,1,(eV)*(ph sr^-1 m^-2 s^-1),eV*ph/(sr m^2 s),coarser_of_operands,14.186746987951809,fs05da:filterscope_dalpha|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,gasa)",C2,prmtan_teped|gasa,level|level,gasa|prmtan_teped,2,1,(eV)*(V),eV*V,coarser_of_operands,14.186746987951809,gasa:gas_injection|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,gasb)",C2,prmtan_teped|gasb,level|level,gasb|prmtan_teped,2,1,(eV)*(V),eV*V,coarser_of_operands,14.186746987951809,gasb:gas_injection|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,gasc)",C2,prmtan_teped|gasc,level|level,gasc|prmtan_teped,2,1,(eV)*(V),eV*V,coarser_of_operands,14.186746987951809,gasc:gas_injection|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,gasd)",C2,prmtan_teped|gasd,level|level,gasd|prmtan_teped,2,1,(eV)*(V),eV*V,coarser_of_operands,14.186746987951809,gasd:gas_injection|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,pinj)",C2,prmtan_teped|pinj,level|level,pinj|prmtan_teped,2,1,(eV)*(W),eV*W,coarser_of_operands,14.186746987951809,pinj:neutral_beams|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,pinj_15l)",C2,prmtan_teped|pinj_15l,level|level,pinj_15l|prmtan_teped,2,1,(eV)*(W),eV*W,coarser_of_operands,14.186746987951809,pinj_15l:neutral_beams|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,pinj_30l)",C2,prmtan_teped|pinj_30l,level|level,pinj_30l|prmtan_teped,2,1,(eV)*(W),eV*W,coarser_of_operands,14.186746987951809,pinj_30l:neutral_beams|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,pinj_30r)",C2,prmtan_teped|pinj_30r,level|level,pinj_30r|prmtan_teped,2,1,(eV)*(W),eV*W,coarser_of_operands,14.186746987951809,pinj_30r:neutral_beams|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,pinj_33r)",C2,prmtan_teped|pinj_33r,level|level,pinj_33r|prmtan_teped,2,1,(eV)*(W),eV*W,coarser_of_operands,14.186746987951809,pinj_33r:neutral_beams|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,tinj)",C2,prmtan_teped|tinj,level|level,prmtan_teped|tinj,2,1,(eV)*(N m),eV*N m,coarser_of_operands,14.186746987951809,prmtan_teped:density|tinj:neutral_beams,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece1)",C2,prmtan_teped|ece1,level|level,ece1|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece1:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece2)",C2,prmtan_teped|ece2,level|level,ece2|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece2:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece3)",C2,prmtan_teped|ece3,level|level,ece3|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece3:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece4)",C2,prmtan_teped|ece4,level|level,ece4|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece4:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece5)",C2,prmtan_teped|ece5,level|level,ece5|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece5:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece6)",C2,prmtan_teped|ece6,level|level,ece6|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece6:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece7)",C2,prmtan_teped|ece7,level|level,ece7|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece7:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece8)",C2,prmtan_teped|ece8,level|level,ece8|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece8:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece9)",C2,prmtan_teped|ece9,level|level,ece9|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece9:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece10)",C2,prmtan_teped|ece10,level|level,ece10|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece10:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece11)",C2,prmtan_teped|ece11,level|level,ece11|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece11:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
"PROD(prmtan_teped,ece12)",C2,prmtan_teped|ece12,level|level,ece12|prmtan_teped,2,1,(eV)*(eV),eV*eV,coarser_of_operands,14.186746987951809,ece12:ece_te_profile|prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
