coordinate_id,constructor,ordered_operands,class_B,class_A,class_C,class_G,class_F,class_D_finite,class_D_constant,class_E_denominator,class_H_leakage,value_min,value_max,admissible,first_rejecting_class,rejection_reason
ID(cerqrott3),C0,cerqrott3,True,True,True,True,True,True,False,,True,-357087.566461418,24096.71270500097,True,,
ID(cerqrott6),C0,cerqrott6,True,True,True,True,True,True,False,,True,-223188.06820104618,665152.9840093416,True,,
ID(cerqrott8),C0,cerqrott8,True,True,True,True,True,True,False,,True,-11188.39862839354,179241.31074911685,True,,
ID(cerqrott10),C0,cerqrott10,True,True,True,True,True,True,False,,True,-14607.624751685218,148310.9088604267,True,,
ID(cerqrott11),C0,cerqrott11,True,True,True,True,True,True,False,,True,-31247.032375510706,137543.76313016083,True,,
ID(cerqrott12),C0,cerqrott12,True,True,True,True,True,True,False,,True,-29172.53657499743,125901.19909646247,True,,
ID(cerqrott13),C0,cerqrott13,True,True,True,True,True,True,False,,True,-36861.12005060391,99070.05240607612,True,,
ID(cerqtit3),C0,cerqtit3,True,True,True,True,True,True,False,,True,438.8570379129401,8769.757060486761,True,,
ID(cerqtit6),C0,cerqtit6,True,True,True,True,True,True,False,,True,-61.22815680967549,4091.2621909079644,True,,
ID(cerqtit8),C0,cerqtit8,True,True,True,True,True,True,False,,True,74.26004333771172,3429.3510635608245,True,,
ID(cerqtit10),C0,cerqtit10,True,True,True,True,True,True,False,,True,151.09999084472656,3121.6108685150684,True,,
ID(cerqtit11),C0,cerqtit11,True,True,True,True,True,True,False,,True,118.91334585149491,2961.887058172079,True,,
ID(cerqtit12),C0,cerqtit12,True,True,True,True,True,True,False,,True,-215.54382253081462,2683.022793698565,True,,
ID(cerqtit13),C0,cerqtit13,True,True,True,True,True,True,False,,True,-192.61865032831838,2505.3657529348184,True,,
DOT(bt),C1,bt,True,True,True,True,True,True,False,,True,-2.0388051685769994,3.236654482911746,True,,
DOT(ip),C1,ip,True,True,True,True,True,True,False,,True,-3759664.812161669,3531171.6726819277,True,,
DOT(gasa),C1,gasa,True,True,True,True,True,True,False,,True,-254.2529989891941,190.47066671879858,True,,
DOT(gasb),C1,gasb,True,True,True,True,True,True,False,,True,-641.7051329469522,327.72280427848,True,,
DOT(gasc),C1,gasc,True,True,True,True,True,True,False,,True,-12.440637993500918,13.370792137691854,True,,
DOT(gasd),C1,gasd,True,True,True,True,True,True,False,,True,-54.93625896903079,57.328067938354764,True,,
DOT(pinj),C1,pinj,True,True,True,True,True,True,False,,True,-579944689.0320464,703562871.3477008,True,,
DOT(pinj_15l),C1,pinj_15l,True,True,True,True,True,True,False,,True,-142750287.28630063,143130307.0518616,True,,
DOT(pinj_15r),C1,pinj_15r,True,True,True,True,True,True,True,,True,-151836854.5196733,151836854.51967573,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
DOT(pinj_21l),C1,pinj_21l,True,True,True,True,True,True,True,,True,-177030676.7073135,178182397.2115792,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
DOT(pinj_21r),C1,pinj_21r,True,True,True,True,True,True,True,,True,-147509509.53372508,144476990.71075428,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
DOT(pinj_30l),C1,pinj_30l,True,True,True,True,True,True,False,,True,-307664822.3871552,502122056.96231675,True,,
DOT(pinj_30r),C1,pinj_30r,True,True,True,True,True,True,False,,True,-381648440.32380795,336627791.80038536,True,,
DOT(pinj_33l),C1,pinj_33l,True,True,True,True,True,True,True,,True,-235469856.75302297,448980906.5531032,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
DOT(pinj_33r),C1,pinj_33r,True,True,True,True,True,True,False,,True,-174317277.28069726,291307653.2018701,True,,
DOT(tinj),C1,tinj,True,True,True,True,True,True,False,,True,-509.9057154484802,513.4169986773036,True,,
DOT(ece1),C1,ece1,True,True,True,True,True,True,False,,True,-78735.3123448591,53639.17901193965,True,,
