primitive,kind,finite_all_required_blocks,constant_in_some_required_block,value_min,value_max,min_calibration_samples_any_block,required_min_samples
ece12,derivative,True,False,-193305.05746791972,123292.39349427941,130,30
ece13,derivative,True,False,-181092.7629480156,127364.46038041028,130,30
ece14,derivative,True,False,-169782.92793036762,137704.87095655466,130,30
ece15,derivative,True,False,-132091.72798668907,123165.86896224823,130,30
ece16,derivative,True,False,-182476.02246629182,103839.94233344443,130,30
ece18,derivative,True,False,-193058.0585779973,154806.78352022747,130,30
ece19,derivative,True,False,-158116.45517704237,190007.1375675805,130,30
ece20,derivative,True,False,-160855.77442397107,142477.36296259038,130,30
ece21,derivative,True,False,-185673.4233833428,140923.69076897705,130,30
ece22,derivative,True,False,-185620.48612988018,142951.20992735977,130,30
ece25,derivative,True,False,-138182.29261541594,142549.2650888114,130,30
ece27,derivative,True,False,-119886.34772010773,93670.18454691127,130,30
ece28,derivative,True,False,-1057949.289591043,389162.07583917375,130,30
ece29,derivative,True,False,-98538.74242531828,118749.34033423854,130,30
ece30,derivative,True,False,-106552.2541977037,86826.79185057216,130,30
ece31,derivative,True,False,-143820.53124226475,84662.85502007589,130,30
ece33,derivative,True,False,-924512.4404398084,1546727.1998207865,130,30
ece35,derivative,True,False,-94327.01325590571,184770.5441907594,130,30
ece36,derivative,True,False,-76001.59712462584,30701.28107217874,130,30
ece37,derivative,True,False,-70450.84841965834,26604.642053076474,130,30
ece38,derivative,True,False,-84140.36835540054,41170.65324950093,130,30
ece39,derivative,True,False,-141443.36017816473,73040.01746304319,130,30
cerqrott3,derivative,True,False,-3809695.929802146,8005543.027897006,130,30
cerqrott6,derivative,True,False,-49960527.99804627,60026195.38166173,130,30
cerqrott8,derivative,True,False,-5148912.747845856,2765264.173393081,130,30
cerqrott10,derivative,True,False,-6090397.022308173,2392014.0202584546,130,30
cerqrott11,derivative,True,False,-7168674.205511776,2775524.1502934117,130,30
cerqrott12,derivative,True,False,-6624290.20779554,4576884.257793378,130,30
cerqrott13,derivative,True,False,-5134918.545376332,3187408.1915074815,130,30
cerqtit3,derivative,True,False,-158955.81667014596,120603.25334249239,130,30
cerqtit6,derivative,True,False,-232730.8420468817,182575.71778372087,130,30
cerqtit8,derivative,True,False,-136640.58987419592,35053.11840711521,130,30
cerqtit10,derivative,True,False,-129080.14491609187,53358.91618962059,130,30
cerqtit11,derivative,True,False,-143608.79169021017,51367.90414993015,130,30
cerqtit12,derivative,True,False,-145830.42667884286,110672.5382965445,130,30
cerqtit13,derivative,True,False,-135256.09640697797,112278.57671744093,130,30
