coordinate_id,constructor,operands,primitive_ancestors,depth,output_dimension,unit_expression,primary_or_sensitivity,reason,families_also_excluded_for_this_operand_in_a_rate_role,in_primary_A_rec,examined_by
DOT(prmtan_neped),C1,prmtan_neped,prmtan_neped,1,(m^-3) T^-1,m^-3/s,SENSITIVITY_ONLY_CONSTRUCTOR_OUTPUT,"operand is UPSTREAM_UPSAMPLED; its derivative reports the interpolant, not the instrument",C4|C6(rate)|C7(numerator rate)|C8(denominator rate),False,S7.11
DOT(prmtan_teped),C1,prmtan_teped,prmtan_teped,1,(eV) T^-1,eV/s,SENSITIVITY_ONLY_CONSTRUCTOR_OUTPUT,"operand is UPSTREAM_UPSAMPLED; its derivative reports the interpolant, not the instrument",C4|C6(rate)|C7(numerator rate)|C8(denominator rate),False,S7.11
DOT(fs04),C1,fs04,fs04,1,(ph sr^-1 m^-2 s^-1) T^-1,ph/(sr m^2 s)/s,SENSITIVITY_ONLY_CONSTRUCTOR_OUTPUT,"operand is UPSTREAM_UPSAMPLED; its derivative reports the interpolant, not the instrument",C4|C6(rate)|C7(numerator rate)|C8(denominator rate),False,S7.11
DOT(fs03da),C1,fs03da,fs03da,1,(ph sr^-1 m^-2 s^-1) T^-1,ph/(sr m^2 s)/s,SENSITIVITY_ONLY_CONSTRUCTOR_OUTPUT,"operand is UPSTREAM_UPSAMPLED; its derivative reports the interpolant, not the instrument",C4|C6(rate)|C7(numerator rate)|C8(denominator rate),False,S7.11
DOT(fs05da),C1,fs05da,fs05da,1,(ph sr^-1 m^-2 s^-1) T^-1,ph/(sr m^2 s)/s,SENSITIVITY_ONLY_CONSTRUCTOR_OUTPUT,"operand is UPSTREAM_UPSAMPLED; its derivative reports the interpolant, not the instrument",C4|C6(rate)|C7(numerator rate)|C8(denominator rate),False,S7.11
