support_id,support_size,FIT,BLOCK_WORST,b_star,SHOT_P90,block_worst_equivalent,in_E2
"ID(pcdiamag3)|PROD(bt,bt)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",12,0.17483523239692053,0.19040623679757118,A,0.2601174371937911,True,False
"ID(pcdiamag3)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)|RECIP(ip)",12,0.1757825857028365,0.1908109959214926,A,0.2654613013068835,True,False
"ID(pcdiamag3)|LEVEL_RATE(ece16|ip)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,0.17614280444880326,0.1910465842112899,A,0.2619911327958107,True,False
"ID(pcdiamag3)|LEVEL_RATE(ece16|ip)|PROD(bt,bt)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)",12,0.17613063485672079,0.1910530285909772,A,0.2620425820350647,True,False
"ID(pcdiamag3)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(bt,ip)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,0.1760499349484841,0.1910860413685441,A,0.26544994513193765,True,False
"ID(pcdiamag3)|PROD(bt,bt)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(bt,ip)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)",12,0.17604051244755586,0.19111107382923365,A,0.2650002270936966,True,False
"ID(pcdiamag3)|PROD(bt,cerqtit6)|PROD(ece37,ece39)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(gasa,ece6)|RATIO(ip,ece22)",11,0.17445041661461197,0.19145701974630355,A,0.24723201443751658,True,False
"ID(pcdiamag3)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(fs04,pinj)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,0.1751171825453639,0.1915074996650219,A,0.26143752137819926,True,False
"ID(pcdiamag3)|PROD(bt,bt)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(fs04,pinj)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)",12,0.17509041000157594,0.19153064507991074,A,0.2615235557158788,True,False
"ID(pcdiamag3)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(pinj,pinj_30l)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,0.174969979810218,0.1916486006230116,A,0.26600035429000857,True,False
