method,mean,median,p90,max,earlier_mean,later_mean
REL,0.18911466503138652,0.1514612356828322,0.29590270276661684,0.91988453225983,0.21533350276088603,0.15512728278944277
B0,0.9536033810473656,0.9365107148819909,1.2999216347783897,1.7027787494803033,0.9170266847761074,1.0010176169545526
B1,0.21642228451057907,0.17436254458180817,0.42607101808019227,0.6186178248216773,0.20771977688323165,0.22770331291639984
B1A,0.356254034308349,0.3329431591365517,0.5656915503195548,0.8776916672658365,0.3398290167408911,0.377545723747646
B2,0.28514639554746146,0.1972070932150879,0.6517372760204422,1.256006521899823,0.2749413571078915,0.2983751490802374
B3,0.34637782828479585,0.19597670654307187,0.8279141065777071,2.1109070645030856,0.4063293802624391,0.2686628534989623
H0,0.284248857671867,0.1914474724954019,0.6500456865749545,1.2323499826771365,0.2738236543992747,0.29776301006226435
