fold,shot_id,era,block,REL_nrmse,REL_rmse,scale,log10_kappa,B0_nrmse,B1_nrmse,B1A_nrmse,B2_nrmse,B3_nrmse,H0_nrmse
0,155537,earlier,A,0.09892246173874743,7.860461033911855e+17,7.946083119798617e+18,2.1162137470395113,0.9575732466355112,0.11578058769800176,0.4987504219537301,0.11817731095217933,0.04871360128927589,0.10857714173456814
0,155537,earlier,B,0.09189638782153282,6.736803832838463e+17,7.330869028194729e+18,2.152566980005495,0.5334060554974919,0.11836757269725202,0.331767929986959,0.07021218847949193,0.052059109707320826,0.07753494392921742
0,155537,earlier,C,0.08945419300045931,5.886195125057484e+17,6.580122102300179e+18,2.175985886058801,0.38128025783842834,0.04441370100844157,0.16821637080143179,0.06117568832265244,0.062134209835716214,0.05966043117604296
0,160721,earlier,A,0.29371287719197636,2.613276696109978e+18,8.897385504830591e+18,2.2185115425618185,0.88946283020368,0.09009774798326999,0.4541686603611937,0.4357524249269773,0.32201555978737667,0.43612207147561133
0,160721,earlier,B,0.15492760489268972,1.2841348598901832e+18,8.288612354006482e+18,2.2242174522252456,0.7219087208130862,0.08900042397981205,0.3214125361514395,0.10648614705707,0.11045324103729187,0.10214943873937977
0,160721,earlier,C,0.17645347182196272,1.3506259567388419e+18,7.654289500756271e+18,2.215592983940472,0.9164000727892295,0.2696939911516404,0.14531147116708953,0.08181315216375952,0.2801595926545281,0.08431207580044126
0,165022,earlier,A,0.15370504611327218,1.6375438018252227e+18,1.0653806385890824e+19,2.280029794957,0.9676929182184836,0.12314706240418158,0.40052268086895537,0.271250360611839,0.16412511806451607,0.27464805060536857
0,165022,earlier,B,0.08976212633982296,8.758299641284399e+17,9.757232808999068e+18,2.300057886360134,0.5749306054892124,0.13835355827297455,0.14255535069692116,0.16130119802888943,0.05342110221934413,0.16229388137226378
0,165022,earlier,C,0.12974470850302053,1.1385145088199401e+18,8.775036161058043e+18,2.3056674266262536,0.4372601484006638,0.07083286823536693,0.17333067687331943,0.09558380096246827,0.04214821355507608,0.10528881985086351
0,165042,earlier,A,0.1066581707599534,1.20186394495386e+18,1.1268371999917328e+19,2.218566401463876,1.0260949075339116,0.0698925128386786,0.34134620039334684,0.14131180122882653,0.1383824145881295,0.14295374255054785
0,165042,earlier,B,0.10710361001967057,1.1487905368470495e+18,1.072597400438756e+19,2.2401399564108044,0.7226094878662672,0.060833253378780226,0.18774705233369687,0.09162387521445689,0.07694968536147555,0.0933154336767317
0,165042,earlier,C,0.12186734893175448,1.2046170073126254e+18,9.884657522066956e+18,2.2429211177890553,0.6143977697135641,0.05261542545685781,0.16536340044695266,0.08024186356957566,0.03147071375415457,0.08157133266737471
0,170394,earlier,A,0.30277570469462906,3.68381771112685e+18,1.2166820699310215e+19,2.275030880935401,1.1102377892523922,0.39612778498155987,0.22656304163946203,0.32303205795508655,0.390088382536759,0.3115467811103283
0,170394,earlier,B,0.07826929186030857,9.240903537338028e+17,1.1806550586698506e+19,2.2733052481272273,0.8473861911363498,0.09396375638294914,0.14542088073008477,0.07964456952256127,0.07160629648810986,0.08060954186810597
0,170394,earlier,C,0.2951394607107347,3.3693250933625477e+18,1.1416044080479e+19,2.290920002677245,1.3131077361875698,0.1719762348172773,0.15669614019414715,0.1283906298062437,0.3415443859344922,0.11980749202125153
0,187019,earlier,A,0.16523380096474116,1.2505896338030881e+18,7.568606583527958e+18,1.8600366455483643,0.684333012781023,0.16580958458478548,0.3524921694817794,0.15812474076544608,0.21893764141739394,0.15683804504666643
0,187019,earlier,B,0.46826577852852924,3.286930878360306e+18,7.019370257397635e+18,1.7845532303478804,1.1763660489236676,0.21456262756571493,0.329050968466272,0.3075303757710109,1.4519326788706457,0.2961241088467701
0,187019,earlier,C,0.2565913097318019,2.051895891848084e+18,7.996747411254093e+18,1.8117594945987892,1.758417435653598,0.15196478851330666,0.2952927622165672,1.6634598103524765,0.8672337568613931,1.6694907718828706
0,189647,later,A,0.09685718034605563,1.7890843049033897e+18,1.847136473012398e+19,2.0899186272876773,1.695652678382804,0.31934685842085925,0.29533772027392313,0.1821921492966446,0.2901794500243549,0.19026206956599812
0,189647,later,B,0.26156006107492585,5.524839793176196e+18,2.1122643000123646e+19,2.0684233923418156,1.152120913848822,0.16500540345658998,0.12750592925002122,0.384956444506886,0.9680337532091668,0.3744477106741137
0,189647,later,C,0.10783460406215856,2.2868284705502154e+18,2.120681473668722e+19,2.0673383849319684,0.6229879790933589,0.24365661434454491,0.41728941896352467,0.07921651213286601,0.14441555860385166,0.08178553414948375
0,195264,later,A,0.4210821472581474,3.723232430309683e+18,8.842057196091785e+18,2.2570104794666723,2.129245484190039,1.2918566096353978,1.003561322007984,1.2143344625509742,1.6028557088677649,1.0298971106937715
0,195264,later,B,0.19000330909490523,1.9953128521533274e+18,1.050146369375432e+19,2.1227863456234553,0.6774878602937138,0.20214361708831005,0.3239141709523558,0.1008985656126267,0.09324517920042619,0.10186870886276304
0,195264,later,C,0.17700018722240446,1.7136238275530941e+18,9.68148031052583e+18,2.1080547886815557,0.5253967562152542,0.36185324774132405,0.4495066641174645,0.13711418925160193,0.07666687877197027,0.13652822591197253
0,195273,later,A,0.08180458853575716,7.32144254572202e+17,8.94991671832905e+18,2.41200786771003,0.5308176305436414,0.17697112408024732,0.11076010865998058,0.07832168523181925,0.09202202298447788,0.07871768644437868
0,195273,later,B,0.19425753449554164,1.5905722126197158e+18,8.18795634748582e+18,2.335563112188248,1.3444399428917002,0.7378621508699256,0.7010333325318164,0.996038928136736,1.0475735249611207,0.9473170648885313
0,195273,later,C,0.44919256223894477,4.526629333606251e+18,1.007725798273201e+19,2.121355055736192,0.3085142963179476,0.12317258946488929,0.13160264794949614,0.2430132853096295,0.31507011909480426,0.23912578031710902
0,195647,later,A,0.06683554834429441,1.2058203877663826e+18,1.8041602375352107e+19,2.1340030581785783,1.3542582458693984,0.129139160805151,0.41777264407653436,0.10790995062984515,0.09967361487762716,0.09409622799190624
0,195647,later,B,0.04567455761112837,8.487646771061398e+17,1.8582876802715714e+19,2.1394866134477453,0.7685570538218197,0.07057737495244952,0.17661547057571164,0.06193490780937419,0.036108917894744956,0.06006328234167332
0,195647,later,C,0.0751594613365914,1.29497466785995e+18,1.7229695966826885e+19,2.1444768622608303,0.5873304494102755,0.10782775790698287,0.23849284667602552,0.05605278912109577,0.025724310051354112,0.05650296065443878
0,195655,later,A,0.11943384124139442,1.7859431731580173e+18,1.4953409809103833e+19,2.178032190798695,1.4954026274769479,0.22917203494535895,0.34503543930805725,0.19879961692396422,0.31471161451996776,0.1607838480127773
0,195655,later,B,0.09456510705505615,1.543335816211645e+18,1.632035181129874e+19,2.141787972847774,0.9945197701326546,0.09491480252232345,0.2549170951818093,0.1040243009541962,0.05971161943776617,0.11691790910061393
0,195655,later,C,0.1451754305833444,2.2877377150448108e+18,1.5758435885825966e+19,2.106398034801055,0.6622334116511849,0.04751358301408288,0.12963626503033773,0.05186717100329746,0.02645552842109496,0.05137767377492564
1,159310,earlier,A,0.19724782367847576,1.9552952965652713e+18,9.91288654090554e+18,1.8117589991808634,0.32784580385214385,0.17726433217816903,0.08516772852386897,0.10716490353367679,0.18411264878479724,0.10707364130938025
1,159310,earlier,B,0.13399396941017008,1.1065229314480947e+18,8.258005463372071e+18,1.8480780891419963,0.29892553292007445,0.07153847407571674,0.12611266631154863,0.071421443745338,0.10156240868049733,0.07282990096366809
1,159310,earlier,C,0.12407702805851459,8.972270469844652e+17,7.231210007394228e+18,1.8715403857330795,0.2703311816958234,0.05619420106663926,0.13585473865826786,0.07340145715611159,0.07084679074388209,0.07478747380331473
1,161136,earlier,A,0.4237371968852491,1.9085544423715016e+18,4.504099371970762e+18,1.8240036271752396,1.5147945165121286,0.7796381875876911,0.2737413003229434,0.2969692562348724,0.8690955351913624,0.31970430593928767
1,161136,earlier,B,0.46297183057381186,2.413300373321968e+18,5.212628963474732e+18,1.7003500827611417,1.434926783813194,0.6907045510355447,0.417526126933302,0.5068976689004183,0.840349626397768,0.5106167903044353
1,161136,earlier,C,0.42821594122136386,3.2081046316749906e+18,7.491791693986887e+18,1.5129837796151488,0.6908875105076098,0.35711363469928364,0.6144298875630301,0.14309915981839869,0.28504134139719634,0.14865758790492015
1,165026,earlier,A,0.07703211288015555,8.285936358559794e+17,1.075647031965854e+19,1.6903122059844944,1.2102409122049218,0.21146460230286118,0.30268320899736095,0.357309785481174,0.3485253553611102,0.31344985949618465
1,165026,earlier,B,0.1305664187385933,1.3911207531621463e+18,1.065450646959465e+19,1.716215940065342,0.8018545223922151,0.0993651038006814,0.23357842040802118,0.1744867719974808,0.1515150687892606,0.16887697032862403
1,165026,earlier,C,0.13759924483493444,1.3488389382818506e+18,9.802662361264646e+18,1.7115927673105984,0.6198788901980821,0.06983720636953553,0.17577890985181527,0.07777939739812607,0.060946557845642214,0.07762949811443991
1,165043,earlier,A,0.17946338304411227,1.8397793686941128e+18,1.0251558493366266e+19,1.6047421198354075,0.9779562012638494,0.08800261040428108,0.34181198886605796,0.20494027435843373,0.12852000479265352,0.2011013873268288
1,165043,earlier,B,0.15095931916767846,1.4399428739739868e+18,9.53861531645202e+18,1.5551462984846838,0.898160171535567,0.37276833578715707,0.23595992644512737,0.9176271578425024,0.6065588988403419,0.904867507248025
1,165043,earlier,C,0.0724579622544623,6.619414675981818e+17,9.135524199169931e+18,1.5408183655940717,0.8393485977483474,0.0724315249945989,0.16084276919892504,0.06485797611200435,0.037424144640050644,0.066699897290184
1,170396,earlier,A,0.11559920250073825,1.3974858034683855e+18,1.2089060938456394e+19,1.5827346832102809,0.8660442824650936,0.31086697097293675,0.7765562305299686,0.4432924113352158,0.15284342218782357,0.44090834676317053
1,170396,earlier,B,0.05970364396137863,6.727046803526152e+17,1.126739735999661e+19,1.6300056665756937,0.6102231205669569,0.07443778037115942,0.28547990828371017,0.09457749503477948,0.055251160811055015,0.08845826866066733
1,170396,earlier,C,0.07364551103679813,7.5064795425487e+17,1.0192718384149674e+19,1.6681252825844461,0.6069470876518767,0.08052310411735143,0.09402117442536641,0.06171271759100178,0.07148218424815195,0.06205307639587302
1,187020,earlier,A,0.34342097359870444,1.6412456591752794e+18,4.779107233832241e+18,1.4978733240163384,0.46168644915769014,0.168281546393727,0.46014749242103165,0.6022806043776405,1.0119315996300713,0.5954891600161999
1,187020,earlier,B,0.2111117133474495,9.824681002330527e+17,4.653782988422334e+18,1.4087804858013042,1.867855273637919,0.25089192563729074,0.382229694993877,0.3077833753180388,2.7472579811163067,0.3074378374034042
1,187020,earlier,C,0.19156400714213806,1.088423319435727e+18,5.681773604934724e+18,1.5316844941342314,0.8827274050825651,0.41136452373068344,0.72906319974131,0.24739189813030402,0.36529863603141494,0.24559755626632343
1,189649,later,A,0.07222024774681265,1.2355506425602819e+18,1.710809199785404e+19,1.7557091003611969,1.2171322933421855,0.14035162652023084,0.7080717004740686,1.2724285579687145,0.22963000893768376,1.3540786947632317
