support_id,support_size,J_search
ID(cerqtit8),1,0.6907038517048925
ID(prmtan_neped),1,0.4749403987211188
ID(ece39),1,0.747501428151022
ID(gasc),1,0.9153416501555379
ID(pcdiamag3),1,0.538198171040617
ID(pinj),1,0.5373040280911975
DOT(cerqtit3),1,0.9443760978457637
DOT(ece1),1,0.9489803582739601
DOT(gasc),1,0.9536572081391579
DOT(ip),1,0.9205568560060974
DOT(pinj_33r),1,0.951409795240155
"PROD(cerqtit8,cerqtit8)",1,0.7994125089509626
"PROD(prmtan_neped,cerqtit6)",1,0.5831467865298791
"PROD(ece37,cerqtit6)",1,0.7947291563747958
"PROD(fs04,cerqrott8)",1,0.6431310073412392
"PROD(gasc,cerqtit6)",1,0.7941309337975558
"PROD(bt,cerqtit8)",1,0.6882211533061785
"PROD(pinj_30l,cerqtit6)",1,0.6237718125496284
"PROD(prmtan_neped,ece39)",1,0.5871829640357059
"PROD(prmtan_neped,gasc)",1,0.6600236227272983
"PROD(ip,prmtan_neped)",1,0.47011695903472867
"PROD(prmtan_neped,pinj_30l)",1,0.567678157768163
"PROD(ece37,ece39)",1,0.8164280776819859
"PROD(fs05da,ece1)",1,0.6843528495067678
"PROD(gasc,ece39)",1,0.8654228831474791
"PROD(ip,ece39)",1,0.7350013741978804
"PROD(pinj,ece36)",1,0.6230657494278685
"PROD(ip,gasc)",1,0.8787671921283798
"PROD(gasc,pinj)",1,0.7106701683220509
"PROD(bt,bt)",1,0.7120908875840534
"PROD(ip,pinj)",1,0.5353957225585172
"PROD(pinj,pinj_30l)",1,0.5857393009062484
"RATIO(cerqrott12,cerqtit10)",1,0.5473855764281756
"RATIO(cerqrott12,prmtan_neped)",1,0.6395012217900664
"RATIO(cerqtit6,ece38)",1,0.5574573509266071
"RATIO(cerqtit8,ip)",1,0.6921657986403378
"RATIO(prmtan_neped,cerqtit3)",1,0.788730833738308
"RATIO(prmtan_neped,ece38)",1,0.6559530240563519
"RATIO(prmtan_neped,bt)",1,0.47730894070405805
"RATIO(ece21,cerqtit10)",1,0.44317172692682405
"RATIO(ece29,ece39)",1,0.5279487351305993
"RATIO(ece39,bt)",1,0.7509320658731973
"RATIO(fs03da,cerqtit3)",1,0.7601787120598495
"RATIO(gasc,cerqtit10)",1,0.7332635856758715
"RATIO(gasc,prmtan_neped)",1,0.6846073378509344
"RATIO(gasc,ece39)",1,0.8032723045348883
"RATIO(gasc,ip)",1,0.863701412675996
"RATIO(ip,cerqtit10)",1,0.5786349421524473
"RATIO(ip,ece39)",1,0.6452675184875991
"RATIO(ip,bt)",1,0.79944242728422
"RATIO(pinj_33r,cerqtit10)",1,0.782113190880286
"RATIO(pinj_33r,prmtan_neped)",1,0.7823507038301626
"RATIO(tinj,ece20)",1,0.6446429823808376
"RATIO(pinj,bt)",1,0.5361095015866375
RECIP(cerqtit10),1,0.5938493070748273
RECIP(ece39),1,0.6461114784490911
RECIP(bt),1,0.7080537701844042
LEVEL_RATE(cerqrott12|cerqtit3),1,0.9293943409704084
LEVEL_RATE(cerqrott12|ece35),1,0.9158737925353465
LEVEL_RATE(cerqrott12|gasc),1,0.9535876236369875
LEVEL_RATE(cerqrott12|ip),1,0.9278793062512114
LEVEL_RATE(cerqrott13|pinj_33r),1,0.9515456908541359
LEVEL_RATE(prmtan_neped|cerqtit3),1,0.9540868837770181
LEVEL_RATE(prmtan_neped|ece19),1,0.9606653843428847
LEVEL_RATE(prmtan_neped|gasc),1,0.9537573936049013
LEVEL_RATE(prmtan_neped|pinj_33r),1,0.9526849013118684
LEVEL_RATE(ece20|cerqtit3),1,0.9462575712877123
LEVEL_RATE(ece1|ece39),1,0.948443095719916
LEVEL_RATE(ece12|gasc),1,0.9535621754261376
LEVEL_RATE(ece16|ip),1,0.9217300700545965
LEVEL_RATE(ece14|pinj_33r),1,0.9518507756074889
LEVEL_RATE(fs04|bt),1,0.9544426892679472
LEVEL_RATE(fs03da|pinj_15l),1,0.9518347829570329
LEVEL_RATE(gasc|cerqrott3),1,0.9459749057057889
LEVEL_RATE(gasc|ece20),1,0.952040715379436
LEVEL_RATE(gasc|gasc),1,0.9535589253399072
LEVEL_RATE(gasc|ip),1,0.9278528912797174
LEVEL_RATE(gasa|pinj_33r),1,0.9513413503830469
LEVEL_RATE(bt|cerqtit3),1,0.9444587326078748
LEVEL_RATE(bt|ece1),1,0.9490334391063617
LEVEL_RATE(bt|gasc),1,0.9536596544291892
LEVEL_RATE(bt|ip),1,0.9209823452812395
LEVEL_RATE(bt|pinj_33r),1,0.951415306696582
LEVEL_RATE(pinj_33r|cerqrott3),1,0.9424881607233111
LEVEL_RATE(pinj_33r|ece15),1,0.9478993120455885
LEVEL_RATE(pinj|gasc),1,0.9537717911268575
LEVEL_RATE(pinj_33r|ip),1,0.9370876441790255
LEVEL_RATE(pinj_15l|pinj_15l),1,0.9499730740748333
RATE_OVER_LEVEL(cerqrott3|cerqtit10),1,0.8870324940385649
RATE_OVER_LEVEL(cerqrott3|prmtan_neped),1,0.9069025314756974
RATE_OVER_LEVEL(cerqrott3|ece1),1,0.9070758630508864
RATE_OVER_LEVEL(cerqrott3|ip),1,0.942972079981702
RATE_OVER_LEVEL(ece36|cerqtit3),1,0.8821778577923882
RATE_OVER_LEVEL(ece38|prmtan_neped),1,0.8971055970210792
