coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum,primitive_ancestors,J_search,rank_status,NRMSE_160715,NRMSE_160720,NRMSE_161138,NRMSE_165022,NRMSE_165028,NRMSE_165042,NRMSE_165861,NRMSE_170396,NRMSE_187017,NRMSE_187020,NRMSE_187024,NRMSE_189647,NRMSE_189651,NRMSE_195264,NRMSE_195267,NRMSE_195273,NRMSE_195638,NRMSE_195647,NRMSE_195650,NRMSE_195655,within_stratum_rank,global_rank_reference_only
"RATIO(ece16,cerqtit10)",C3,ece16|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece16,0.4801024362475679,FULL_RANK,0.6411330057229709,0.8641499077848418,0.35849683624442213,0.2807466507978748,0.24176314715756542,0.33158535102215786,0.3623698113700273,0.1730258860430058,0.4740517625901193,1.1803541210675885,1.3460311341455942,0.21468088735300908,0.3180540041765312,0.7430175243727769,0.9176498672752315,0.4973841147818812,0.16692108957156426,0.16136443984761448,0.2403293672814378,0.08893981634514114,1,1
"RATIO(ece15,cerqtit10)",C3,ece15|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece15,0.48383684796092447,FULL_RANK,0.702438638973228,0.8849732103870448,0.39828349358526793,0.23931732978994255,0.18907244128238768,0.3616911965773246,0.3770929754115942,0.16657870154476664,0.5388182090001261,1.019607313745496,1.3560852724670356,0.22339657776990454,0.3453493778019577,0.748253386675759,0.9326460710075478,0.49741993678953084,0.17457618784585227,0.15780720534602502,0.24951594027875537,0.11381349293894356,2,2
"RATIO(ece25,cerqtit10)",C3,ece25|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece25,0.4838475166765835,FULL_RANK,0.5879990632102401,0.9017513379430925,0.5479846305044408,0.1744429415334439,0.17781675565519595,0.31842165833269004,0.37391356120121527,0.100006921520862,0.5781387631777736,1.3101587685084108,0.9500817374309015,0.16003735608933498,0.23307358030983663,0.7578319393949525,0.8521642585337106,0.44708027551529156,0.308667769937171,0.17290789727522907,0.15976427197951562,0.5647068454783615,3,3
"RATIO(ece21,cerqtit10)",C3,ece21|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece21,0.48461736394495825,FULL_RANK,0.6232774781558957,0.8563944866131886,0.48353258389413517,0.16826195570945093,0.17564298739507067,0.29405245820985265,0.3554082266028098,0.22425310558354097,0.5026426838004723,1.3581326106707783,1.1531537523575002,0.18318038190778094,0.23788672015563814,0.7288696360543764,0.8742367554183907,0.46844395001210803,0.16484585739616478,0.15422058488331192,0.1868410515421752,0.4990700125365246,4,4
"RATIO(ece22,cerqtit10)",C3,ece22|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece22,0.4852141851828783,FULL_RANK,0.6120083317784812,0.8701484709747987,0.5136778936088472,0.16875846339990452,0.178056088415824,0.29471105384917906,0.35669365470217995,0.20563730891344237,0.6075055618830555,1.3428425609486891,1.077671798467451,0.17557563297374712,0.22446834112786443,0.7348391368658712,0.8684704604432595,0.46017552232227166,0.17279504789840963,0.15584555272493963,0.16695374302367902,0.517449079335672,5,5
"RATIO(ece18,cerqtit10)",C3,ece18|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece18,0.4876832969086279,FULL_RANK,0.6987533072317831,0.8648423590385522,0.399774194131937,0.26381556387911775,0.25923087359160385,0.314777673364063,0.3575826555622137,0.17999661494869015,0.5330008459512863,1.2855911000944633,1.3240854840223422,0.20470754359080956,0.29090272999873673,0.7312066612660356,0.9018315888626294,0.4898668096951426,0.16340278670498615,0.16280929512913342,0.2271050046241876,0.10038284648484502,6,6
"RATIO(ece15,cerqtit3)",C3,ece15|cerqtit3,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit3|ece15,0.4890973891334979,FULL_RANK,0.3678059059717483,0.627595524907273,0.540385585710008,0.3378601398231013,0.2671191184819461,0.6803003075980953,0.476482120733179,0.19794442392875064,0.6046491848277976,1.1354635436752745,1.2757528707993118,0.28950702849831533,0.43474799322056823,0.7665503722558209,0.7039621304187668,0.4722684788837628,0.16070879571153315,0.14723333922974646,0.21485793302446163,0.08075298497049653,7,7
"RATIO(ece14,cerqtit3)",C3,ece14|cerqtit3,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit3|ece14,0.48952423114361554,FULL_RANK,0.3900352242684229,0.6304792178812412,0.5354450398110944,0.30473452283113406,0.23249646741816746,0.7141965310076736,0.5164873018472877,0.21493293061171515,0.5692086605055572,1.101758570010757,1.2658614661999057,0.30036336899713917,0.4514804790453062,0.7813995710851135,0.6962363707232755,0.47338979115356644,0.16831942405356046,0.1445203334836105,0.21926816487536305,0.07987118706241984,8,8
"RATIO(ece14,cerqtit10)",C3,ece14|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece14,0.4901698871261302,FULL_RANK,0.7588071386773274,0.907828444634291,0.4212699536378632,0.21133625966236225,0.1613469083044877,0.38391516321650193,0.39921142575366736,0.17874884786032794,0.6688133767196499,0.9400644752797129,1.366550980814031,0.2272454737218869,0.3597914879062496,0.7289356136572921,0.9008027193726077,0.47573998903177195,0.17968455473240671,0.15619375337662933,0.2513314359139633,0.12577974024957583,9,9
"RATIO(ece13,cerqtit10)",C3,ece13|cerqtit10,level|level_denominator,ECE|CER,(numerator_family | denominator_family),C3:ECE|CER,cerqtit10|ece13,0.4910084692562304,FULL_RANK,0.8281643099034076,0.9348541033540397,0.3839322690429737,0.23538834968823388,0.1603339337286858,0.4164085907717417,0.42862001270529254,0.2099081080866884,0.674775943021134,0.9093287883515315,1.3651022480773172,0.2217914018741718,0.3763651576592961,0.6651007429263726,0.8375370269710474,0.4385700720718492,0.18065145092000337,0.1534417980075254,0.24527337478111458,0.15462170318218357,10,10
