coordinate_id,constructor,search_stratum,within_stratum_rank,round_robin_order,J_search,status
ID(ece5),C0,C0:ECE,24,57,0.9352451419083861,IN_EXPANSION_SHORTLIST
ID(ece18),C0,C0:ECE,25,58,0.9382477278066382,IN_EXPANSION_SHORTLIST
ID(ece19),C0,C0:ECE,26,59,0.9392537605912011,IN_EXPANSION_SHORTLIST
ID(ece10),C0,C0:ECE,27,60,0.942190306577122,IN_EXPANSION_SHORTLIST
ID(ece6),C0,C0:ECE,28,61,0.9428518112757134,IN_EXPANSION_SHORTLIST
ID(ece20),C0,C0:ECE,29,62,0.9452265189597793,IN_EXPANSION_SHORTLIST
ID(ece29),C0,C0:ECE,30,63,0.9466197227543607,IN_EXPANSION_SHORTLIST
ID(ece27),C0,C0:ECE,31,64,0.9571995710345865,IN_EXPANSION_SHORTLIST
ID(ece30),C0,C0:ECE,32,65,0.9669868542365265,IN_EXPANSION_SHORTLIST
ID(ece31),C0,C0:ECE,33,66,0.970887783158547,IN_EXPANSION_SHORTLIST
DOT(cerqrott3),C1,C1:CER,1,1,1.0083458198214124,IN_EXPANSION_SHORTLIST
DOT(ece33),C1,C1:ECE,1,2,1.00375823445732,IN_EXPANSION_SHORTLIST
DOT(gasc),C1,C1:GAS,1,3,1.0189225056050495,IN_EXPANSION_SHORTLIST
DOT(ip),C1,C1:MAG,1,4,0.9814221658619028,IN_EXPANSION_SHORTLIST
DOT(pinj_33r),C1,C1:NBI,1,5,1.0163819349147682,IN_EXPANSION_SHORTLIST
DOT(cerqtit3),C1,C1:CER,2,6,1.0104652734815835,IN_EXPANSION_SHORTLIST
DOT(ece39),C1,C1:ECE,2,7,1.006309538480679,IN_EXPANSION_SHORTLIST
DOT(gasd),C1,C1:GAS,2,8,1.019084952974311,IN_EXPANSION_SHORTLIST
DOT(bt),C1,C1:MAG,2,9,1.0186231124323286,IN_EXPANSION_SHORTLIST
DOT(pinj_15l),C1,C1:NBI,2,10,1.0169840359676159,IN_EXPANSION_SHORTLIST
DOT(cerqtit6),C1,C1:CER,3,11,1.0132589336947848,IN_EXPANSION_SHORTLIST
DOT(ece25),C1,C1:ECE,3,12,1.0090759431676883,IN_EXPANSION_SHORTLIST
DOT(gasa),C1,C1:GAS,3,13,1.0206925039672918,IN_EXPANSION_SHORTLIST
DOT(tinj),C1,C1:NBI,3,14,1.017763264301776,IN_EXPANSION_SHORTLIST
DOT(cerqtit8),C1,C1:CER,4,15,1.0133408931299497,IN_EXPANSION_SHORTLIST
DOT(ece36),C1,C1:ECE,4,16,1.010010033808498,IN_EXPANSION_SHORTLIST
DOT(gasb),C1,C1:GAS,4,17,1.100507497153048,IN_EXPANSION_SHORTLIST
DOT(pinj),C1,C1:NBI,4,18,1.0180169964386763,IN_EXPANSION_SHORTLIST
DOT(cerqrott6),C1,C1:CER,5,19,1.0144427903579367,IN_EXPANSION_SHORTLIST
DOT(ece20),C1,C1:ECE,5,20,1.0101048027291235,IN_EXPANSION_SHORTLIST
DOT(pinj_30l),C1,C1:NBI,5,21,1.0187712265000672,IN_EXPANSION_SHORTLIST
DOT(cerqtit10),C1,C1:CER,6,22,1.014450682548132,IN_EXPANSION_SHORTLIST
DOT(ece21),C1,C1:ECE,6,23,1.0106278718321284,IN_EXPANSION_SHORTLIST
DOT(pinj_30r),C1,C1:NBI,6,24,1.019280376328124,IN_EXPANSION_SHORTLIST
DOT(cerqtit11),C1,C1:CER,7,25,1.0155704970467434,IN_EXPANSION_SHORTLIST
DOT(ece29),C1,C1:ECE,7,26,1.0110671692954587,IN_EXPANSION_SHORTLIST
DOT(cerqtit12),C1,C1:CER,8,27,1.0172067530041569,IN_EXPANSION_SHORTLIST
DOT(ece37),C1,C1:ECE,8,28,1.011917643061184,IN_EXPANSION_SHORTLIST
DOT(cerqrott8),C1,C1:CER,9,29,1.0178031195752446,IN_EXPANSION_SHORTLIST
DOT(ece38),C1,C1:ECE,9,30,1.014413702990713,IN_EXPANSION_SHORTLIST
DOT(cerqtit13),C1,C1:CER,10,31,1.0201275931282825,IN_EXPANSION_SHORTLIST
DOT(ece15),C1,C1:ECE,10,32,1.0146647202152372,IN_EXPANSION_SHORTLIST
