scientific_family,A_primitives_in_P_hard,A_share_of_P_hard,B_atoms_with_this_ancestry,B_atom_ancestry_share,C_shortlist_atoms,C_shortlist_share,D_seeds,D_seed_share,E_explored_supports,E_explored_share,F_retained_path_supports,F_retained_share,G_lowest_J_supports,G_lowest_J_share
ece_te_profile,33,0.4714285714285714,9075,0.841992948598998,230,0.4197080291970803,39,0.30708661417322836,156081,0.9584635696521232,646,0.8544973544973545,12,1.0
cer_rotation_ti,14,0.2,3736,0.346632028205604,170,0.3102189781021898,39,0.30708661417322836,143040,0.8783812828149468,536,0.708994708994709,10,0.8333333333333334
neutral_beams,10,0.14285714285714285,1551,0.14390424939691965,94,0.17153284671532848,28,0.2204724409448819,82739,0.5080843747121496,289,0.38227513227513227,3,0.25
gas_injection,4,0.05714285714285714,1046,0.09704954537019855,95,0.17335766423357665,28,0.2204724409448819,89937,0.5522859160551444,284,0.37566137566137564,6,0.5
magnetics,4,0.05714285714285714,769,0.07134904434960104,127,0.23175182481751824,39,0.30708661417322836,121024,0.7431852374957781,533,0.705026455026455,11,0.9166666666666666
filterscope_dalpha,3,0.04285714285714286,486,0.0450918537762108,56,0.10218978102189781,17,0.13385826771653545,116659,0.7163806073259849,457,0.6044973544973545,7,0.5833333333333334
density,2,0.02857142857142857,446,0.04138059009092596,99,0.18065693430656934,29,0.2283464566929134,140052,0.860032546286346,628,0.8306878306878307,11,0.9166666666666666
