support_size,cell,gram_partitioned,lstsq,relative_deviation
2,165042:B,0.3296084437732846,0.3296084437732859,4.0419705705918125e-15
2,160715:A,1.7832032473827706,1.7832032473827717,6.226003829090396e-16
2,195650:A,1.308742676025105,1.308742676025105,0.0
2,195267:B,1.1978585996157853,1.1978585996157847,5.561038798642491e-16
2,195650:C,0.8499492679184569,0.8499492679184567,2.6124453929917854e-16
2,160715:A,0.49811541310079355,0.49811541310079266,1.7830775686525568e-15
2,160715:C,0.387092718016201,0.3870927180162012,5.736212400558203e-16
2,165022:B,0.5965630451533572,0.5965630451533581,1.4888257442627907e-15
2,187024:C,0.4388092094437581,0.4388092094437507,1.6951545466463282e-14
2,187017:B,0.5096409182107152,0.5096409182107143,1.7427533542997467e-15
2,161138:B,0.6178470778744645,0.6178470778744668,3.773536260353623e-15
2,189651:C,0.7095025641666838,0.7095025641666817,2.9731023583619292e-15
5,195264:C,0.3415162694595826,0.34151626945958097,4.713753134671678e-15
5,195267:B,1.5233141317343804,1.5233141317343806,1.457641600634406e-16
5,195650:C,0.1553769622559664,0.1553769622559674,6.430816432854193e-15
5,165861:C,0.2699766798142704,0.26997667981426593,1.6654783860684725e-14
5,160720:C,1.2807795199201402,1.2807795199201426,1.9070344397196757e-15
5,160720:A,0.6990576565284013,0.6990576565284001,1.7469879854438837e-15
5,165028:B,0.5675285973303305,0.567528597330333,4.499355571947636e-15
5,189647:B,0.31923690038467956,0.31923690038467994,1.2172090950343423e-15
5,170396:A,0.46620352566929874,0.4662035256692984,7.144238278965914e-16
5,195655:A,2.448917174606618,2.4489171746066387,8.523029312457483e-15
5,195650:C,0.6372370767985946,0.637237076798595,5.22673459398873e-16
5,195273:C,0.11689617394989477,0.11689617394989474,2.37437844865015e-16
9,160715:A,1.0232259525693366,1.0232259525693377,1.0850223470557678e-15
9,165028:B,0.2383300218748289,0.23833002187482552,1.4207946604751288e-14
9,189651:A,0.9574562949679857,0.9574562949679857,0.0
9,160720:B,0.4851016364531392,0.48510163645313537,7.895808109331794e-15
9,161138:B,0.35949919320897106,0.35949919320897306,5.558848203488547e-15
9,189651:B,0.278974501077901,0.2789745010778984,9.352195622855856e-15
9,160715:C,0.27192921912325807,0.27192921912325624,6.736561802875567e-15
9,195267:A,0.17877198300360592,0.17877198300359984,3.400125096615577e-14
9,195273:B,0.30358337356722864,0.3035833735672203,2.7427960190464638e-14
9,165022:B,0.3314084493040558,0.3314084493040553,1.5075064082719122e-15
9,161138:C,0.5672557814124236,0.5672557814124227,1.5657459100524813e-15
9,187024:B,0.8636533421024244,0.8636533421024193,5.913282175048986e-15
12,165022:C,0.11756104900566317,0.11756104900566412,8.145277426820695e-15
12,170396:C,0.10835656188699336,0.10835656188699541,1.895512887995243e-14
12,165022:A,0.2738442588129168,0.27384425881291646,1.216263977310877e-15
12,195655:C,0.26945728038671046,0.2694572803867122,6.386339555195233e-15
12,165861:B,0.6299527570769959,0.6299527570770489,8.406604730224678e-14
12,165028:B,0.15622366688332137,0.15622366688332123,8.883281313694524e-16
12,195655:B,0.1324540279698216,0.13245402796982636,3.583283576210873e-14
12,195273:B,0.5300316684012748,0.5300316684012778,5.655515217665239e-15
12,195638:B,0.1706152099562855,0.17061520995627963,3.448802736884454e-14
12,170396:C,0.09663278976214687,0.09663278976213027,1.7176192738513556e-13
12,160720:C,0.4893442382994641,0.4893442382994643,3.403196373017473e-16
12,195647:C,0.12356969723979064,0.12356969723979049,1.2353810788232846e-15
