constructor,admissible_atoms,atom_share,shortlist_atoms,shortlist_share,seeds,seed_share,explored_support_participation,explored_participation_share,retained_path_participation,retained_participation_share,status
C0,66,0.006123585080719985,66,0.12043795620437957,7,0.05511811023622047,97171,0.5967085265129417,427,0.5648148148148148,ACTIVE
C1,59,0.0054741139357951385,59,0.10766423357664233,5,0.03937007874015748,11576,0.07108600202646688,42,0.05555555555555555,ACTIVE
C2,2080,0.19298571163481165,96,0.17518248175182483,28,0.2204724409448819,124625,0.7652982897847647,534,0.7063492063492064,ACTIVE
C3,2457,0.22796437186862126,96,0.17518248175182483,28,0.2204724409448819,146830,0.9016549479566459,588,0.7777777777777778,ACTIVE
C5,39,0.0036184820931527183,39,0.07116788321167883,4,0.031496062992125984,95675,0.5875218766311523,317,0.4193121693121693,ACTIVE
C6,3776,0.35034329189088886,96,0.17518248175182483,35,0.2755905511811024,83193,0.5108723018821579,35,0.046296296296296294,ACTIVE
C7,2301,0.2134904434960104,96,0.17518248175182483,20,0.15748031496062992,59994,0.3684116798182321,20,0.026455026455026454,ACTIVE
C4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,DECLARED_IN_ONTOLOGY / ZERO_PRIMARY_ATOMS / ZERO_SEARCH_OPPORTUNITY (not a search exclusion; not rescued)
C8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,DECLARED_IN_ONTOLOGY / ZERO_PRIMARY_ATOMS / ZERO_SEARCH_OPPORTUNITY (not a search exclusion; not rescued)
