shot_id,signal_id,available,n_samples,valid_fraction,time_start_ms,time_end_ms,missing_fraction,source_resolution_ms,notes
155537,pcbcoil,True,6520,1.0,0.0,4889.749987654568,0.0,0.749999998106432,
155537,pcdiamag3,True,6520,1.0,0.0,4889.749987654568,0.0,0.749999998106432,
155537,pinj,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_15l,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_15r,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_21l,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_21r,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_30l,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_30r,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_33l,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,pinj_33r,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,prmtan_neped,True,508,1.0,300.4989929199219,4886.123046875,0.0,10.0,
155537,prmtan_teped,True,506,1.0,301.072998046875,4886.123046875,0.0,10.0,
155537,q95,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,rmaxis,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,rsurf,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,tinj,True,48900,1.0,0.0,4889.900000000001,0.0,0.09999999999990905,
155537,tribot,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,tritop,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,volume,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,vsurf,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,zcur,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,zmaxis,True,239,1.0,105.0,4865.0,0.0,20.0,
155537,zsurf,True,239,1.0,105.0,4865.0,0.0,20.0,
159310,aminor,True,249,1.0,100.0,5060.0,0.0,20.0,
159310,area,True,249,1.0,100.0,5060.0,0.0,20.0,
159310,betan,True,249,1.0,100.0,5060.0,0.0,20.0,
159310,bt,True,5090,1.0,0.0,5089.0,0.0,1.0,
159310,cerqrott10,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqrott11,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqrott12,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqrott13,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqrott3,True,437,1.0,720.0,5080.0,0.0,10.0,
159310,cerqrott6,True,437,1.0,720.0,5080.0,0.0,10.0,
159310,cerqrott8,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqtit10,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqtit11,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqtit12,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqtit13,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,cerqtit3,True,437,1.0,720.0,5080.0,0.0,10.0,
159310,cerqtit6,True,437,1.0,720.0,5080.0,0.0,10.0,
159310,cerqtit8,True,439,1.0,700.0,5080.0,0.0,10.0,
159310,density,True,4989,1.0,100.3175048828125,5088.3175048828125,0.0,1.0,
159310,drsep,True,249,1.0,100.0,5060.0,0.0,20.0,
159310,ece1,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece10,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece11,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece12,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece13,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece14,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece15,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece16,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece17,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece18,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece19,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece2,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece20,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece21,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece22,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece23,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece24,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece25,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece26,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece27,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece28,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece29,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece3,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece30,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece31,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece32,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece33,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece34,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece35,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece36,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
159310,ece37,True,25449,1.0,0.0,5089.6,0.0,0.19999999999998863,
