shot_id,data_file,start_time_ms,end_time_ms,duration_ms,available_signal_count,native_sample_count_total,historical_qdesc_member,historical_qrec_development_member,historical_qrec_external_member,regime_labels,notes
155537,shot_155537_resampled.npz,0.0,4889.979999254943,4889.979999254943,95,2493260,True,True,False,NOT_DOCUMENTED,
159310,shot_159310_resampled.npz,0.0,5090.0,5090.0,95,2591676,True,True,False,NOT_DOCUMENTED,
160715,shot_160715_resampled.npz,0.0,4900.0,4900.0,95,2495056,True,False,True,NOT_DOCUMENTED,
160717,shot_160717_resampled.npz,0.0,4900.0,4900.0,95,2495023,True,False,True,NOT_DOCUMENTED,
160719,shot_160719_resampled.npz,0.0,4924.99998756557,4924.99998756557,95,2507750,True,False,True,NOT_DOCUMENTED,
160720,shot_160720_resampled.npz,0.0,4900.0,4900.0,95,2495057,True,False,True,NOT_DOCUMENTED,
160721,shot_160721_resampled.npz,0.0,4900.0,4900.0,95,2495039,True,True,False,NOT_DOCUMENTED,
161136,shot_161136_resampled.npz,0.0,4994.999987388837,4994.999987388837,95,2542714,True,False,True,NOT_DOCUMENTED,
161138,shot_161138_resampled.npz,0.0,4994.999987388837,4994.999987388837,95,2542714,True,False,True,NOT_DOCUMENTED,
161145,shot_161145_resampled.npz,0.0,4994.999987388837,4994.999987388837,95,2542714,True,False,True,NOT_DOCUMENTED,
161414,shot_161414_resampled.npz,0.0,5850.0,5850.0,95,2978715,True,False,True,NOT_DOCUMENTED,
165017,shot_165017_resampled.npz,0.0,4904.999999999999,4904.999999999999,95,2497707,True,False,True,NOT_DOCUMENTED,
165022,shot_165022_resampled.npz,0.0,4894.999987641313,4894.999987641313,95,2492517,True,True,False,NOT_DOCUMENTED,
165026,shot_165026_resampled.npz,0.0,4904.999999999999,4904.999999999999,95,2497654,True,False,True,NOT_DOCUMENTED,
165027,shot_165027_resampled.npz,0.0,4904.999999999999,4904.999999999999,95,2497476,True,False,True,NOT_DOCUMENTED,
165028,shot_165028_resampled.npz,0.0,4904.999999999999,4904.999999999999,95,2497659,True,False,True,NOT_DOCUMENTED,
