node_id,node_type,category,direct_or_derived,evidence_class
ece4,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece40,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece5,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece6,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece7,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece8,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece9,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
fs03da,stored_series,filterscope_dalpha,UNKNOWN,UNRESOLVED
fs04,stored_series,filterscope_dalpha,UNKNOWN,UNRESOLVED
fs04da,stored_series,filterscope_dalpha,UNKNOWN,UNRESOLVED
fs05da,stored_series,filterscope_dalpha,UNKNOWN,UNRESOLVED
gasa,stored_series,gas_injection,UNKNOWN,UNRESOLVED
gasb,stored_series,gas_injection,UNKNOWN,UNRESOLVED
gasc,stored_series,gas_injection,UNKNOWN,UNRESOLVED
gasd,stored_series,gas_injection,UNKNOWN,UNRESOLVED
ip,stored_series,magnetics,UNKNOWN,UNRESOLVED
kappa,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
li,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
pcbcoil,stored_series,magnetics,UNKNOWN,UNRESOLVED
pcdiamag3,stored_series,magnetics,UNKNOWN,UNRESOLVED
pinj,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_15l,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_15r,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_21l,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_21r,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_30l,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_30r,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_33l,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
pinj_33r,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
prmtan_neped,stored_series,density,UNKNOWN,UNRESOLVED
prmtan_teped,stored_series,density,UNKNOWN,UNRESOLVED
q95,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
rmaxis,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
rsurf,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
tinj,stored_series,neutral_beams,UNKNOWN,UNRESOLVED
tribot,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
tritop,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
volume,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
vsurf,stored_series,magnetics,UNKNOWN,UNRESOLVED
zcur,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
zmaxis,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
zsurf,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
upstream_resample,preprocessing_operation,pipeline,N/A,LOCAL_LINEAGE_EVIDENCE
provider_clean,preprocessing_operation,pipeline,N/A,LOCAL_LINEAGE_EVIDENCE
common_grid,preprocessing_operation,pipeline,N/A,LOCAL_LINEAGE_EVIDENCE
block_average_or_interp,preprocessing_operation,pipeline,N/A,LOCAL_LINEAGE_EVIDENCE
equilibrium_reconstruction,equilibrium_reconstruction,equilibrium_shape,N/A,UNRESOLVED
