shot_id,signal_id,native_median_dt_ms,time_start_ms,time_end_ms,n_native_samples
159310,cerqrott11,10.0,700.0,5080.0,439
159310,cerqrott12,10.0,700.0,5080.0,439
159310,cerqrott13,10.0,700.0,5080.0,439
159310,cerqrott3,10.0,720.0,5080.0,437
159310,cerqrott6,10.0,720.0,5080.0,437
159310,cerqrott8,10.0,700.0,5080.0,439
159310,cerqtit10,10.0,700.0,5080.0,439
159310,cerqtit11,10.0,700.0,5080.0,439
159310,cerqtit12,10.0,700.0,5080.0,439
159310,cerqtit13,10.0,700.0,5080.0,439
159310,cerqtit3,10.0,720.0,5080.0,437
159310,cerqtit6,10.0,720.0,5080.0,437
159310,cerqtit8,10.0,700.0,5080.0,439
159310,density,1.0,100.3175048828125,5088.3175048828125,4989
159310,drsep,20.0,100.0,5060.0,249
159310,ece1,0.19999999999998863,0.0,5089.6,25449
159310,ece10,0.19999999999998863,0.0,5089.6,25449
159310,ece11,0.19999999999998863,0.0,5089.6,25449
159310,ece12,0.19999999999998863,0.0,5089.6,25449
159310,ece13,0.19999999999998863,0.0,5089.6,25449
159310,ece14,0.19999999999998863,0.0,5089.6,25449
159310,ece15,0.19999999999998863,0.0,5089.6,25449
159310,ece16,0.19999999999998863,0.0,5089.6,25449
159310,ece17,0.19999999999998863,0.0,5089.6,25449
159310,ece18,0.19999999999998863,0.0,5089.6,25449
159310,ece19,0.19999999999998863,0.0,5089.6,25449
159310,ece2,0.19999999999998863,0.0,5089.6,25449
159310,ece20,0.19999999999998863,0.0,5089.6,25449
159310,ece21,0.19999999999998863,0.0,5089.6,25449
159310,ece22,0.19999999999998863,0.0,5089.6,25449
159310,ece23,0.19999999999998863,0.0,5089.6,25449
159310,ece24,0.19999999999998863,0.0,5089.6,25449
159310,ece25,0.19999999999998863,0.0,5089.6,25449
159310,ece26,0.19999999999998863,0.0,5089.6,25449
159310,ece27,0.19999999999998863,0.0,5089.6,25449
159310,ece28,0.19999999999998863,0.0,5089.6,25449
159310,ece29,0.19999999999998863,0.0,5089.6,25449
159310,ece3,0.19999999999998863,0.0,5089.6,25449
159310,ece30,0.19999999999998863,0.0,5089.6,25449
159310,ece31,0.19999999999998863,0.0,5089.6,25449
159310,ece32,0.19999999999998863,0.0,5089.6,25449
159310,ece33,0.19999999999998863,0.0,5089.6,25449
159310,ece34,0.19999999999998863,0.0,5089.6,25449
159310,ece35,0.19999999999998863,0.0,5089.6,25449
159310,ece36,0.19999999999998863,0.0,5089.6,25449
