shot_id,signal_id,n,finite_fraction,n_unique,repeat_ratio,min,max,mean,std,dynamic_range,near_constant,frac_at_min,frac_at_max,n_outliers_4sigma
155537,aminor,239,1.0,239,0.0,0.5763604044914246,0.6267133355140686,0.5887130146682223,0.0067309479776274505,0.05035293102264404,False,0.0041841004184100415,0.0041841004184100415,3
155537,area,239,1.0,239,0.0,1.7277196645736694,1.918926477432251,1.7992710074546585,0.02578916674169088,0.19120681285858154,False,0.0041841004184100415,0.0041841004184100415,2
155537,betan,239,1.0,239,0.0,0.08399379998445511,3.5433554649353023,2.4740187036346715,1.145016663148129,3.459361664950847,False,0.0041841004184100415,0.0041841004184100415,0
155537,bt,4890,1.0,1383,0.7171779141104295,1.9506862379785153,1.9743391582160257,1.963839981468989,0.004849350336230585,0.023652920237510422,False,0.00020449897750511248,0.00020449897750511248,0
155537,cerqrott10,429,1.0,349,0.1864801864801865,-29.50639533996582,36.308815002441406,-3.0987693421350913,13.101784163344282,65.81521034240723,False,0.002331002331002331,0.002331002331002331,0
155537,cerqrott11,429,1.0,308,0.28205128205128205,-13.841753959655762,44.328582763671875,3.6972064874102384,7.18389783188816,58.17033672332764,False,0.002331002331002331,0.002331002331002331,4
155537,cerqrott12,429,1.0,206,0.5198135198135199,-7.239376544952393,54.119319915771484,7.489262798571977,7.6593482083263025,61.35869646072388,False,0.002331002331002331,0.002331002331002331,11
155537,cerqrott13,429,1.0,199,0.5361305361305362,-21.941969060357337,162.24665310678904,6.645229085601365,16.924651339666532,184.18862216714638,False,0.002331002331002331,0.002331002331002331,6
155537,cerqrott3,448,1.0,363,0.1897321428571429,-240.8749542236328,-0.7415035963058472,-127.18334612631965,48.339320914959785,240.13345062732697,False,0.002232142857142857,0.002232142857142857,0
155537,cerqrott6,448,1.0,326,0.2723214285714286,-149.76156616210938,2.9730031490325928,-69.77634747527567,30.004828660394406,152.73456931114197,False,0.002232142857142857,0.002232142857142857,0
155537,cerqrott8,429,1.0,306,0.28671328671328666,18.687725067138672,123.75897216796875,53.123288326888066,23.290324691952147,105.07124710083008,False,0.002331002331002331,0.002331002331002331,0
155537,cerqtit10,429,1.0,424,0.011655011655011704,228.1999969482422,1399.8999023437498,736.0486514596425,252.98157887290884,1171.6999053955076,False,0.002331002331002331,0.002331002331002331,0
155537,cerqtit11,429,1.0,422,0.01631701631701632,-946.6395464891838,2195.0,568.1813327381274,253.37837595603168,3141.639546489184,False,0.002331002331002331,0.002331002331002331,6
155537,cerqtit12,429,1.0,414,0.034965034965035,157.93115534584342,2035.3999023437495,521.347295941289,282.7167593168759,1877.4687469979062,False,0.002331002331002331,0.002331002331002331,7
155537,cerqtit13,429,1.0,412,0.03962703962703962,152.3716836900886,3549.3874882002488,465.5238313465379,379.6559036533307,3397.0158045101603,False,0.002331002331002331,0.002331002331002331,8
155537,cerqtit3,448,1.0,445,0.006696428571428603,483.29998779296875,7307.099609375,4996.875224095025,1886.7973891458778,6823.799621582031,False,0.002232142857142857,0.002232142857142857,0
155537,cerqtit6,448,1.0,444,0.008928571428571397,136.75954305054844,3858.3000488281245,2657.8788368936466,1033.7284833580943,3721.540505777576,False,0.002232142857142857,0.002232142857142857,0
155537,cerqtit8,429,1.0,419,0.023310023310023298,426.20001220703125,3178.699951171875,2312.7131516267546,765.4197462196495,2752.4999389648438,False,0.002331002331002331,0.002331002331002331,0
155537,density,4784,1.0,4784,0.0,7647581558887.986,40128600597246.44,31137884109693.06,8500262580041.45,32481019038358.453,False,0.00020903010033444816,0.00020903010033444816,0
