scientific_family,n_primitives_in_P_hard,n_admissible_atoms_with_this_ancestry,atom_ancestry_share,family_code,n_strata_touching_this_family,stratum_share,projected_seeds_touching_this_family,projected_seed_share,multiplicity_amplification_removed
ece_te_profile,33,9075,0.841992948598998,ECE,39,0.30708661417322836,78,0.30952380952380953,0.5324691390751884
cer_rotation_ti,14,3736,0.346632028205604,CER,39,0.30708661417322836,78,0.30952380952380953,0.03710821868179448
neutral_beams,10,1551,0.14390424939691965,NBI,28,0.2204724409448819,56,0.2222222222222222,-0.07831797282530256
gas_injection,4,1046,0.09704954537019855,GAS,28,0.2204724409448819,56,0.2222222222222222,-0.12517267685202366
magnetics,4,769,0.07134904434960104,MAG,39,0.30708661417322836,78,0.30952380952380953,-0.2381747651742085
filterscope_dalpha,3,486,0.0450918537762108,FS,17,0.13385826771653545,34,0.1349206349206349,-0.08982878114442411
density,2,446,0.04138059009092596,DEN,29,0.2283464566929134,56,0.2222222222222222,-0.18084163213129625
