coordinate_id,constructor,operands,first_rejecting_class,rejection_reason,value_min,value_max
"PROD(fs05da,pinj_21l)",C2,fs05da|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-6.994452094963359e+19,5.225258232459046e+22
"PROD(fs05da,pinj_21r)",C2,fs05da|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-5.3108470706329895e+19,3.969407200136053e+22
"PROD(fs05da,pinj_33l)",C2,fs05da|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-1.4657839849848986e+20,5.658054579027569e+22
"PROD(gasa,pinj_15r)",C2,gasa|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-4058.385056434638,12666670.975950137
"PROD(gasa,pinj_21l)",C2,gasa|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-64.48472390349657,13772718.131420135
"PROD(gasa,pinj_21r)",C2,gasa|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9517217.800677236
"PROD(gasa,pinj_33l)",C2,gasa|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-21492.37837804545,15879670.03963478
"PROD(gasb,pinj_15r)",C2,gasb|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-1845927.5215482875,6535378.371210617
"PROD(gasb,pinj_21l)",C2,gasb|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-214267.2960650695,21760530.51905483
"PROD(gasb,pinj_21r)",C2,gasb|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-71475.6293456915,19713215.600479286
"PROD(gasb,pinj_33l)",C2,gasb|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-2047180.9424017593,17562481.191584956
"PROD(gasc,pinj_15r)",C2,gasc|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-166738.02940537917,186718.43652093902
"PROD(gasc,pinj_21l)",C2,gasc|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-101366.05698967112,334121.1531063351
"PROD(gasc,pinj_21r)",C2,gasc|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-112962.736434167,306795.3119122715
"PROD(gasc,pinj_33l)",C2,gasc|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-195452.32792256537,261807.2611133052
"PROD(gasd,pinj_15r)",C2,gasd|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-200568.97459515376,489025.1807547423
"PROD(gasd,pinj_21l)",C2,gasd|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-208339.81809345717,649491.614061532
"PROD(gasd,pinj_21r)",C2,gasd|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-184814.81120462003,596709.7736833683
"PROD(gasd,pinj_33l)",C2,gasd|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-1343625.4082177714,997070.2707990947
"PROD(pinj,pinj_15r)",C2,pinj|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,25843403026428.152
"PROD(pinj,pinj_21l)",C2,pinj|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-162084459.18373463,33124781424982.42
"PROD(pinj,pinj_21r)",C2,pinj|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,24531453207396.645
"PROD(pinj,pinj_33l)",C2,pinj|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,33410299918501.62
"PROD(pinj_15l,pinj_15r)",C2,pinj_15l|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,3207537177011.0015
"PROD(pinj_15l,pinj_21l)",C2,pinj_15l|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-23255044.79976111,4258085015604.294
"PROD(pinj_15l,pinj_21r)",C2,pinj_15l|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,3180680214847.6704
"PROD(pinj_15l,pinj_33l)",C2,pinj_15l|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4555061030793.328
"PROD(pinj_15r,pinj_21l)",C2,pinj_15r|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-22514955.26933364,3897611646383.566
"PROD(pinj_15r,pinj_21r)",C2,pinj_15r|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2965170412474.79
"PROD(pinj_15r,pinj_30l)",C2,pinj_15r|pinj_30l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4633146820654.04
"PROD(pinj_15r,pinj_30r)",C2,pinj_15r|pinj_30r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-25813451.762460638,3493938586393.0503
"PROD(pinj_15r,pinj_33l)",C2,pinj_15r|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4327132864021.3467
"PROD(pinj_15r,pinj_33r)",C2,pinj_15r|pinj_33r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-46471250.08287723,3796399312208.4395
"PROD(pinj_15r,tinj)",C2,pinj_15r|tinj,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-2481866.915638061,20307923.52287891
"PROD(pinj_15r,ece1)",C2,pinj_15r|ece1,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2579718158.021085
"PROD(pinj_15r,ece2)",C2,pinj_15r|ece2,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11063762191.203024
"PROD(pinj_15r,ece3)",C2,pinj_15r|ece3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,5487715902.778872
"PROD(pinj_15r,ece4)",C2,pinj_15r|ece4,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,5521127620.479913
"PROD(pinj_15r,ece5)",C2,pinj_15r|ece5,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6862003420.733496
"PROD(pinj_15r,ece6)",C2,pinj_15r|ece6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6110567330.717227
"PROD(pinj_15r,ece7)",C2,pinj_15r|ece7,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7012896993.696484
"PROD(pinj_15r,ece8)",C2,pinj_15r|ece8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7807622683.166052
"PROD(pinj_15r,ece9)",C2,pinj_15r|ece9,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7211684524.649053
"PROD(pinj_15r,ece10)",C2,pinj_15r|ece10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7762267102.125118
"PROD(pinj_15r,ece11)",C2,pinj_15r|ece11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,8622010431.403637
"PROD(pinj_15r,ece12)",C2,pinj_15r|ece12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9094120428.413868
"PROD(pinj_15r,ece13)",C2,pinj_15r|ece13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9421027063.005878
"PROD(pinj_15r,ece14)",C2,pinj_15r|ece14,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10016734124.029114
"PROD(pinj_15r,ece15)",C2,pinj_15r|ece15,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9869453251.599401
"PROD(pinj_15r,ece16)",C2,pinj_15r|ece16,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10048350585.74654
"PROD(pinj_15r,ece17)",C2,pinj_15r|ece17,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,13314046850.481174
"PROD(pinj_15r,ece18)",C2,pinj_15r|ece18,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,12659268192.827215
"PROD(pinj_15r,ece19)",C2,pinj_15r|ece19,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11598673587.217394
"PROD(pinj_15r,ece20)",C2,pinj_15r|ece20,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11030822348.91155
"PROD(pinj_15r,ece21)",C2,pinj_15r|ece21,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11290465953.503914
"PROD(pinj_15r,ece22)",C2,pinj_15r|ece22,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10942511635.164238
"PROD(pinj_15r,ece23)",C2,pinj_15r|ece23,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10431679231.390871
"PROD(pinj_15r,ece24)",C2,pinj_15r|ece24,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10259487003.111097
"PROD(pinj_15r,ece25)",C2,pinj_15r|ece25,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10585858159.327028
"PROD(pinj_15r,ece26)",C2,pinj_15r|ece26,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11684979886.979124
"PROD(pinj_15r,ece27)",C2,pinj_15r|ece27,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10464950228.484486
"PROD(pinj_15r,ece28)",C2,pinj_15r|ece28,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,26265729428.884224
"PROD(pinj_15r,ece29)",C2,pinj_15r|ece29,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9698688188.16297
"PROD(pinj_15r,ece30)",C2,pinj_15r|ece30,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10612521018.104893
"PROD(pinj_15r,ece31)",C2,pinj_15r|ece31,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9101814233.780928
"PROD(pinj_15r,ece32)",C2,pinj_15r|ece32,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10164159853.373804
"PROD(pinj_15r,ece33)",C2,pinj_15r|ece33,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,105178467005.79846
"PROD(pinj_15r,ece34)",C2,pinj_15r|ece34,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,68445118421.92815
"PROD(pinj_15r,ece35)",C2,pinj_15r|ece35,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,8881063269.691946
"PROD(pinj_15r,ece36)",C2,pinj_15r|ece36,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6580823003.611996
"PROD(pinj_15r,ece37)",C2,pinj_15r|ece37,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6591246466.222622
"PROD(pinj_15r,ece38)",C2,pinj_15r|ece38,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6318435170.946679
"PROD(pinj_15r,ece39)",C2,pinj_15r|ece39,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9783607861.11656
"PROD(pinj_15r,ece40)",C2,pinj_15r|ece40,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7769150699.689716
"PROD(pinj_15r,cerqrott3)",C2,pinj_15r|cerqrott3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-566462100074.4413,39988880138.32658
"PROD(pinj_15r,cerqrott6)",C2,pinj_15r|cerqrott6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-292083546990.46893,13169545633.689608
"PROD(pinj_15r,cerqrott8)",C2,pinj_15r|cerqrott8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-18625278630.88245,253029972413.51944
"PROD(pinj_15r,cerqrott10)",C2,pinj_15r|cerqrott10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-24221775418.101887,231908511542.7413
"PROD(pinj_15r,cerqrott11)",C2,pinj_15r|cerqrott11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-52539398135.89731,215118177558.65826
"PROD(pinj_15r,cerqrott12)",C2,pinj_15r|cerqrott12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-48879489970.02209,200069251484.71112
"PROD(pinj_15r,cerqrott13)",C2,pinj_15r|cerqrott13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-39555847534.39632,174843177117.1114
