coordinate_id,constructor,operands,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_propagation,temporal_resolution_bound_ms,provenance_lineage,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,domain_predicate,exact_dependency_member
ID(ece26),C0,ece26,ece26,1,0,eV,eV,inherit,0.2,ece26:ece_te_profile,False,False,False,PRIMARY,,
ID(ece27),C0,ece27,ece27,1,0,eV,eV,inherit,0.2,ece27:ece_te_profile,False,False,False,PRIMARY,,
ID(ece28),C0,ece28,ece28,1,0,eV,eV,inherit,0.2,ece28:ece_te_profile,False,False,False,PRIMARY,,
ID(ece29),C0,ece29,ece29,1,0,eV,eV,inherit,0.2,ece29:ece_te_profile,False,False,False,PRIMARY,,
ID(ece30),C0,ece30,ece30,1,0,eV,eV,inherit,0.2,ece30:ece_te_profile,False,False,False,PRIMARY,,
ID(ece31),C0,ece31,ece31,1,0,eV,eV,inherit,0.2,ece31:ece_te_profile,False,False,False,PRIMARY,,
ID(ece32),C0,ece32,ece32,1,0,eV,eV,inherit,0.2,ece32:ece_te_profile,False,False,False,PRIMARY,,
ID(ece33),C0,ece33,ece33,1,0,eV,eV,inherit,0.2,ece33:ece_te_profile,False,False,False,PRIMARY,,
ID(ece34),C0,ece34,ece34,1,0,eV,eV,inherit,0.2,ece34:ece_te_profile,False,False,False,PRIMARY,,
ID(ece35),C0,ece35,ece35,1,0,eV,eV,inherit,0.2,ece35:ece_te_profile,False,False,False,PRIMARY,,
ID(ece36),C0,ece36,ece36,1,0,eV,eV,inherit,0.2,ece36:ece_te_profile,False,False,False,PRIMARY,,
ID(ece37),C0,ece37,ece37,1,0,eV,eV,inherit,0.2,ece37:ece_te_profile,False,False,False,PRIMARY,,
ID(ece38),C0,ece38,ece38,1,0,eV,eV,inherit,0.2,ece38:ece_te_profile,False,False,False,PRIMARY,,
ID(ece39),C0,ece39,ece39,1,0,eV,eV,inherit,0.2,ece39:ece_te_profile,False,False,False,PRIMARY,,
ID(ece40),C0,ece40,ece40,1,0,eV,eV,inherit,0.2,ece40:ece_te_profile,False,False,False,PRIMARY,,
ID(cerqrott3),C0,cerqrott3,cerqrott3,1,0,m s^-1,m/s,inherit,10.0,cerqrott3:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqrott6),C0,cerqrott6,cerqrott6,1,0,m s^-1,m/s,inherit,9.98003992015968,cerqrott6:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqrott8),C0,cerqrott8,cerqrott8,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott8:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqrott10),C0,cerqrott10,cerqrott10,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott10:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqrott11),C0,cerqrott11,cerqrott11,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott11:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqrott12),C0,cerqrott12,cerqrott12,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott12:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqrott13),C0,cerqrott13,cerqrott13,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott13:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqtit3),C0,cerqtit3,cerqtit3,1,0,eV,eV,inherit,10.0,cerqtit3:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqtit6),C0,cerqtit6,cerqtit6,1,0,eV,eV,inherit,9.98003992015968,cerqtit6:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqtit8),C0,cerqtit8,cerqtit8,1,0,eV,eV,inherit,9.973614775725594,cerqtit8:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqtit10),C0,cerqtit10,cerqtit10,1,0,eV,eV,inherit,9.973614775725594,cerqtit10:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqtit11),C0,cerqtit11,cerqtit11,1,0,eV,eV,inherit,9.973614775725594,cerqtit11:cer_rotation_ti,True,False,False,PRIMARY,,
ID(cerqtit12),C0,cerqtit12,cerqtit12,1,0,eV,eV,inherit,9.973614775725594,cerqtit12:cer_rotation_ti,True,False,False,PRIMARY,,
