realization_id,filename,sha256,theta0,omega_init,omega0,omega0_squared,energy_initial,normalized_energy_fraction,sample_count,t_start,t_end,dt,max_abs_energy_drift,max_rel_energy_drift,rms_energy_drift
000,pendulum_000.parquet,7c8dd275904afcc1c937795aab7eac1a937149a25c786651fbc938b91ad584a2,-0.0938819509933202,0.7535974713320013,1.35,1.8225000000000002,0.2919802711791433,0.08010432679811887,3001,0.0,30.0,0.01,1.0491052471195417e-12,3.5930689525110666e-12,2.404559085849076e-13
001,pendulum_001.parquet,7ffd89ebe03e27757ef9b165d3598e00a57202f38a45f47ec2229e7657b61a12,-0.06577050235448922,-0.7624647202963086,1.35,1.8225000000000002,0.29461665196664377,0.08082761370826988,3001,0.0,30.0,0.01,1.0313971898767704e-12,3.500810911372193e-12,2.4028599802269845e-13
002,pendulum_002.parquet,fd7594d261d1b21f51f4cf0f32ee07b47541091f992bf39741d1b5a007a646c2,0.5417275240399326,0.2724367714196536,1.35,1.8225000000000002,0.29805786935551265,0.08177170627037383,3001,0.0,30.0,0.01,1.0962342145148796e-12,3.677924078586669e-12,2.4089264113328664e-13
003,pendulum_003.parquet,9004964700d408cb9f6077702aefe1bcced530b690bd22c2a916398c0c24c600,0.5840404755633557,-0.0700808904826904,1.35,1.8225000000000002,0.304550439248715,0.08355293257852263,3001,0.0,30.0,0.01,1.1126100041281006e-12,3.653286486378939e-12,2.4623221931825957e-13
004,pendulum_004.parquet,f3e5c185e5c554f381faf4e9e5eae92a7914b307c1e67ecfe776863e7c5f7a3b,0.7725280186843544,-0.19854631394553435,1.35,1.8225000000000002,0.5370296151611902,0.14733322775341293,3001,0.0,30.0,0.01,1.7572610033766978e-12,3.272186400463694e-12,3.4387804576761254e-13
005,pendulum_005.parquet,c9eb9e7a50cce563d527cb25764ae62b0b16fa37147a54cdfb47dd7c60a45c12,0.7831017425132938,0.2519409825358643,1.35,1.8225000000000002,0.5625790188085616,0.1543426663397974,3001,0.0,30.0,0.01,1.823208251039432e-12,3.2408038516982913e-12,3.4829250757357906e-13
006,pendulum_006.parquet,8904327634a1c2851900ccd089b391bcef3b7b832c4f9584f25445fdd3d9da80,-0.4551021769846393,0.876590571150867,1.35,1.8225000000000002,0.5697066350027786,0.15629811659884185,3001,0.0,30.0,0.01,1.7811307984061386e-12,3.126399955649896e-12,3.6420394698895277e-13
007,pendulum_007.parquet,642d7dedf47c7529c391448fffc96e6bf7e4eb32d22647b8fb883cdcb941d7a3,-0.13476823484073241,-1.0888652995007617,1.35,1.8225000000000002,0.609339342740157,0.16717128744585924,3001,0.0,30.0,0.01,1.8495205367230483e-12,3.0352882326716045e-12,3.7526529171921403e-13
008,pendulum_008.parquet,ccdadadaf857f78c3e1f6565619340d354d0dbfa64c77f09ec3eff4c4cfbe574,-0.9439628133843059,-0.45985549368356515,1.35,1.8225000000000002,0.8591856548409441,0.23571622903729603,3001,0.0,30.0,0.01,2.454036973631446e-12,2.856235971590735e-12,4.685413538272422e-13
009,pendulum_009.parquet,a2d961cb29fbde470245f18b203aea7312b0ef10fe9b797cb4f0942c6c289852,1.0044230868224155,-0.17311109430026983,1.35,1.8225000000000002,0.859575544439196,0.23582319463352425,3001,0.0,30.0,0.01,2.468025783741723e-12,2.8712145194311124e-12,4.672996540706101e-13
