coordinate_id,constructor
"PROD(prmtan_neped,ece9)",C2
"PROD(prmtan_neped,ece10)",C2
"PROD(prmtan_neped,ece11)",C2
"PROD(prmtan_neped,ece12)",C2
"PROD(prmtan_neped,ece13)",C2
"PROD(prmtan_neped,ece14)",C2
"PROD(prmtan_neped,ece15)",C2
"PROD(prmtan_neped,ece16)",C2
"PROD(prmtan_neped,ece18)",C2
"PROD(prmtan_neped,ece19)",C2
"PROD(prmtan_neped,ece20)",C2
"PROD(prmtan_neped,ece21)",C2
"PROD(prmtan_neped,ece22)",C2
"PROD(prmtan_neped,ece25)",C2
"PROD(prmtan_neped,ece27)",C2
"PROD(prmtan_neped,ece28)",C2
"PROD(prmtan_neped,ece29)",C2
"PROD(prmtan_neped,ece30)",C2
"PROD(prmtan_neped,ece31)",C2
"PROD(prmtan_neped,ece33)",C2
"PROD(prmtan_neped,ece35)",C2
"PROD(prmtan_neped,ece36)",C2
"PROD(prmtan_neped,ece37)",C2
"PROD(prmtan_neped,ece38)",C2
"PROD(prmtan_neped,ece39)",C2
"PROD(prmtan_neped,cerqrott3)",C2
"PROD(prmtan_neped,cerqrott6)",C2
"PROD(prmtan_neped,cerqrott8)",C2
"PROD(prmtan_neped,cerqrott10)",C2
"PROD(prmtan_neped,cerqrott11)",C2
"PROD(prmtan_neped,cerqrott12)",C2
"PROD(prmtan_neped,cerqtit3)",C2
"PROD(prmtan_neped,cerqtit6)",C2
"PROD(prmtan_neped,cerqtit8)",C2
"PROD(prmtan_neped,cerqtit10)",C2
"PROD(prmtan_neped,cerqtit11)",C2
"PROD(prmtan_neped,cerqtit12)",C2
"PROD(prmtan_teped,cerqrott11)",C2
"PROD(prmtan_teped,cerqrott12)",C2
"PROD(fs04,ece1)",C2
"PROD(fs04,cerqrott8)",C2
"PROD(fs04,cerqrott10)",C2
"PROD(fs04,cerqrott11)",C2
"PROD(fs04,cerqrott12)",C2
"PROD(fs05da,ece1)",C2
"PROD(gasc,pinj)",C2
"PROD(gasc,pinj_15l)",C2
"PROD(gasc,pinj_30l)",C2
"PROD(gasc,pinj_33r)",C2
"PROD(gasc,tinj)",C2
"PROD(gasc,ece1)",C2
"PROD(gasc,ece2)",C2
"PROD(gasc,ece3)",C2
"PROD(gasc,ece4)",C2
"PROD(gasc,ece7)",C2
"PROD(gasc,ece8)",C2
"PROD(gasc,ece9)",C2
"PROD(gasc,ece10)",C2
"PROD(gasc,ece11)",C2
"PROD(gasc,ece12)",C2
"PROD(gasc,ece13)",C2
"PROD(gasc,ece14)",C2
"PROD(gasc,ece15)",C2
"PROD(gasc,ece16)",C2
"PROD(gasc,ece18)",C2
"PROD(gasc,ece19)",C2
"PROD(gasc,ece20)",C2
"PROD(gasc,ece21)",C2
"PROD(gasc,ece22)",C2
"PROD(gasc,ece25)",C2
"PROD(gasc,ece27)",C2
"PROD(gasc,ece28)",C2
"PROD(gasc,ece29)",C2
"PROD(gasc,ece30)",C2
"PROD(gasc,ece31)",C2
"PROD(gasc,ece33)",C2
"PROD(gasc,ece35)",C2
"PROD(gasc,ece36)",C2
"PROD(gasc,ece37)",C2
"PROD(gasc,ece38)",C2
"PROD(gasc,ece39)",C2
"PROD(gasc,cerqrott3)",C2
"PROD(gasc,cerqrott6)",C2
"PROD(gasc,cerqrott8)",C2
"PROD(gasc,cerqrott10)",C2
"PROD(gasc,cerqrott11)",C2
"PROD(gasc,cerqrott12)",C2
"PROD(gasc,cerqrott13)",C2
"PROD(gasc,cerqtit3)",C2
"PROD(gasc,cerqtit6)",C2
"PROD(gasc,cerqtit8)",C2
"PROD(gasc,cerqtit10)",C2
"PROD(gasc,cerqtit11)",C2
"PROD(gasc,cerqtit12)",C2
"PROD(pinj,pinj_15l)",C2
"PROD(pinj,pinj_30l)",C2
"PROD(pinj,pinj_33r)",C2
"PROD(pinj,ece1)",C2
"PROD(pinj,ece2)",C2
"PROD(pinj,ece3)",C2
"PROD(pinj,ece4)",C2
"PROD(pinj,ece5)",C2
"PROD(pinj,ece6)",C2
"PROD(pinj,ece7)",C2
"PROD(pinj,ece8)",C2
"PROD(pinj,ece9)",C2
"PROD(pinj,ece10)",C2
"PROD(pinj,ece11)",C2
"PROD(pinj,ece12)",C2
"PROD(pinj,ece13)",C2
"PROD(pinj,ece14)",C2
"PROD(pinj,ece15)",C2
"PROD(pinj,ece16)",C2
"PROD(pinj,ece18)",C2
"PROD(pinj,ece19)",C2
"PROD(pinj,ece20)",C2
"PROD(pinj,ece21)",C2
"PROD(pinj,ece22)",C2
"PROD(pinj,ece25)",C2
"PROD(pinj,ece27)",C2
"PROD(pinj,ece28)",C2
"PROD(pinj,ece29)",C2
"PROD(pinj,ece30)",C2
"PROD(pinj,ece31)",C2
"PROD(pinj,ece33)",C2
"PROD(pinj,ece35)",C2
"PROD(pinj,ece36)",C2
"PROD(pinj,ece37)",C2
"PROD(pinj,ece38)",C2
"PROD(pinj,ece39)",C2
"PROD(pinj,cerqrott3)",C2
"PROD(pinj,cerqrott6)",C2
"PROD(pinj,cerqrott8)",C2
"PROD(pinj,cerqrott10)",C2
"PROD(pinj,cerqrott11)",C2
"PROD(pinj,cerqrott12)",C2
"PROD(pinj,cerqtit3)",C2
"PROD(pinj,cerqtit6)",C2
"PROD(pinj,cerqtit8)",C2
"PROD(pinj,cerqtit10)",C2
"PROD(pinj,cerqtit11)",C2
"PROD(pinj,cerqtit12)",C2
"PROD(pinj_15l,pinj_15l)",C2
"PROD(pinj_15l,pinj_30l)",C2
"PROD(pinj_15l,pinj_30r)",C2
"PROD(pinj_15l,pinj_33r)",C2
"PROD(pinj_15l,tinj)",C2
"PROD(pinj_15l,ece1)",C2
"PROD(pinj_15l,ece2)",C2
"PROD(pinj_15l,ece3)",C2
"PROD(pinj_15l,ece4)",C2
"PROD(pinj_15l,ece5)",C2
