shot_id,cohort,era,block,n_cal,n_pro,gasa_cal_min,gasa_cal_max,gasa_cal_median,gasa_pro_min,gasa_pro_max,gasa_pro_median,gasa_cal_absmax,gasa_pro_absmax,gasa_pro_over_cal_max,gasa_cal_sd,gasa_z_pro_max,gasb_cal_min,gasb_cal_max,gasb_cal_median,gasb_pro_min,gasb_pro_max,gasb_pro_median,gasb_cal_absmax,gasb_pro_absmax,gasb_pro_over_cal_max,gasb_cal_sd,gasb_z_pro_max,gasc_cal_min,gasc_cal_max,gasc_cal_median,gasc_pro_min,gasc_pro_max,gasc_pro_median,gasc_cal_absmax,gasc_pro_absmax,gasc_pro_over_cal_max,gasc_cal_sd,gasc_z_pro_max,gasd_cal_min,gasd_cal_max,gasd_cal_median,gasd_pro_min,gasd_pro_max,gasd_pro_median,gasd_cal_absmax,gasd_pro_absmax,gasd_pro_over_cal_max,gasd_cal_sd,gasd_z_pro_max,pinj_cal_min,pinj_cal_max,pinj_cal_median,pinj_pro_min,pinj_pro_max,pinj_pro_median,pinj_cal_absmax,pinj_pro_absmax,pinj_pro_over_cal_max,pinj_cal_sd,pinj_z_pro_max,tinj_cal_min,tinj_cal_max,tinj_cal_median,tinj_pro_min,tinj_pro_max,tinj_pro_median,tinj_cal_absmax,tinj_pro_absmax,tinj_pro_over_cal_max,tinj_cal_sd,tinj_z_pro_max
160715,development,earlier,A,291,73,0.07607409318073825,4.778950750130609,0.41519401750965595,0.0912670063680912,1.8404090494830323,1.0174864297574302,4.778950750130609,1.8404090494830323,0.38510734797439244,1.1696719360280454,0.8189649370909867,-0.27950877300694704,0.4077084675540774,-0.017352651694322523,-0.7160050490596873,1.9523980821151798,-0.0556338208942558,0.4077084675540774,1.9523980821151798,4.7887111440878245,0.10074099041976746,19.365387812662906,-0.05506708084007364,0.05737844038219614,-0.0013266420384589427,-0.04591016980743381,0.06282277333209747,0.00013359267319312576,0.05737844038219614,0.06282277333209747,1.094884645062445,0.017142435882577238,3.68956751834572,-0.014652149784882192,0.014508990166814511,-0.0013584683430318,-0.01936719896401068,0.01377479359262055,-0.0010122990557656232,0.014652149784882192,0.01936719896401068,0.9493971278667456,0.005563952683232572,3.260599902816467,1958.2992807946894,11189.986913616412,6301.052992786641,9343.775567732187,11230.892267683375,11110.901592933466,11189.986913616412,11230.892267683375,1.0036555318949647,2290.356880209781,2.0876329738422,1.2433615217719,8.949895778587955,4.872345885966284,7.788798088517429,8.968801814128975,8.879683650378759,8.949895778587955,8.968801814128975,1.0021124308046414,1.8931223685754448,2.093759837299468
160715,development,earlier,B,437,73,0.07607409318073825,4.778950750130609,0.6308156599301508,1.6576137785544678,2.33724933460786,2.0365480983610147,4.778950750130609,2.33724933460786,0.4890716512498026,1.0785431437563624,1.1535198037590253,-0.7160050490596873,1.9523980821151798,-0.022606150524317175,-0.8523368670011263,2.8038303156741264,-0.05395038147010899,1.9523980821151798,2.8038303156741264,1.4360956104999478,0.18114925872576892,15.477454744926154,-0.05506708084007364,0.06282277333209747,-0.0015912195003185477,-0.04484312218269514,0.04344429481836489,-0.0012061586758077252,0.06282277333209747,0.04484312218269514,0.6915373600064914,0.017471278002959497,2.5420558697727853,-0.01936719896401068,0.014508990166814511,-0.001272841890754367,-0.019820902968826493,0.012066271660295438,-0.0014564340429804373,0.01936719896401068,0.019820902968826493,0.8316410392153861,0.005731723395282499,3.225706716880531,1958.2992807946894,11234.708321498214,8160.6590678836865,9328.071421127455,11232.08027704764,11100.684812081692,11234.708321498214,11232.08027704764,0.9997660780880671,2874.775732560357,1.1267054640108625,1.2433615217719,8.991550016376712,6.335913106481689,7.776865188631557,8.983392284693663,8.87921497865239,8.991550016376712,8.983392284693663,0.9990927335478098,2.386861704104447,1.127540242220167
160715,development,earlier,C,583,73,0.07607409318073825,4.778950750130609,1.3749055839662059,0.5564911218327419,1.5841707012267001,1.1674558794346985,4.778950750130609,1.5841707012267001,0.3314892293425298,1.0125017331171564,0.7466895225661964,-1.0996112983582287,3.8949396972931645,-0.029854727122516564,-1.307534835881856,4.171098927588274,-0.08574015376784404,3.8949396972931645,4.171098927588274,1.0709020554251534,0.3339100913354721,12.492602870939344,-0.05506708084007364,0.06282277333209747,-0.0014615828863789619,-0.04102753177829129,0.05139645365806064,-0.0036919293916195736,0.06282277333209747,0.05139645365806064,0.818118190777183,0.0173962635604214,2.9791337021816986,-0.019820902968826493,0.014508990166814511,-0.001370843088797471,-0.015454657557637355,0.008225474693506615,-0.0009825182945743438,0.019820902968826493,0.015454657557637355,0.5669226182481134,0.0057124763406501515,2.4687632814567038,1958.2992807946894,11234.708321498214,11011.006995303998,9365.070392637368,11217.902948182009,11088.214409673801,11234.708321498214,11217.902948182009,0.9985041557969024,2825.8084779039395,0.868842683531447,1.2433615217719,8.991550016376712,8.800229560615154,7.801947343373204,8.976582324498642,8.869192839898416,8.991550016376712,8.976582324498642,0.9983353602158906,2.347920444228645,0.8697269902006326
160720,development,earlier,A,292,73,0.0937906390267233,4.386794858325228,0.26621352943523496,0.96416812782348,2.920282680092954,2.8800553621714577,4.386794858325228,2.920282680092954,0.6656984824696925,1.0282780372074682,2.1306620602323814,-0.18491978541568643,0.5256669367175297,-0.009179303623732468,-1.048741078098484,3.830067590787088,-0.027010761009373205,0.5256669367175297,3.830067590787088,7.286110887444301,0.08914463569263678,42.90648156917975,-0.06615076421097674,0.06870588197784079,-0.0033858103251498033,-0.05003374333445401,0.04298133495851977,0.000548889251682195,0.06870588197784079,0.05003374333445401,0.6255845019554835,0.017950243891305073,2.663422806308772,-0.021254832998713745,0.015010932986208446,-0.0041063177884905384,-0.01907568703520345,0.010322253072761849,-0.0024450894565160365,0.021254832998713745,0.01907568703520345,0.6876490010478095,0.005326156991987006,2.8781184663838206,1497.0081758096937,11202.212024344662,6289.741277877042,9225.383174119122,11254.35385104094,11114.452702369288,11202.212024344662,11254.35385104094,1.0046546009469346,2289.7786476579563,2.10972858377095,1.2378053731047944,8.940969889698717,4.828265039649235,7.6764878722723,8.989753753289692,8.879584395140588,8.940969889698717,8.989753753289692,1.005456216069711,1.9049078782471658,2.1034363560608975
160720,development,earlier,B,438,72,0.0937906390267233,4.386794858325228,0.7193559189791994,2.8465168852455296,2.963567704486478,2.900315709944121,4.386794858325228,2.963567704486478,0.6755656008993082,1.264400458947313,1.2699470280827903,-1.048741078098484,3.830067590787088,-0.013393443050081492,-0.48772823610656585,1.511195290680947,-0.007783218808632259,3.830067590787088,1.511195290680947,0.39456099790928045,0.23344542747588473,6.456974089355216,-0.06615076421097674,0.07334830281912837,-0.0025479265417515987,-0.0437347984203251,0.053773189033038106,-0.0014895600181675942,0.07334830281912837,0.053773189033038106,0.7331211080048972,0.01806375219783772,3.0742493603937566,-0.021254832998713745,0.015010932986208446,-0.003645668317648787,-0.01654044416949801,0.013773314755857271,-0.003098872688165141,0.021254832998713745,0.01654044416949801,0.9175522113456733,0.005714446409266458,3.034011283010688,1497.0081758096937,13290.129881898352,8011.457516276533,10301.43667756035,13206.768914639819,11112.820126474617,13290.129881898352,13206.768914639819,0.9937276032665359,2934.430916156786,1.7713163903300844,1.2378053731047944,8.989753753289692,6.251856140328755,7.05989741454049,8.989596947729067,8.876295835331241,8.989753753289692,8.989596947729067,0.9999825573019097,2.3846081633069462,1.1470024078449783
160720,development,earlier,C,584,73,0.0937906390267233,4.386794858325228,2.3852429571102407,2.8731197825436268,2.931736036612994,2.8967196791321492,4.386794858325228,2.931736036612994,0.6683093537071072,1.2822318614421706,0.9270837017030916,-1.048741078098484,3.830067590787088,-0.013585047569871967,-0.7808976833195626,2.6297258171755344,-0.037477880619057685,3.830067590787088,2.6297258171755344,0.686600367967689,0.2179260670654892,12.050897866280662,-0.06615076421097674,0.07334830281912837,-0.0028213299881679737,-0.07412175689129936,0.08072645679878272,-0.004650375461048127,0.07334830281912837,0.08072645679878272,1.1005906571260191,0.019671533272111363,4.199033055333991,-0.021254832998713745,0.016332643617874888,-0.003683131059549617,-0.01611624176586054,0.011301348923959995,-0.004654810122749067,0.021254832998713745,0.01611624176586054,0.6919485411162399,0.00595122854219734,2.5119773204951397,1497.0081758096937,13290.129881898352,11026.741303147646,9281.151172520602,13287.340080866046,13114.77721242816,13290.129881898352,13287.340080866046,0.9997900847428056,2937.559202199258,1.5148213379605573,1.2378053731047944,8.989753753289692,7.860620339775444,7.483271668393408,8.958070738183418,7.597008033495095,8.989753753289692,8.958070738183418,0.996475652617884,2.329407233314477,0.8993421589823042
161138,development,earlier,A,152,38,0.071546049777234,3.653175753494647,0.08771351450698228,0.07120704485793969,0.08452097491168269,0.0778072360965645,3.653175753494647,0.08452097491168269,0.02313630129369754,1.0695098881817213,0.4504581284532485,-0.09213843852721708,0.27732512345321625,0.0015729382116191533,-0.06959674162703097,0.04073492646027273,0.0021883822500279888,0.27732512345321625,0.06959674162703097,0.14688509267767283,0.0287633676871569,2.5748618963802326,-0.0031738871900789272,0.047425264255344414,0.016568862625369385,-0.005132000192343925,0.03266099414562523,0.008965793295920649,0.047425264255344414,0.03266099414562523,0.6886834403235744,0.008417981930334419,2.6138414722794865,-0.017642945918437725,0.0034487683871600753,-0.0063150305354088675,-0.01351810644052886,0.0024053038526871103,-0.0055860037067851885,0.017642945918437725,0.01351810644052886,0.6974385005505641,0.003530592350941566,2.444926353761767,3644.7574248691526,5424.521570649525,3701.4860664355338,3639.071956585267,3764.37446708587,3696.6721678433687,5424.521570649525,3764.37446708587,0.6939551107057593,664.6052497912219,0.5745143128940745,2.456780709043967,4.119753850712147,3.1439097149056874,2.3401095573887973,3.538914230073393,2.9268835974890344,4.119753850712147,3.538914230073393,0.8590110861748816,0.5086182609394092,1.5657955750403636
161138,development,earlier,B,228,38,0.06732532182475362,3.653175753494647,0.08215261850867189,0.06642766100223758,0.08447385544268737,0.07465135235930563,3.653175753494647,0.08447385544268737,0.02312340307248542,0.9017259049352302,0.3632926092854561,-0.09213843852721708,0.27732512345321625,0.001977674563618189,-0.11663909796631985,0.2285861109868074,-0.0005260976050011698,0.27732512345321625,0.2285861109868074,0.8242531658887697,0.025417269039843076,8.839635252353382,-0.008188442517836719,0.047425264255344414,0.013343592827975766,-0.008250734919224664,0.01437510244078583,0.001615029256707086,0.047425264255344414,0.01437510244078583,0.30311064506437374,0.00932762840904995,2.355907958677759,-0.017642945918437725,0.0034487683871600753,-0.0063150305354088675,-0.0142409708073753,0.0010278366337506722,-0.005628015062767348,0.017642945918437725,0.0142409708073753,0.29803005547642913,0.0035333059050631182,2.2616816703508014,3639.071956585267,5424.521570649525,3700.6296938611467,3637.507637668488,3751.367212310275,3695.1744013255284,5424.521570649525,3751.367212310275,0.6915572485890386,564.0728689923342,0.4878685211473046,2.3401095573887973,4.119753850712147,3.1439097149056874,2.473558448433588,3.378189593167125,2.929209913333884,4.119753850712147,3.378189593167125,0.8199979211338478,0.521434263100558,1.1414256129703482
161138,development,earlier,C,304,38,0.06551333886329662,3.653175753494647,0.0793448810435206,0.061715483632733506,0.08461043777632275,0.07378526249648576,3.653175753494647,0.08461043777632275,0.023160790360382735,0.7930942085512802,0.318224693926499,-0.11663909796631985,0.27732512345321625,0.001890224661746312,-0.028190305720248776,0.09700390791000994,0.0008010162355813167,0.27732512345321625,0.09700390791000994,0.34978406104044935,0.027129952285574393,3.4346198810842625,-0.008250734919224664,0.047425264255344414,0.009906433266116337,-0.018335309613763555,0.003279161021493715,-0.0028305888785637827,0.047425264255344414,0.018335309613763555,0.0691437585637529,0.010151783969171801,2.8387207248876587,-0.017642945918437725,0.0034487683871600753,-0.006068474664173062,-0.017381276816552264,3.9431043650931146e-05,-0.006397430959378319,0.017642945918437725,0.017381276816552264,0.011433369604562241,0.003582854755009388,3.1520597851137455,3625.662843532475,5424.521570649525,3699.522416750125,3617.05291806611,3778.4420938243247,3697.579197071969,5424.521570649525,3778.4420938243247,0.6965484503312427,497.91489342597856,0.4840059271308228,2.3401095573887973,4.119753850712147,3.1439097149056874,2.69371177522998,3.183745272263597,2.929785786978137,4.119753850712147,3.183745272263597,0.7727998777677578,0.4875862384150504,0.6995210246528639
165022,development,earlier,A,292,73,0.057913114225904276,4.700728473055598,0.10503331540330318,0.08744521038766395,3.5506779666963246,1.5893809471212432,4.700728473055598,3.5506779666963246,0.7553463228196821,1.614594624046588,1.27513470722152,-0.03522703807121131,0.023238284739842904,-0.004907153836218765,-0.02808295983927075,0.01235405716125991,-0.006336601430481466,0.03522703807121131,0.02808295983927075,0.5316251736978856,0.008216534715558013,2.775070617622926,-0.08705012170167502,0.1382978397913375,-0.0068823401444226325,-0.07151460202929578,0.056925866011151655,-0.008588329569521451,0.1382978397913375,0.07151460202929578,0.4116178972646346,0.032190796164045285,2.088221074022271,-0.058831639566210035,0.30880179480593384,-0.019263830053927837,-0.05685326736175775,0.18814112963680343,-0.023757056080839296,0.30880179480593384,0.18814112963680343,0.6092617750328833,0.055733987448236925,3.4119882522762612,1533.6621996476033,10945.119656990593,6171.896197059072,8335.917714316784,11039.774026263462,10863.251582987203,10945.119656990593,11039.774026263462,1.008648089033217,2181.6432737879195,2.1704652253608385,1.1187906305370867,8.897944819458251,4.7413235703161165,6.498640960883321,8.975361791514633,8.832073726580838,8.897944819458251,8.975361791514633,1.0087005453087419,1.8484803200626567,2.147669099328633
