signal,cohort,n_discharges,global_min,global_max,block_cal_max_min,block_cal_max_max,block_pro_max_min,block_pro_max_max,block_pro_max_p50,block_pro_max_p95,max_pro_over_cal_max,max_z_pro
gasa,development,20,-0.0184719774145496,7.505603903295197,0.0404430659635607,7.505603903295197,0.011086762661945,7.447247930365925,1.816983276016345,4.994424470049642,1.018203973311974,6.346045105391899
gasa,external,42,-0.0183066921791705,7.98209762188744,0.0382700149191826,7.98209762188744,0.008484234630394,7.981857800722885,1.6360011617493857,5.979946104966338,41.005871734702296,254.26269877439364
gasb,development,20,-2.3386414894557266,9.947192613482684,-0.0343222441996611,9.947192613482684,-0.0375613779531792,9.902923357645577,0.0252892256060027,8.197362124505807,7.286110887444301,269.6296056655147
gasb,external,42,-2.113993004740976,9.950267522909636,-0.0347539173842105,9.950267522909636,-0.0368537316067956,9.871709950641732,0.0215318427540645,8.396778571597352,574.2839220436731,372.47700518170245
gasc,development,20,-0.0958437010002425,0.1544625695315496,-0.0326533711157957,0.1544625695315496,-0.0331308371034591,0.1526263287727919,0.0154634502134141,0.1513874895517931,1.1005906571260191,6.078286325037297
gasc,external,42,-0.1035087944227596,0.1580199536468513,-0.0326814191648201,0.154579545564303,-0.0333462315980148,0.1580199536468513,0.0116263442359367,0.1512391694877926,1.9601415380968488,7.927359120650153
gasd,development,20,-0.8676489340770509,1.0352544862599915,-0.0922256939396339,1.0352544862599915,-0.1135255461253971,1.0352544862599915,0.0111499633373165,0.3095398071625433,8.02061391949085,41.30995448339827
gasd,external,42,-0.9229805591118628,0.9659081088367604,-0.1141738820804123,0.9659081088367604,-0.1225869382716663,0.7058874643575442,0.0112962298333475,0.2899578806298657,46.88899127478584,142.8951165264828
pinj,development,20,-0.0030985472968806,15527.456787857302,5424.521570649525,15527.456787857302,3751.367212310275,15527.456787857302,11147.33674661886,14661.028594291856,1.435286087990541,3.781546293704684
pinj,external,42,-0.0067783590979975,15624.04738250958,4925.912807326313,15605.202522117635,3267.109708063373,15624.04738250958,11087.907571262738,15469.757137263,1.7971939427479051,4.031927571176844
tinj,development,20,-2.0391358209522044,12.184444284061849,4.119753850712147,12.184444284061849,3.183745272263597,12.18214351623014,8.831249051314758,9.660869831199218,1.4330211179545465,5.614624892461506
tinj,external,42,-0.5670096815421962,12.563036314043163,4.127544506549213,12.55147587672568,3.153382055145121,12.55178676754435,8.840878217444459,10.765690567220044,1.689278362571911,3.559984406986443
