signal,cohort,n_discharges,global_min,global_max,block_cal_max_min,block_cal_max_max,block_pro_max_min,block_pro_max_max,block_pro_max_p50,block_pro_max_p95,max_pro_over_cal_max,max_z_pro
gasa,development,20,-0.018471977414549694,7.505603903295197,0.040443065963560725,7.505603903295197,0.011086762661945014,7.447247930365925,1.816983276016345,4.994424470049642,1.018203973311974,6.346045105391899
gasa,external,42,-0.018306692179170577,7.98209762188744,0.03827001491918262,7.98209762188744,0.008484234630394044,7.981857800722885,1.6360011617493857,5.979946104966338,41.005871734702296,254.26269877439364
gasb,development,20,-2.3386414894557266,9.947192613482684,-0.03432224419966115,9.947192613482684,-0.037561377953179216,9.902923357645577,0.025289225606002788,8.197362124505807,7.286110887444301,269.6296056655147
gasb,external,42,-2.113993004740976,9.950267522909636,-0.034753917384210575,9.950267522909636,-0.03685373160679567,9.871709950641733,0.02153184275406452,8.396778571597352,574.2839220436731,372.47700518170245
gasc,development,20,-0.09584370100024253,0.15446256953154966,-0.03265337111579574,0.15446256953154966,-0.03313083710345917,0.1526263287727919,0.015463450213414113,0.15138748955179315,1.1005906571260191,6.078286325037297
gasc,external,42,-0.10350879442275968,0.15801995364685137,-0.032681419164820126,0.15457954556430306,-0.03334623159801488,0.15801995364685137,0.01162634423593677,0.1512391694877926,1.9601415380968488,7.927359120650153
gasd,development,20,-0.8676489340770509,1.0352544862599915,-0.09222569393963391,1.0352544862599915,-0.11352554612539711,1.0352544862599915,0.011149963337316507,0.3095398071625433,8.02061391949085,41.30995448339827
gasd,external,42,-0.9229805591118629,0.9659081088367603,-0.1141738820804123,0.9659081088367603,-0.12258693827166632,0.7058874643575442,0.011296229833347552,0.2899578806298657,46.88899127478584,142.8951165264828
pinj,development,20,-0.003098547296880625,15527.456787857302,5424.521570649525,15527.456787857302,3751.367212310275,15527.456787857302,11147.336746618861,14661.028594291856,1.435286087990541,3.781546293704684
pinj,external,42,-0.00677835909799752,15624.04738250958,4925.912807326313,15605.202522117637,3267.109708063373,15624.04738250958,11087.907571262738,15469.757137263001,1.7971939427479051,4.031927571176844
tinj,development,20,-2.0391358209522044,12.184444284061849,4.119753850712147,12.184444284061849,3.183745272263597,12.182143516230141,8.831249051314758,9.660869831199218,1.4330211179545465,5.614624892461506
tinj,external,42,-0.5670096815421962,12.563036314043165,4.127544506549213,12.55147587672568,3.153382055145121,12.55178676754435,8.840878217444459,10.765690567220043,1.689278362571911,3.559984406986443
