canonical_run_id,realization_index,shot,n_samples,mse,rmse,mae,r2,residual_mean,residual_std,coefficient_fit_type
D3D-SIR-62-ALIGNED-V1,0,155537,1000,0.003382151199644552,0.05815626535159004,0.03392874773079441,0.9966178488003554,-4.662936703425658e-18,0.058156265351590034,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,1,159310,1000,0.0019188774844523429,0.04380499383006854,0.0239454117915406,0.9980811225155477,4.11226608321158e-16,0.04380499383006854,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,2,160715,1000,0.005783788537352137,0.07605122311542489,0.042682192494888783,0.9942162114626478,-5.346834086594754e-16,0.07605122311542489,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,3,160717,1000,0.005232757830486907,0.07233780360563145,0.04644358225625234,0.9947672421695131,-4.840572387365683e-16,0.07233780360563145,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,4,160719,1000,0.004046748216763655,0.06361405675449142,0.036874503790608165,0.9959532517832363,-3.3173463975799677e-16,0.06361405675449142,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,5,160720,1000,0.012388961054172275,0.111305709890249,0.0735516033664148,0.9876110389458277,1.6351364706679305e-15,0.111305709890249,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,6,160721,1000,0.003241391715256083,0.05693322154292767,0.03205269811786475,0.9967586082847439,4.636291350834654e-16,0.05693322154292767,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,7,161136,1000,0.004036086896938075,0.0635302046033072,0.03554228431177388,0.9959639131030619,1.817213046706456e-15,0.0635302046033072,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,8,161138,1000,0.002001744565399406,0.04474086013253887,0.030139260237889796,0.9979982554346006,8.941736240331011e-16,0.04474086013253887,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,9,161145,1000,0.0023679974106424625,0.04866207363689368,0.02887737866260359,0.9976320025893576,1.305622276959184e-16,0.04866207363689368,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,10,161414,1000,0.0007046319365979638,0.026544904154996753,0.017079387960810356,0.999295368063402,-1.1789458298494537e-15,0.026544904154996753,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,11,165017,1000,0.0024316781534206417,0.04931204876519167,0.028303486989062845,0.9975683218465794,2.7344793096517606e-16,0.04931204876519167,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,12,165022,1000,0.008016977052748684,0.08953757341333683,0.04813471138424056,0.9919830229472513,-3.170796958329447e-16,0.08953757341333683,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,13,165026,1000,0.0035781670951143866,0.05981778243226998,0.03291914587466904,0.9964218329048856,1.6278089987054046e-15,0.05981778243226998,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,14,165027,1000,0.004867202937270281,0.06976534194906724,0.04285263210119953,0.9951327970627297,-1.2585488207150775e-15,0.06976534194906724,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,15,165028,1000,0.0018742514870500665,0.043292626243392376,0.02577433285878446,0.9981257485129499,2.285505118493347e-15,0.043292626243392376,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,16,165029,1000,0.002710295758946791,0.05206050094790474,0.029477611221194414,0.9972897042410532,-1.7117418593670663e-15,0.05206050094790474,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,17,165031,1000,0.002467661731030354,0.04967556472784536,0.02655771131041516,0.9975323382689697,1.6139312108975902e-15,0.04967556472784536,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,18,165042,1000,0.0015158781606099034,0.03893428001915412,0.022479413678247108,0.9984841218393901,-1.3762324613253441e-15,0.03893428001915412,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,19,165043,1000,0.001358378177056217,0.036856182345112974,0.01983817436581279,0.9986416218229438,-5.456746166032644e-16,0.036856182345112974,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,20,165860,1000,0.003747880688196863,0.06121993701562313,0.03518995899608419,0.9962521193118031,2.6787461138155777e-15,0.06121993701562313,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,21,165861,1000,0.0012213068859513601,0.034947201403708425,0.022797136770250328,0.9987786931140487,6.039613253960852e-17,0.034947201403708425,per_discharge_calibrated_1_8*
