tau,cell_applicability_rate,atoms_full_domain_62,atoms_full_domain_62_frac,atoms_full_domain_development_only,atoms_full_domain_development_only_frac,degenerate_cells,full_C0,full_C1,full_C2,full_C3,full_C5,full_C6,full_C7
0.0,0.8018534370092801,9,0.0008350343291890889,43,0.003989608461681202,263,0.0,0.0,0.0,0.0,0.0,0.0013241525423728813,0.001738374619730552
0.25,0.9463622632323511,1026,0.09519391352755613,1712,0.15884208573019112,263,0.36363636363636365,0.11864406779661017,0.3038461538461538,0.03540903540903541,0.1282051282051282,0.053760593220338986,0.02955236853541938
0.5,0.9708251775320894,2099,0.19474856188532194,3014,0.27964371868621263,263,0.6363636363636364,0.13559322033898305,0.5918269230769231,0.08343508343508343,0.1282051282051282,0.11758474576271187,0.07127335940895263
1.0,0.9860488410282195,3451,0.32018927444794953,4920,0.45648543329003527,263,0.7727272727272727,0.3050847457627119,0.7153846153846154,0.15547415547415547,0.20512820512820512,0.2555614406779661,0.23424598000869187
2.0,0.9940879170432801,5957,0.5526999443310447,7312,0.6784190016700686,263,0.8484848484848485,0.6101694915254238,0.8048076923076923,0.38095238095238093,0.6923076923076923,0.5810381355932204,0.4493698392003477
5.0,0.9978794916765933,8722,0.8092410465763592,9681,0.8982185934310633,263,0.9242424242424242,0.9152542372881356,0.8754807692307692,0.698005698005698,0.9487179487179487,0.8339512711864406,0.8192090395480226
10.0,0.9988073075979145,9559,0.8868992391909445,10346,0.9599183521989237,263,0.9242424242424242,0.9322033898305084,0.8841346153846154,0.8864468864468864,1.0,0.8784427966101694,0.8996088657105606
