candidate,n_cells_total,n_nonfinite_coordinate_cells,n_scored,n_degenerate_calibration,frac_degenerate,mean,max,p0,p1,p5,p25,p50,p75,p90,p95,p99,p100
R1_excess_over_calibration_range,2004708,0,2004445,263,0.00013119117597176248,49516503.52791645,74298056715773.6,0.0,0.0,0.0,0.0,0.0,0.0,0.09454721052563593,0.27216618971788065,1.3005518845520438,74298056715773.6
R2_excess_over_calibration_rms,2004708,0,2004445,263,0.00013119117597176248,579908501.7466735,882154440828560.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36423452351370467,1.4973027945656399,8.323014012301565,882154440828560.5
