constructor,n_atoms,candidate,n_scored,n_degenerate,frac_degenerate,median,p90,p99,max
C0,66,R1_excess_over_calibration_range,12275,1,8.145975887911372e-05,0.0,0.06002803623228375,0.3759796315000332,57.61100392798354
C0,66,R2_excess_over_calibration_rms,12275,1,8.145975887911372e-05,0.0,0.05637812045793663,0.9035824617225537,142.10525704103023
C1,59,R1_excess_over_calibration_range,10973,1,9.112447603426281e-05,0.0,0.06431034053469334,1.0841570960324958,36.46423779503762
C1,59,R2_excess_over_calibration_rms,10973,1,9.112447603426281e-05,0.0,0.5217640553372344,8.90367488447206,203.81567194716436
C2,2080,R1_excess_over_calibration_range,386817,63,0.00016284119106699753,0.0,0.05206852905755731,0.6791088320365646,4115.430413536436
C2,2080,R2_excess_over_calibration_rms,386817,63,0.00016284119106699753,0.0,0.10576852784441883,2.564656283320564,15687.875181884861
C3,2457,R1_excess_over_calibration_range,456963,39,8.533879501621438e-05,0.0,0.13937142416582238,1.839139507011194,113.96197244893514
C3,2457,R2_excess_over_calibration_rms,456963,39,8.533879501621438e-05,0.0,0.18478822450292962,2.7530797052156855,519.5525353780391
C5,39,R1_excess_over_calibration_range,7254,0,0.0,0.0,0.03226530065577288,0.910669059929462,6.75963024438006
C5,39,R2_excess_over_calibration_rms,7254,0,0.0,0.0,0.0292621539691334,1.5995210742238295,5.457265212362472
C6,3776,R1_excess_over_calibration_range,702216,120,0.00017085839256424275,0.0,0.08362024930668974,1.2804018762332101,74298056715773.6
C6,3776,R2_excess_over_calibration_rms,702216,120,0.00017085839256424275,0.0,0.7180180676893675,11.285534409927164,882154440828560.5
C7,2301,R1_excess_over_calibration_range,427947,39,9.112447603426281e-05,0.0,0.11964324411988546,1.3934214501979938,70.54904385517113
C7,2301,R2_excess_over_calibration_rms,427947,39,9.112447603426281e-05,0.0,1.0284640981817144,12.136634027561843,422.8205950272116
