semantic_group_id,signal_i,signal_j,n_valid_cells,R_med,R_10,sign_consistency,stably_near_redundant
X_ECE,ece1,ece19,60,0.7731391757421673,0.34736737486648167,1.0,False
X_ECE,ece1,ece20,60,0.8024606598975139,0.4076332157681373,1.0,False
X_ECE,ece1,ece21,60,0.8091397392947006,0.3972669571879209,1.0,False
X_ECE,ece1,ece22,60,0.8083195698880867,0.44468751921863703,1.0,False
X_ECE,ece1,ece23,60,0.7987269782494988,0.4382479601685083,1.0,False
X_ECE,ece1,ece24,60,0.8244296634590268,0.4312034781081013,1.0,False
X_ECE,ece1,ece25,60,0.8246812763510267,0.506736738143862,1.0,False
X_ECE,ece1,ece26,60,0.8261161140555964,0.5315129318658399,1.0,False
X_ECE,ece1,ece27,60,0.8264938837202332,0.5238212264855626,1.0,False
X_ECE,ece1,ece28,60,0.7962704742148312,0.5151008121406466,1.0,False
X_ECE,ece1,ece29,60,0.8414284923528286,0.5684802586358421,1.0,False
X_ECE,ece1,ece30,60,0.8465346327950525,0.6172041992014153,1.0,False
X_ECE,ece1,ece31,60,0.8484141592916554,0.6465642649013599,1.0,False
X_ECE,ece1,ece32,60,0.8510684947372951,0.676901143387493,1.0,False
X_ECE,ece1,ece33,60,0.8724816278471195,0.6825058551566137,1.0,False
X_ECE,ece1,ece34,60,0.878405121123654,0.7013877961879885,1.0,False
X_ECE,ece1,ece35,60,0.8975229604877792,0.6861961548111569,1.0,False
X_ECE,ece1,ece36,60,0.8820731041740256,0.6918490014791866,1.0,False
X_ECE,ece1,ece37,60,0.8724765997000357,0.7139442510970506,1.0,False
X_ECE,ece1,ece38,60,0.9180156456644023,0.7005456703390208,0.9666666666666667,False
X_ECE,ece1,ece39,60,0.9174316860422156,0.6810201018682699,1.0,False
X_ECE,ece1,ece40,60,0.9200830187794482,0.6497155646373948,1.0,False
X_ECE,ece2,ece3,60,0.99374058863752,0.895713195262669,1.0,False
X_ECE,ece2,ece4,60,0.9773649566183339,0.7686427569299527,1.0,False
X_ECE,ece2,ece5,60,0.949072866223752,0.7605998114819932,1.0,False
X_ECE,ece2,ece6,60,0.9315801877693431,0.6982410630264229,1.0,False
X_ECE,ece2,ece7,60,0.9250510883679868,0.6438425100256571,1.0,False
X_ECE,ece2,ece8,60,0.9115728759516957,0.6143585007976369,1.0,False
X_ECE,ece2,ece9,60,0.8972076148722996,0.5848903153885039,1.0,False
X_ECE,ece2,ece10,60,0.8885012880162834,0.5479151635548906,1.0,False
X_ECE,ece2,ece11,60,0.8454625914469469,0.49387342014375885,1.0,False
X_ECE,ece2,ece12,60,0.8223308248861474,0.44229228562959305,1.0,False
X_ECE,ece2,ece13,60,0.8013733925288264,0.38295157489527215,1.0,False
X_ECE,ece2,ece14,60,0.7751537983973236,0.36479845305023045,1.0,False
X_ECE,ece2,ece15,60,0.7575283840961001,0.3325443113967996,1.0,False
X_ECE,ece2,ece16,60,0.7348508374575149,0.32312699448342735,1.0,False
X_ECE,ece2,ece17,60,0.7453850822259043,0.34875116858857597,1.0,False
X_ECE,ece2,ece18,60,0.7272765686912799,0.3571812064684278,1.0,False
X_ECE,ece2,ece19,60,0.7730335655850223,0.37920369661705405,1.0,False
X_ECE,ece2,ece20,60,0.7830613254074332,0.4657747736803336,1.0,False
X_ECE,ece2,ece21,60,0.7816947161624925,0.4746725222476596,1.0,False
X_ECE,ece2,ece22,60,0.766813246854351,0.4795986359583105,1.0,False
X_ECE,ece2,ece23,60,0.7580076872484891,0.46901629256408195,1.0,False
X_ECE,ece2,ece24,60,0.7918630199632657,0.4577434561179079,1.0,False
X_ECE,ece2,ece25,60,0.7944515045365041,0.49067983284365746,1.0,False
X_ECE,ece2,ece26,60,0.7985080477918737,0.5228854165488309,1.0,False
X_ECE,ece2,ece27,60,0.80102470527429,0.5217247132133915,1.0,False
X_ECE,ece2,ece28,60,0.7779441808886702,0.5283178564308059,1.0,False
X_ECE,ece2,ece29,60,0.8263318958946653,0.5007126012833861,1.0,False
X_ECE,ece2,ece30,60,0.8301105668495239,0.4534201593880685,1.0,False
X_ECE,ece2,ece31,60,0.8319195970848403,0.46664546319527267,1.0,False
X_ECE,ece2,ece32,60,0.8159844365873488,0.4806672058038033,1.0,False
X_ECE,ece2,ece33,60,0.8457694867113201,0.5020862175128323,1.0,False
X_ECE,ece2,ece34,60,0.8529800814799057,0.4999925469328977,1.0,False
X_ECE,ece2,ece35,60,0.8618593743840752,0.43728809391651086,1.0,False
X_ECE,ece2,ece36,60,0.8549395871627492,0.40921802474076324,1.0,False
X_ECE,ece2,ece37,60,0.8551597157072042,0.42062632663053806,0.9833333333333333,False
X_ECE,ece2,ece38,60,0.901131830687174,0.4675131569497908,0.9666666666666667,False
X_ECE,ece2,ece39,60,0.9068577261684281,0.3481696230448312,0.9666666666666667,False
X_ECE,ece2,ece40,60,0.9072635099873296,0.2937724518660323,1.0,False
X_ECE,ece3,ece4,60,0.9852676687957034,0.846607092615405,1.0,False
X_ECE,ece3,ece5,60,0.9518130835611751,0.8455136675733421,1.0,False
X_ECE,ece3,ece6,60,0.9402654868486675,0.7758048291762355,1.0,False
X_ECE,ece3,ece7,60,0.9384014333836095,0.7045390782675183,1.0,False
X_ECE,ece3,ece8,60,0.917163328049706,0.632538014401313,1.0,False
X_ECE,ece3,ece9,60,0.9092426927774303,0.5741830618385235,1.0,False
X_ECE,ece3,ece10,60,0.8953322836504862,0.5611333675534996,1.0,False
X_ECE,ece3,ece11,60,0.8619353357761084,0.5259023945254301,1.0,False
X_ECE,ece3,ece12,60,0.8136149428101572,0.4509424416790159,1.0,False
X_ECE,ece3,ece13,60,0.8258544019716116,0.37292409165388696,1.0,False
X_ECE,ece3,ece14,60,0.7646148719668062,0.33929443588608854,1.0,False
X_ECE,ece3,ece15,60,0.7429859394541871,0.3068368447878702,1.0,False
X_ECE,ece3,ece16,60,0.7266354579954132,0.29232002465712326,1.0,False
X_ECE,ece3,ece17,60,0.7330637484430347,0.31000261621136427,1.0,False
X_ECE,ece3,ece18,60,0.7265028862466846,0.3110202674062842,1.0,False
X_ECE,ece3,ece19,60,0.7539362696692966,0.3377286497013569,1.0,False
X_ECE,ece3,ece20,60,0.7546092881456072,0.5028930977336008,1.0,False
X_ECE,ece3,ece21,60,0.7501525899264798,0.5189581878892572,1.0,False
X_ECE,ece3,ece22,60,0.7465974040486281,0.4197507841491335,1.0,False
X_ECE,ece3,ece23,60,0.7599879294073582,0.4655998003020999,1.0,False
X_ECE,ece3,ece24,60,0.7872581981331516,0.43794543021590254,1.0,False
X_ECE,ece3,ece25,60,0.7994177322466292,0.4805798945748518,1.0,False
X_ECE,ece3,ece26,60,0.8025698041673018,0.5204645681360438,1.0,False
X_ECE,ece3,ece27,60,0.8064835089307589,0.4760080554712073,1.0,False
X_ECE,ece3,ece28,60,0.7808863281820011,0.4852722483616796,1.0,False
X_ECE,ece3,ece29,60,0.8109446390112303,0.463674750073389,1.0,False
X_ECE,ece3,ece30,60,0.8291981541956746,0.4236096834507553,1.0,False
X_ECE,ece3,ece31,60,0.829051411103252,0.45050654117785055,1.0,False
X_ECE,ece3,ece32,60,0.8229736911232219,0.43819709763812137,1.0,False
X_ECE,ece3,ece33,60,0.8167159262511554,0.4469429046932649,1.0,False
X_ECE,ece3,ece34,60,0.8477051083189335,0.43800432848779747,1.0,False
X_ECE,ece3,ece35,60,0.8595425549377882,0.3125322094253719,1.0,False
X_ECE,ece3,ece36,60,0.8487595039930672,0.2992683373198913,1.0,False
X_ECE,ece3,ece37,60,0.85015395290616,0.27642339107524955,0.9833333333333333,False
X_ECE,ece3,ece38,60,0.8964467994535916,0.30424495045243893,0.9666666666666667,False
X_ECE,ece3,ece39,60,0.9193009639731845,0.2372555492127244,0.9666666666666667,False
X_ECE,ece3,ece40,60,0.9161168408821525,0.1856958496844502,1.0,False
X_ECE,ece4,ece5,60,0.988577927228377,0.9158383721771584,1.0,False
X_ECE,ece4,ece6,60,0.9755466485661841,0.8310864413137514,1.0,False
X_ECE,ece4,ece7,60,0.9626714578623756,0.7072173561738274,1.0,False
X_ECE,ece4,ece8,60,0.9243546218995027,0.6628352176016234,1.0,False
X_ECE,ece4,ece9,60,0.8959666125365702,0.6652916912223413,1.0,False
X_ECE,ece4,ece10,60,0.8877008445844767,0.6305018029363237,1.0,False
X_ECE,ece4,ece11,60,0.8513170751635191,0.5676242432385893,1.0,False
X_ECE,ece4,ece12,60,0.8128150133961212,0.46648760793205557,1.0,False
X_ECE,ece4,ece13,60,0.7435740133819212,0.39584003985954225,1.0,False
X_ECE,ece4,ece14,60,0.7403143731382298,0.3474560295153393,1.0,False
X_ECE,ece4,ece15,60,0.7018386948234633,0.3245112989030923,1.0,False
X_ECE,ece4,ece16,60,0.6924576139310228,0.3065407946638166,1.0,False
X_ECE,ece4,ece17,60,0.6938598093246622,0.30390023215288453,1.0,False
X_ECE,ece4,ece18,60,0.684773338698061,0.30771996404708535,1.0,False
X_ECE,ece4,ece19,60,0.7254898044240157,0.3152652311398921,1.0,False
X_ECE,ece4,ece20,60,0.7396970280984381,0.44705009510249044,1.0,False
X_ECE,ece4,ece21,60,0.7254529848816882,0.3637549692594464,1.0,False
X_ECE,ece4,ece22,60,0.7330892581537165,0.3906909305199044,1.0,False
X_ECE,ece4,ece23,60,0.7411240289916281,0.4730304517868026,1.0,False
X_ECE,ece4,ece24,60,0.7886711250016185,0.40595937316001035,1.0,False
X_ECE,ece4,ece25,60,0.7911545227320427,0.4003466022206277,1.0,False
X_ECE,ece4,ece26,60,0.7918182621764194,0.4292108538014841,1.0,False
X_ECE,ece4,ece27,60,0.7876826155750003,0.43637731646576383,1.0,False
X_ECE,ece4,ece28,60,0.7683958799192552,0.4562895167440156,1.0,False
X_ECE,ece4,ece29,60,0.7988643057870234,0.4360633802122889,1.0,False
X_ECE,ece4,ece30,60,0.8021802742845641,0.40298061462340173,1.0,False
X_ECE,ece4,ece31,60,0.8011829318804911,0.4154818518878964,1.0,False
X_ECE,ece4,ece32,60,0.8027966559985492,0.3929402700198878,1.0,False
X_ECE,ece4,ece33,60,0.7922765225906725,0.39288877396245875,1.0,False
X_ECE,ece4,ece34,60,0.8063314937959253,0.4063157998595192,1.0,False
X_ECE,ece4,ece35,60,0.8376293398206056,0.2908302957146948,1.0,False
X_ECE,ece4,ece36,60,0.837793058125179,0.23875752582907483,1.0,False
X_ECE,ece4,ece37,60,0.8456278681599301,0.24539632137018663,0.9833333333333333,False
X_ECE,ece4,ece38,60,0.8906423008751274,0.306627844620683,0.9666666666666667,False
X_ECE,ece4,ece39,60,0.9222345935728259,0.20622643082761546,0.9666666666666667,False
X_ECE,ece4,ece40,60,0.9284210085679466,0.15068028499668426,0.9833333333333333,False
X_ECE,ece5,ece6,60,0.9937951642517506,0.9477857093643114,1.0,False
X_ECE,ece5,ece7,60,0.9751703702580499,0.9012423255685599,1.0,False
X_ECE,ece5,ece8,60,0.9344957048812395,0.8073549301844377,1.0,False
X_ECE,ece5,ece9,60,0.9145153056317743,0.7188856578465544,1.0,False
X_ECE,ece5,ece10,60,0.9042552436584947,0.6939352905905355,1.0,False
X_ECE,ece5,ece11,60,0.8684113146507533,0.5661282563529091,1.0,False
X_ECE,ece5,ece12,60,0.8231241389753922,0.48270394772553593,1.0,False
X_ECE,ece5,ece13,60,0.7771407191070134,0.4110788277067723,1.0,False
X_ECE,ece5,ece14,60,0.7410861683444655,0.3500009665390507,1.0,False
X_ECE,ece5,ece15,60,0.7196099046481133,0.35858283264515456,1.0,False
X_ECE,ece5,ece16,60,0.7062140063626374,0.38241323109239295,1.0,False
X_ECE,ece5,ece17,60,0.7203371166534627,0.39830226060043766,1.0,False
X_ECE,ece5,ece18,60,0.7056790619848199,0.35018899518829705,1.0,False
X_ECE,ece5,ece19,60,0.7075592773114896,0.31433419869116624,1.0,False
X_ECE,ece5,ece20,60,0.7329597027690669,0.4862666689710439,1.0,False
X_ECE,ece5,ece21,60,0.7140412849354638,0.5130583154422913,1.0,False
X_ECE,ece5,ece22,60,0.7391858427690936,0.48763549785787924,1.0,False
X_ECE,ece5,ece23,60,0.7341867718075861,0.488666126210482,1.0,False
X_ECE,ece5,ece24,60,0.7609733259471261,0.4575817054018787,1.0,False
X_ECE,ece5,ece25,60,0.7621834879173683,0.4510887588122413,1.0,False
X_ECE,ece5,ece26,60,0.7790024399547739,0.4493701403474346,1.0,False
X_ECE,ece5,ece27,60,0.7877773735576461,0.4345975526251837,1.0,False
X_ECE,ece5,ece28,60,0.7524171014347057,0.45279204830029535,1.0,False
X_ECE,ece5,ece29,60,0.7855642995582004,0.4157525826713688,1.0,False
X_ECE,ece5,ece30,60,0.8032845409578363,0.3775079621636428,1.0,False
X_ECE,ece5,ece31,60,0.7931236559125971,0.39033758362279797,1.0,False
X_ECE,ece5,ece32,60,0.8018841334441942,0.3852546905669998,1.0,False
X_ECE,ece5,ece33,60,0.786506302326849,0.424742346465249,1.0,False
X_ECE,ece5,ece34,60,0.8019154471920278,0.4126241661817039,1.0,False
X_ECE,ece5,ece35,60,0.8381867511596108,0.2741800777638543,1.0,False
X_ECE,ece5,ece36,60,0.8369753068425949,0.24486410054611632,1.0,False
X_ECE,ece5,ece37,60,0.8538715763099771,0.25532447573971795,0.9833333333333333,False
X_ECE,ece5,ece38,60,0.8978124319147152,0.3331688366764609,0.9666666666666667,False
X_ECE,ece5,ece39,60,0.9095004789568517,0.19236367070072846,0.9666666666666667,False
X_ECE,ece5,ece40,60,0.909395834205631,0.1330829566086251,0.9833333333333333,False
X_ECE,ece6,ece7,60,0.9908389541643176,0.9536773461565567,1.0,False
X_ECE,ece6,ece8,60,0.9594617696038161,0.8560836693541871,1.0,False
X_ECE,ece6,ece9,60,0.9308755938045039,0.7712741109636041,1.0,False
X_ECE,ece6,ece10,60,0.9173493451144661,0.7482062718749939,1.0,False
X_ECE,ece6,ece11,60,0.889070654874665,0.6074925359396934,1.0,False
X_ECE,ece6,ece12,60,0.8398847136564254,0.49963740125928047,1.0,False
X_ECE,ece6,ece13,60,0.8122503060117775,0.42698267442999527,1.0,False
X_ECE,ece6,ece14,60,0.7750205028152384,0.39503614014693406,1.0,False
X_ECE,ece6,ece15,60,0.752098969387575,0.3650418456779081,1.0,False
X_ECE,ece6,ece16,60,0.7272967778138225,0.38758669852380356,1.0,False
X_ECE,ece6,ece17,60,0.7345802369638893,0.4056429156254761,1.0,False
X_ECE,ece6,ece18,60,0.7260874345832415,0.4728050388424217,1.0,False
X_ECE,ece6,ece19,60,0.7357665236794396,0.4441045838096788,1.0,False
X_ECE,ece6,ece20,60,0.7433587619468693,0.4940507979561944,1.0,False
X_ECE,ece6,ece21,60,0.7411501031108512,0.5065432300682464,1.0,False
X_ECE,ece6,ece22,60,0.7419854990771756,0.481301735741118,1.0,False
X_ECE,ece6,ece23,60,0.7416715831283965,0.4603960482472154,1.0,False
