family,n_before,n_after,share_before,share_after,n_deferred
cer_rotation_ti,14,14,0.1794871794871795,0.2,0
density,2,2,0.02564102564102564,0.02857142857142857,0
ece_te_profile,40,33,0.5128205128205128,0.4714285714285714,7
filterscope_dalpha,4,3,0.05128205128205128,0.04285714285714286,1
gas_injection,4,4,0.05128205128205128,0.05714285714285714,0
magnetics,4,4,0.05128205128205128,0.05714285714285714,0
neutral_beams,10,10,0.1282051282051282,0.14285714285714285,0
