regime,representation,learner,trajectory,rmse,nrmse,n
noise_0.01,C*_compact,STLSQ,conf_004,5.371877361224882,0.6119187707077828,2260
noise_0.01,C*_compact,STLSQ,conf_005,4.58664384895515,0.5402796235808145,2192
noise_0.01,C*_compact,STLSQ,conf_006,5.4337239832317366,0.6004340598393342,2260
noise_0.01,C*_compact,STLSQ,conf_007,4.412929077407917,0.5646651739379597,2225
noise_0.01,C*_compact,STLSQ,conf_008,4.922800262525935,0.5820143600232314,2269
noise_0.01,C*_compact,STLSQ,conf_009,5.040249320341539,0.5763308598512942,2247
noise_0.01,C*_compact,STLSQ,conf_010,4.81319572163903,0.5830085664181607,2262
noise_0.01,C*_compact,STLSQ,conf_011,4.894785331351677,0.5609450764826149,2251
noise_0.01,C*_compact,STLSQ,conf_012,5.583112920427635,0.6092060827617035,2246
noise_0.01,C*_compact,STLSQ,conf_013,5.266733804440081,0.5920146757946186,2288
noise_0.01,C*_compact,STLSQ,conf_014,4.723456678522918,0.5806625662605265,2250
noise_0.01,C*_compact,STLSQ,conf_015,5.601999550059016,0.5988741155563689,2222
noise_0.01,C*_compact,STLSQ,conf_016,5.124205182530046,0.6148914355478537,2286
noise_0.01,C*_compact,STLSQ,conf_017,4.899137370645877,0.5646829125275369,2275
noise_0.01,C*_compact,STLSQ,conf_018,5.9805515466468355,0.6473021098945848,2286
noise_0.01,C*_compact,STLSQ,conf_019,5.654128309310841,0.6064640930303294,2251
noise_0.01,C*_compact,STLSQ,conf_020,5.211295450624897,0.6017804793372957,2288
noise_0.01,C*_compact,STLSQ,conf_021,5.013111425125829,0.5887221296570085,2291
noise_0.01,C*_compact,STLSQ,conf_022,4.94501903650141,0.5718605529707417,2305
noise_0.01,C*_compact,STLSQ,conf_023,5.846784104029545,0.6307235661163875,2251
