regime,method,representation,n_coordinates,n_features,n_terms,threshold,pooled_rmse,pooled_r2,median_rmse,iqr_rmse,ci_lo,ci_hi,condition_number,coverage
clean,MLP,C0_matched,10,10,4929,,0.2892103552573465,,,,0.239852812539118,0.3385678979755751,,
clean,MLP,C_all,38,38,6721,,0.0459714081246225,,,,0.0392587753329492,0.0526840409162959,,
clean,MLP,C*_compact,12,12,5057,,0.0182992643493351,,,,0.0130402678230782,0.0235582608755919,,
clean,MLP,C*_robust,38,38,6721,,0.0459714081246225,,,,0.0392587753329492,0.0526840409162959,,
noise_0.01,MLP,C0_matched,10,10,4929,,0.8393708545933313,,,,0.7760785478124532,0.9026631613742092,,
noise_0.01,MLP,C_all,38,38,6721,,0.8419217132055816,,,,0.7672637317550384,0.9165796946561248,,
noise_0.01,MLP,C*_compact,12,12,5057,,0.8025049729335677,,,,0.7396306688643504,0.865379277002785,,
noise_0.01,MLP,C*_robust,38,38,6721,,0.8419217132055816,,,,0.7672637317550384,0.9165796946561248,,
