regime,candidate,n_coordinates,n_features,mean_cv_rmse,se_cv_rmse,n_terms,condition_number,coverage,fold_std
clean,C0_center,2,2,8.692224105986535,0.04778618420123414,0.16666666666666666,3.8978379662899174,0.12453144523115368,0.10685315625928603
clean,C0_matched,10,10,8.697667622064165,0.047652862750982045,10.0,2659621742950.4473,0.12453144523115368,0.10655504043366348
clean,C0_poly2,10,65,2.225511000027003,0.04492905212867211,65.0,4.374549653160966e+16,0.12453144523115368,0.10046441472434248
clean,C0_poly3,10,285,2.3178450091751146,0.030864839894037575,285.0,9.425742963492762e+16,0.12453144523115368,0.06901588011771541
clean,C0+rates,12,12,8.697667625960912,0.047652874750514426,12.0,2.1767462933302256e+16,0.12453144523115368,0.10655506726543358
clean,C0+rates+curv,14,14,8.697729830766045,0.04765197606514191,14.0,4.6553517443256e+16,0.12453144523115368,0.10655305774385025
clean,C0+products,18,18,3.103487161581245,0.0309611640510186,18.0,2659833832634.1855,0.12453144523115368,0.06923126748060035
clean,C0+Q_dy_x,11,11,0.876371256820574,0.00929427777461937,11.0,2678156833697.8716,0.11831007913369429,0.020782636905814382
clean,C0+Q_pair,12,12,3.3256449025099005e-05,1.8374299396589582e-07,12.0,2678156988129.6387,0.11831007913369429,4.1086182489707667e-07
clean,C0+Q_phase,11,11,8.729542222620088,0.05009830718052697,10.833333333333334,2633081706117.8774,0.11842287935582396,0.11202322041332412
clean,C0+Q_all,14,14,3.3927714946682716e-05,1.883857704248024e-07,12.0,2635908652401.3115,0.10971123143134805,4.212433886635276e-07
clean,C0+CA_pair,12,12,2.29012564738799,0.09705607152871407,11.833333333333334,2659682269130.784,0.12453144523115368,0.21702397356728656
clean,C0+RS_pair,12,12,5.240471054646473,0.03631265612778906,12.0,2720427213350.7705,0.12453144523115368,0.08119756754531064
clean,C0+SC_pair,12,12,5.240469595267451,0.03631272399193223,12.0,2866202668739.6846,0.12453144523115368,0.08119771929414797
clean,C0+RS+SC,14,14,5.240460505118612,0.03631310777418237,14.0,2.170893033235671e+16,0.12453144523115368,0.08119857745734785
clean,C0+Q_pair+RS_pair,14,14,3.3256449025099005e-05,1.8374299396589582e-07,12.0,2739642966960.4746,0.11831007913369429,4.1086182489707667e-07
clean,C_all,38,38,1.3216488669956407e-05,3.018414226174604e-07,32.0,8.402176197324653e+16,0.10971123143134805,6.749379393978838e-07
robust_worstcase,C0_center,2,2,8.692224170479276,0.04778621177875107,0.16666666666666666,3.8978379662899174,0.12453144523115368,0.10685321792448854
robust_worstcase,C0_matched,10,10,8.702838723829439,0.0488893473281241,10.0,2659621742950.4473,0.12453144523115368,0.10931990400128319
robust_worstcase,C0_poly2,10,65,3.0289346299736786,0.0338962197483794,65.0,4.374549653160966e+16,0.12453144523115368,0.07579425153764714
robust_worstcase,C0_poly3,10,285,3.0426401665234706,0.03695021360366425,285.0,9.425742963492762e+16,0.12453144523115368,0.08262318940093073
robust_worstcase,C0+rates,12,12,8.702728232360313,0.04881842157546742,12.0,2.1767462933302256e+16,0.12453144523115368,0.10916130919698752
robust_worstcase,C0+rates+curv,14,14,8.702894782972574,0.04887214018001658,14.0,4.6553517443256e+16,0.12453144523115368,0.10928142764841586
robust_worstcase,C0+products,18,18,3.2822558931078487,0.0353809458507353,18.0,2659833832634.1855,0.12453144523115368,0.07911420003048325
robust_worstcase,C0+Q_dy_x,11,11,5.907249631815735,0.05819171500563551,11.0,2678156833697.8716,0.11831007913369429,0.13012063047989555
robust_worstcase,C0+Q_pair,12,12,5.258552391551791,0.0493964242374897,12.0,2678156988129.6387,0.11831007913369429,0.11045376244044519
robust_worstcase,C0+Q_phase,11,11,8.739951120210378,0.043978918029532445,10.833333333333334,2633081706117.8774,0.11842287935582396,0.09833985029092565
robust_worstcase,C0+Q_all,14,14,5.141930689696037,0.0574293455034523,12.0,2635908652401.3115,0.10971123143134805,0.1284159204490412
robust_worstcase,C0+CA_pair,12,12,4.994237747305999,0.056397022359420554,11.833333333333334,2659682269130.784,0.12453144523115368,0.12610757572423992
robust_worstcase,C0+RS_pair,12,12,5.396450008249215,0.03989824659398616,12.0,2720427213350.7705,0.12453144523115368,0.08921519156720249
robust_worstcase,C0+SC_pair,12,12,5.396448667029676,0.03989817374707794,12.0,2866202668739.6846,0.12453144523115368,0.08921502867656377
robust_worstcase,C0+RS+SC,14,14,5.39645243664087,0.039896613411626085,14.0,2.170893033235671e+16,0.12453144523115368,0.08921153966042572
robust_worstcase,C0+Q_pair+RS_pair,14,14,3.936300451794367,0.03770961711809974,12.0,2739642966960.4746,0.11831007913369429,0.08432126728156072
robust_worstcase,C_all,38,38,2.290343804638082,0.03092099342801169,32.0,8.402176197324653e+16,0.10971123143134805,0.06914144323685838
