shot,persistence,cal_mean,eval_var_ratio
155537,0.0352359959351644,0.4480540042907157,0.0009125510792238892
159310,0.05504413211882818,0.3617168938769753,0.002731184409298728
160715,0.04695971221033551,0.4563865277341523,0.0019419872895744816
160717,0.08328271455987166,0.44744052389606703,0.006034858687156244
160719,0.06050035860759489,0.4587162471403936,0.0032815372863183637
160720,0.09294491314900348,0.45081102534351847,0.005447173969708487
160721,0.04381645144378811,0.4509585359307066,0.0019089893700824552
161136,0.0822843500371618,0.4424840106953586,0.00579234813865741
161138,0.1801797035239784,0.4607723322615616,0.005528772568562641
161145,0.09980083117526596,0.4528866954968046,0.005506789558829189
161414,0.08823323559279068,0.33090370565007715,0.006089601513469701
165017,0.04186959176130661,0.439984261654205,0.0012008722748923569
165022,0.03558968856658531,0.4520247900534854,0.0011914409217408828
165026,0.042317635483227284,0.45286935357594926,0.0016188959506185554
165027,0.061029533870638836,0.4479064552091972,0.0012478779753726517
165028,0.038839030175060824,0.439126341816937,0.0013142528837131486
165029,0.03670148674525127,0.4534909384973277,0.0013349544483330378
165031,0.042467466663766,0.4425784301586309,0.001763220295788116
165042,0.05042120487870581,0.4500896736128287,0.0014570147275470165
165043,0.06004828221306623,0.4457110298703343,0.0015817606140683168
165860,0.031671665902199185,0.44480196940178013,0.0007889586095155603
165861,0.027395494161670125,0.4490130449415816,0.0007370888961223211
165955,0.06159056124434753,0.44963679692718567,0.0011845631509946957
165965,0.08026693642569856,0.4524683980509785,0.0012119997931320536
170394,0.08361325748035939,0.4430486805945224,0.005351586837443829
170396,0.03838156108929818,0.4419397833652759,0.0011352551503950518
170411,0.04658924155131568,0.4428968759674728,0.0015682635678217884
186997,0.0605137892250805,0.3897278636130172,0.0020908491359166847
187017,0.03361572713976869,0.4271233818122785,0.0010147734361627084
187018,0.04673308536399784,0.41187969136418995,0.0009032287381868483
187019,0.032434725253517,0.43247060672327087,0.0010062251218842324
187020,0.22314591712175874,0.2995121196389948,0.04499989163510646
187021,0.1276508678508855,0.29612548877830436,0.002370239653192657
187022,0.06034303984665107,0.22778871358744088,0.0027891248531248226
187024,0.3403933762511147,0.3589641240591604,0.11586583024143894
189646,0.08919464861799538,0.38108754640151166,0.007280267921943375
189647,0.07321064671822095,0.48811911986182344,0.005350650662780104
189649,0.07706522909552038,0.49433312359700443,0.005936524201529592
189650,0.06816932955082104,0.5857416851282357,0.004414428230046674
189651,0.06414719627590038,0.5731913064244331,0.003662075306327106
189652,0.01770840617695022,0.6138476149547653,0.00027420876287655914
195261,0.0584812045947603,0.3060723649149433,0.0031979964493316724
195264,0.0841488270852407,0.31408675804954805,0.003561183940030517
195265,0.07474905961681222,0.3181215565220273,0.005237977540182216
195266,0.0687376153990129,0.3140796575156796,0.0047115988924352654
195267,0.107554889713828,0.3024256779274925,0.01140765085126024
195268,0.12058199165606186,0.3016663672395488,0.007910453936724854
195269,0.05971079013464783,0.30514022138211916,0.0025252760381436106
195273,0.11780539810614318,0.29861226005113556,0.013253268750246936
195274,0.07233224300274714,0.3023219117508123,0.003163383216863362
195626,0.050703653013162334,0.4140255750463932,0.00202808650249963
195638,0.23585119973270466,0.40829557282906814,0.053333084332575796
195642,0.23267104364770846,0.4683086608543755,0.04348664671304533
195645,0.21483083232362266,0.46806736330431037,0.040472330273994675
195647,0.23566245594622562,0.4686459413106221,0.04396009683140482
195648,0.22743719686046684,0.46936999059680523,0.045193462964749354
195649,0.2248372144371182,0.46655746684360455,0.045859946010240994
195650,0.2145480735893195,0.4639437583990832,0.0396850122809138
195651,0.27328693407762267,0.38410057555955823,0.06887382115720223
195652,0.2758240710142713,0.3918814874729291,0.07384787434451963
195655,0.31757658321366433,0.39518547031818846,0.08111865335787818
195659,0.02569121091975539,0.5822871131172132,0.0006597385110102037
