eigenvalue_index,feature,display_name,observed_loading,boot_median,boot_q025,boot_q975
1,d[pcdiamag3]/d[kappa],D_kappa W_dia,-0.14220700832459088,-0.14339781051768652,-0.18825503757890794,-0.10729328024990119
1,d[kappa]/d[t],dot kappa,-0.5077578568098803,-0.5080927236436559,-0.5266869003355699,-0.4918463963893982
1,r[q95]/r[kappa],q95 / kappa,-0.008516516782414753,-0.008540569189702897,-0.01302798532105532,-0.0048461536277622785
1,d[pcdiamag3]/d[betan],D_betaN W_dia,-0.29741362364405566,-0.2965410195672796,-0.33216363378829294,-0.2527643755786198
1,d[kappa]/d[betan],D_betaN kappa,0.5801796370704915,0.5789420077078271,0.5489444480803046,0.6019093756130308
1,d[betan]/d[t],dot beta_N,0.5445842703404651,0.5452660485803518,0.5266706555222127,0.5657933136685465
1,d[li]/d[betan],D_betaN l_i,0.01585220080967563,0.015642284112146014,0.009716882953224511,0.024267259008220587
3,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.6168629564922758,0.5975396027061578,0.343144772643023,0.7067060964251209
3,d[kappa]/d[t],dot kappa,-0.24484339429791818,-0.28439510430843473,-0.5524672410073738,0.0764568754662801
3,r[q95]/r[kappa],q95 / kappa,-0.09376957943904762,-0.07358184144493891,-0.26809706863330734,0.17272169852691868
3,d[pcdiamag3]/d[betan],D_betaN W_dia,0.11243480609567999,0.08777647065760447,-0.2696137334863596,0.48023448020584164
3,d[kappa]/d[betan],D_betaN kappa,-0.42131190174379884,-0.43081735952824074,-0.6209105603658638,-0.056597802567955886
3,d[betan]/d[t],dot beta_N,0.4293619686142833,0.38457371570433574,0.13331542202483043,0.5439215924670422
3,d[li]/d[betan],D_betaN l_i,0.41981194228252366,0.37430987733192234,0.07880081288779357,0.6162505960391121
