feature,display_name,original_status,corrected_status,primary_heterogeneity_ratio,primary_tau2_REML,primary_tau2_ML,primary_tau2_interval_low,primary_tau2_interval_high,primary_tau2_boot_q025,primary_tau2_boot_q975,short_tau2_REML,long_tau2_REML,short_resolved,long_resolved,loo_tau2_min,loo_tau2_max,loo_frac_tau2_positive,single_discharge_driver,primary_resolved_strict
d[pcdiamag3]/d[kappa],D_kappa W_dia,WITHIN_DISCHARGE_UNCERTAINTY_DOMINATES,WITHIN_DISCHARGE_UNCERTAINTY_DOMINATES,0.18415538756178595,0.0,0.0,0.0,0.005769415440837111,0.0,1.347290274867198e-16,0.0006194953101192285,0.0,False,False,0.0,0.0,0.0,False,False
d[kappa]/d[t],dot kappa,BETWEEN_DISCHARGE_VARIATION_RESOLVED,ROBUSTLY_RESOLVED,10.109408632890442,0.18422126763485683,0.17007708837513733,0.12355775146625364,0.2535803415350334,0.13316182687516415,0.21136446317042015,0.18422126763485683,0.17007708837513733,True,True,0.1664095054501527,0.1868592810519451,1.0,False,True
r[q95]/r[kappa],q95 / kappa,WITHIN_DISCHARGE_UNCERTAINTY_DOMINATES,WITHIN_DISCHARGE_UNCERTAINTY_DOMINATES,0.44630016323981553,2.3729905271652148e-05,2.2211122613358544e-05,0.0,7.804676632301057e-05,0.0,6.357372007095136e-05,1.2247319707416138e-05,1.9458955265406957e-05,False,False,0.0,2.7438850197381807e-05,0.9838709677419355,False,False
d[pcdiamag3]/d[betan],D_betaN W_dia,BETWEEN_DISCHARGE_VARIATION_PARTIALLY_RESOLVED,ROBUSTLY_RESOLVED,1.1954778008898095,0.0697362773004243,0.0697362773004243,0.03708640341788859,0.1211775859611939,0.03721923789102169,0.09425781221981279,0.08836906818718833,0.0644433716873408,True,True,0.06306207723899837,0.07072196229530504,1.0,False,True
d[kappa]/d[betan],D_betaN kappa,BETWEEN_DISCHARGE_VARIATION_RESOLVED,ROBUSTLY_RESOLVED,2.6366321830745933,0.2668910444759042,0.2668910444759042,0.164064401070879,0.4003443506880436,0.19294860360388813,0.3244482873812477,0.2894369292442045,0.2461013866041272,True,True,0.24299639184187732,0.2707012961795382,1.0,False,True
d[betan]/d[t],dot beta_N,BETWEEN_DISCHARGE_VARIATION_RESOLVED,ROBUSTLY_RESOLVED,11.380421561155512,0.20766992853031999,0.20766992853031999,0.15070399405065413,0.3100521000254153,0.15944712158786198,0.24630404770836187,0.22500171386538018,0.20766992853031999,True,True,0.20279623224713408,0.21066584505521696,1.0,False,True
d[li]/d[betan],D_betaN l_i,BETWEEN_DISCHARGE_VARIATION_RESOLVED,ROBUSTLY_RESOLVED,3.75133702303999,7.840525300128936e-05,7.317868370702953e-05,3.197847782846395e-05,0.0001674601204541041,2.8757604886174385e-05,0.00014347141464123844,9.00049292519863e-05,7.840525300128936e-05,True,True,6.911794924870851e-05,8.50436780221738e-05,1.0,False,True
