realization_index,shot,retained_rank,n_directions_removed,relative_coefficient_change,max_abs_coefficient_change,relative_prediction_change,prediction_correlation,rmse,rmse_canonical,absolute_rmse_change,relative_rmse_change,r2,r2_change,n_sign_changes,reconstruction_label,sensitivity_class
0,155537,7,0,2.6981500679890932e-15,5.10702591327572e-15,4.132904045953842e-15,1.0,0.05815626535159005,0.05815626535159004,6.938893903907228e-18,1.1931464068329129e-16,0.9966178488003554,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
0,155537,6,1,0.847366370507518,1.563734322699637,0.08386075565139246,0.9964774827669598,0.10193621600030071,0.05815626535159004,0.043779950648710673,0.7527985228080493,0.98960900786754,-0.007008840932815397,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
0,155537,5,2,0.8837157988958714,1.7298002046112346,0.12156992646977534,0.9925828695772126,0.1345786482822081,0.05815626535159004,0.07642238293061807,1.3140868394591176,0.9818885874265337,-0.01472926137382169,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
0,155537,4,3,0.9382358393293739,1.8530263528040023,0.27816420293671595,0.9605335372617559,0.28371778222533967,0.05815626535159004,0.22556151687374962,3.878541985288928,0.9195042200491347,-0.07711362875122074,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
1,159310,7,0,3.37701584130278e-15,1.9290125052862095e-15,1.1166256408181982e-15,1.0,0.043804993830068535,0.04380499383006854,6.938893903907228e-18,1.584041748944178e-16,0.9980811225155477,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,6,1,0.35638109405784824,0.20270172191874117,0.018066647605481607,0.9998367848025494,0.047377789219584104,0.04380499383006854,0.0035727953895155623,0.08156137182384555,0.9977553450886647,-0.0003257774268830005,0,STABLE_RECONSTRUCTION,LARGE_COEFFICIENT_MOVEMENT_STABLE_RECONSTRUCTION
1,159310,5,2,0.3565060564470577,0.19951776118372944,0.018089958533254978,0.9998363633116497,0.047386666247533495,0.04380499383006854,0.0035816724174649525,0.08176402058996173,0.9977545038619449,-0.00032661865360283926,0,STABLE_RECONSTRUCTION,LARGE_COEFFICIENT_MOVEMENT_STABLE_RECONSTRUCTION
1,159310,4,3,0.5797164940929196,0.44180202933189167,0.17493813372651418,0.9845794276584718,0.18017631374765133,0.04380499383006854,0.13637131991758278,3.1131455113679736,0.9675364959643079,-0.030544626551239795,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
2,160715,7,0,3.887187077366681e-15,5.10702591327572e-15,1.7165414063689815e-15,1.0,0.07605122311542492,0.07605122311542489,2.7755575615628914e-17,3.6495896421683054e-16,0.9942162114626478,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,6,1,0.7376583953622735,1.0586521866950895,0.07276187923976968,0.9973493414694262,0.1051068910578559,0.07605122311542489,0.029055667942431,0.3820539203995718,0.9889525414521521,-0.005263670010495769,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
2,160715,5,2,0.7797356538860738,1.211163905159976,0.08914788009034602,0.9960184011730888,0.11698361980119715,0.07605122311542489,0.040932396685772254,0.5382214119508317,0.986314832698209,-0.00790137876443886,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
