eigenvalue_index,observed_eigenvalue,boot_q025,boot_q975,null_q95,status
1,0.777009926843375,0.5776758936439427,0.921825019154189,0.13310821562806383,ROBUSTLY_RESOLVED_DIRECTION
2,0.0028948136028654823,0.0013040355343090539,0.004780020444888691,0.01566659174646174,POSITIVE_POINT_ESTIMATE_ONLY
3,0.0008894032184988565,0.0003603867471880679,0.0014524855792688405,0.0005816071891541179,ROBUSTLY_RESOLVED_DIRECTION
4,0.00014906717138560077,-4.312249222760267e-06,0.0004096485642465896,0.00011126450472793882,POSITIVE_POINT_ESTIMATE_ONLY
5,5.0969747836125036e-05,-0.0003179457823381436,7.831837868740392e-05,-1.3264765175247547e-05,POSITIVE_POINT_ESTIMATE_ONLY
6,-0.00043406840576473054,-0.0007402078834756948,-0.000281853447748127,-0.0001500193913357042,NOT_RESOLVED
7,-0.1752745117228193,-0.22292376875526668,-0.13832664879968498,-0.0006508986941612969,NOT_RESOLVED
