feature,display_name,left_out_realization_index,left_out_shot,tau2_REML,tau2_interval_low
d[kappa]/d[t],dot kappa,17,165031,0.18237652706527877,0.12233446857407444
d[kappa]/d[t],dot kappa,18,165042,0.16649022950722625,0.12097546015624588
d[kappa]/d[t],dot kappa,19,165043,0.16702539462083218,0.12136077408551932
d[kappa]/d[t],dot kappa,20,165860,0.1868298427389218,0.12528731045493868
d[kappa]/d[t],dot kappa,21,165861,0.18452682794249242,0.12376036089794734
d[kappa]/d[t],dot kappa,22,165955,0.1679309034733936,0.12201270647963157
d[kappa]/d[t],dot kappa,23,165965,0.169502061712866,0.1231438055525386
d[kappa]/d[t],dot kappa,24,170394,0.18591633681326547,0.12468166163909557
d[kappa]/d[t],dot kappa,25,170396,0.18586484934177935,0.1246475247566856
d[kappa]/d[t],dot kappa,26,170411,0.18149465187739872,0.12174963061385084
d[kappa]/d[t],dot kappa,27,186997,0.18015383127514023,0.12086036940128012
d[kappa]/d[t],dot kappa,28,187017,0.185847271563282,0.12463587042977649
d[kappa]/d[t],dot kappa,29,187018,0.18439668754263214,0.12367406850570048
d[kappa]/d[t],dot kappa,30,187019,0.18462950424102972,0.12382844213880886
d[kappa]/d[t],dot kappa,31,187020,0.18359667578589617,0.12314358827495916
d[kappa]/d[t],dot kappa,32,187021,0.18402343609606675,0.12342657226254049
d[kappa]/d[t],dot kappa,33,187022,0.18330148840123664,0.12294784568337654
d[kappa]/d[t],dot kappa,34,187024,0.1866936605563266,0.12519702464300295
d[kappa]/d[t],dot kappa,35,189646,0.18677170650959776,0.12524876749649322
d[kappa]/d[t],dot kappa,36,189647,0.18660138388693587,0.12513584680180512
d[kappa]/d[t],dot kappa,37,189649,0.1868592810519451,0.12530682731502338
d[kappa]/d[t],dot kappa,38,189650,0.1866356837644864,0.12515858706951585
d[kappa]/d[t],dot kappa,39,189651,0.18657483996291946,0.1251182485740671
d[kappa]/d[t],dot kappa,40,189652,0.1864613991118265,0.12504303865247401
d[kappa]/d[t],dot kappa,41,195261,0.16729158912130992,0.12155242747098198
d[kappa]/d[t],dot kappa,42,195264,0.16709008194461758,0.1214073475972711
d[kappa]/d[t],dot kappa,43,195265,0.16877008014839917,0.1226168535951713
d[kappa]/d[t],dot kappa,44,195266,0.17984783753301917,0.12065741721520407
d[kappa]/d[t],dot kappa,45,195267,0.18387845427171318,0.12333043591505612
d[kappa]/d[t],dot kappa,46,195268,0.1841011121913735,0.1234780783377344
d[kappa]/d[t],dot kappa,47,195269,0.18484515660827613,0.12397143265529546
d[kappa]/d[t],dot kappa,48,195273,0.18254941644479622,0.1224491207908271
d[kappa]/d[t],dot kappa,49,195274,0.18360584902902988,0.12314967111438842
d[kappa]/d[t],dot kappa,50,195626,0.18398631802365653,0.12340195963240456
d[kappa]/d[t],dot kappa,51,195638,0.18518207998802283,0.12419482936822537
d[kappa]/d[t],dot kappa,52,195642,0.18533448869655514,0.12429588229361588
d[kappa]/d[t],dot kappa,53,195645,0.18551104678155453,0.12441294601808663
d[kappa]/d[t],dot kappa,54,195647,0.18501595938212553,0.124084683842928
d[kappa]/d[t],dot kappa,55,195648,0.1851004605606855,0.12414071211208379
d[kappa]/d[t],dot kappa,56,195649,0.1860227351572721,0.12475220482425135
d[kappa]/d[t],dot kappa,57,195650,0.18614259871205505,0.12483167503202282
d[kappa]/d[t],dot kappa,58,195651,0.1860335050597856,0.12475934535369088
d[kappa]/d[t],dot kappa,59,195652,0.18553533387125562,0.12442904904549992
d[kappa]/d[t],dot kappa,60,195655,0.18584366083624282,0.12463347646283952
d[kappa]/d[t],dot kappa,61,195659,0.1849922334229031,0.12406895236001075
r[q95]/r[kappa],q95 / kappa,0,155537,2.3992921549838742e-05,0.0
r[q95]/r[kappa],q95 / kappa,1,159310,2.4002940921589336e-05,0.0
r[q95]/r[kappa],q95 / kappa,2,160715,2.3966899797429132e-05,0.0
r[q95]/r[kappa],q95 / kappa,3,160717,2.4268944121256793e-05,0.0
r[q95]/r[kappa],q95 / kappa,4,160719,2.3919875352344133e-05,0.0
r[q95]/r[kappa],q95 / kappa,5,160720,2.3873436691291214e-05,0.0
r[q95]/r[kappa],q95 / kappa,6,160721,2.3979868875481948e-05,0.0
r[q95]/r[kappa],q95 / kappa,7,161136,2.386982466569987e-05,0.0
r[q95]/r[kappa],q95 / kappa,8,161138,0.0,0.0
r[q95]/r[kappa],q95 / kappa,9,161145,2.0473007872319315e-05,0.0
r[q95]/r[kappa],q95 / kappa,10,161414,2.7425154231417974e-05,0.0
r[q95]/r[kappa],q95 / kappa,11,165017,2.387062568980306e-05,0.0
r[q95]/r[kappa],q95 / kappa,12,165022,2.3854149634449538e-05,0.0
r[q95]/r[kappa],q95 / kappa,13,165026,2.4037287149011736e-05,0.0
r[q95]/r[kappa],q95 / kappa,14,165027,2.325739702671521e-05,0.0
r[q95]/r[kappa],q95 / kappa,15,165028,2.4038092626542327e-05,0.0
r[q95]/r[kappa],q95 / kappa,16,165029,2.4028564885406583e-05,0.0
r[q95]/r[kappa],q95 / kappa,17,165031,2.387370298481344e-05,0.0
r[q95]/r[kappa],q95 / kappa,18,165042,2.4037278929826834e-05,0.0
r[q95]/r[kappa],q95 / kappa,19,165043,2.4031770721624184e-05,0.0
r[q95]/r[kappa],q95 / kappa,20,165860,2.362686660208438e-05,0.0
r[q95]/r[kappa],q95 / kappa,21,165861,2.4037102117611856e-05,0.0
r[q95]/r[kappa],q95 / kappa,22,165955,2.5629401238374785e-05,0.0
r[q95]/r[kappa],q95 / kappa,23,165965,2.4037795851970585e-05,0.0
r[q95]/r[kappa],q95 / kappa,24,170394,2.3289406190760538e-05,0.0
r[q95]/r[kappa],q95 / kappa,25,170396,2.3687899614622913e-05,0.0
r[q95]/r[kappa],q95 / kappa,26,170411,2.395229868037971e-05,0.0
r[q95]/r[kappa],q95 / kappa,27,186997,2.4010396024292585e-05,0.0
