primitive_id,signal_index,mathematical_type_block,broad_scientific_family,scientific_dimension_class,canonical_unit,dimension_expression,origin_class,provenance_status,archived_dt_ms,source_supported_dt_min_ms,source_supported_dt_max_ms,upstream_upsampled_flag,aliasing_flag,uncalibrated_flag,level_primary_admissible,derivative_primary_eligible,derivative_sensitivity_only,product_ratio_operand_eligible,phase_operand_eligible,exclusion_reason_for_derived
ece1,42,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece2,43,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece3,44,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece4,45,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece5,46,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece6,47,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece7,48,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece8,49,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece9,50,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece10,51,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece11,52,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece12,53,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece13,54,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece14,55,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece15,56,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece16,57,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece17,58,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece18,59,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece19,60,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece20,61,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece21,62,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece22,63,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece23,64,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece24,65,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece25,66,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece26,67,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece27,68,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece28,69,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece29,70,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece30,71,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece31,72,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece32,73,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece33,74,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece34,75,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece35,76,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece36,77,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece37,78,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece38,79,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece39,80,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece40,81,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
cerqrott3,82,X_CER_v,cer_rotation_ti,velocity,m/s,m s^-1,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.994179278230501,10.0,False,True,False,True,True,False,True,True,
