canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,dev_noise_seed,conf_noise_seed,representation_id,representation_label,n_coordinates,n_features,n_active_terms,stlsq_threshold,estimator,cohort,trajectory_id,support_scope,rmse,nrmse,n_samples
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_014,native,2.5368906792168104,0.30669742535502575,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_014,common,2.4010524249872662,0.287994324175104,2074
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_015,native,2.610368073423949,0.2826148803495288,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_015,common,2.474913560067481,0.2597712179698369,2077
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_016,native,2.1972897431173375,0.26381429004715373,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_016,common,2.1253532419192607,0.24931800849212862,2117
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_017,native,2.22965082846419,0.2588136996503499,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_017,common,2.178074942297402,0.24541550560595593,2100
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_018,native,2.13654622354155,0.23635056695130957,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_018,common,2.0379241641756582,0.2166423030265661,2133
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_019,native,2.266708479335589,0.2487756557217569,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_019,common,2.196263634940781,0.23131105552202838,2110
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_020,native,2.3457947264042813,0.2710055975745815,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_020,common,2.315497183247058,0.2611388165710885,2118
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_021,native,2.0525032484890264,0.24356667619443792,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_021,common,2.0106479829244828,0.23051250757136288,2120
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_022,native,1.985861678680239,0.2330759328286178,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_022,common,1.937882445154547,0.21913379227537266,2129
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_023,native,2.3183526086875608,0.25481257256014367,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_023,common,2.283410488969346,0.24228299605184686,2107
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_000,native,3.4755107708546565e-05,4.042440576275461e-06,2249
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_000,common,3.525972421060207e-05,3.998030054594389e-06,2067
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_001,native,3.2614580502284835e-05,3.5862587281289973e-06,2261
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_001,common,3.286178606484758e-05,3.5538060284032766e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_002,native,2.313060943437524e-05,3.1203200580006612e-06,2324
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_002,common,2.347163777761389e-05,3.0869746898688917e-06,2139
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_003,native,2.9668826343598255e-05,3.8006508328573187e-06,2247
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_003,common,3.036704434473271e-05,3.7913854711467473e-06,2072
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_004,native,3.36329505996098e-05,3.824431549385336e-06,2256
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_004,common,3.407464909968165e-05,3.78839888597655e-06,2092
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_005,native,3.1244129417804884e-05,3.6812751215207924e-06,2188
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_005,common,3.154026546164424e-05,3.629982892366644e-06,2027
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_006,native,3.4475048689110053e-05,3.8079086698149338e-06,2257
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_006,common,3.4887239675885976e-05,3.772086548855821e-06,2090
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_007,native,3.2687113103101274e-05,4.19506303609983e-06,2225
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_007,common,3.3084120430033944e-05,4.133701856987092e-06,2047
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_008,native,3.064759453262785e-05,3.6245199251502653e-06,2263
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_008,common,3.118372500299918e-05,3.6078936371486423e-06,2111
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_009,native,3.2641109847552225e-05,3.7296744120722964e-06,2241
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_009,common,3.302847025535394e-05,3.7003671272285257e-06,2099
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_010,native,3.2840847147810096e-05,3.982633755731145e-06,2262
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_010,common,3.3376574495956036e-05,3.9507370354159295e-06,2085
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_011,native,3.357984029380064e-05,3.846744094469283e-06,2249
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_011,common,3.3980018879746985e-05,3.80924990519604e-06,2096
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_012,native,3.357072726477319e-05,3.663731442096433e-06,2243
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_012,common,3.3951904379591764e-05,3.6438254345250765e-06,2115
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_013,native,3.291883764200364e-05,3.701726078501026e-06,2287
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_013,common,3.338836557844324e-05,3.6785059891470534e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_014,native,3.328114655477448e-05,4.097803722999354e-06,2247
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_014,common,3.4339030243616847e-05,4.118796284879677e-06,2074
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_015,native,3.8180574726302164e-05,4.082479792356001e-06,2221
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_015,common,3.870920348753322e-05,4.062985107376674e-06,2077
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_016,native,3.1635715390125277e-05,3.7951767847413357e-06,2286
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_016,common,3.218691192968636e-05,3.775737897844367e-06,2117
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_017,native,3.1979070920875767e-05,3.687360128962236e-06,2272
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_017,common,3.268466980206109e-05,3.6827588478547782e-06,2100
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_018,native,3.3900542288892696e-05,3.6679630393233283e-06,2285
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_018,common,3.4308837403629204e-05,3.6472140033202725e-06,2133
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_019,native,3.311536558911064e-05,3.5507583894370386e-06,2249
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_019,common,3.365930943776628e-05,3.5450071978276974e-06,2110
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_020,native,3.3986603543302646e-05,3.9227282646862955e-06,2286
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_020,common,3.486670511439592e-05,3.9322224951007344e-06,2118
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_021,native,3.0357506675960595e-05,3.5640999781252444e-06,2290
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_021,common,3.1161320330245065e-05,3.572516994303257e-06,2120
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_022,native,2.9831703284519894e-05,3.447473485271127e-06,2303
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_022,common,3.029797960955171e-05,3.4260649745415762e-06,2129
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_023,native,3.507343440905525e-05,3.786864305228573e-06,2246
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_023,common,3.541980110777934e-05,3.7582447717610127e-06,2107
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_000,native,1.5285204928035807e-05,1.7331590096370169e-06,2067
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_000,common,1.5285204928035807e-05,1.7331590096370169e-06,2067
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_001,native,1.1423147677802103e-05,1.2353452426658992e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_001,common,1.1423147677802103e-05,1.2353452426658992e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_002,native,9.467291277263218e-06,1.2451320539038715e-06,2139
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_002,common,9.467291277263218e-06,1.2451320539038715e-06,2139
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_003,native,1.293621779974234e-05,1.6151123455003061e-06,2072
