target,signal_index,target_family,sibling_subfamily,sibling_set,n_siblings_excluded_primary,n_total_O_signals,n_target_removed,n_alias_removed,n_definitional_descendants_removed,n_verified_ancestry_removed,n_unresolved_ancestry_removed,n_siblings_removed,n_primary_surviving_predictors,n_provenance_certified_primary_predictors,n_distinct_scientific_families_surviving,surviving_families,n_predictors_full_boundary,coarsest_admitted_native_dt_ms,primary_grid_dt_ms,binding_signal_family
ece6,47,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece7,48,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece8,49,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece9,50,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece10,51,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece11,52,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece12,53,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece13,54,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece14,55,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece15,56,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece16,57,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece17,58,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece18,59,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece19,60,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece20,61,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece21,62,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece22,63,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece23,64,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece24,65,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece25,66,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece26,67,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece27,68,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece28,69,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
