target,signal_index,target_family,sibling_subfamily,sibling_set,n_siblings_excluded_primary,n_total_O_signals,n_target_removed,n_alias_removed,n_definitional_descendants_removed,n_verified_ancestry_removed,n_unresolved_ancestry_removed,n_siblings_removed,n_primary_surviving_predictors,n_provenance_certified_primary_predictors,n_distinct_scientific_families_surviving,surviving_families,n_predictors_full_boundary,coarsest_admitted_native_dt_ms,primary_grid_dt_ms,binding_signal_family
ece29,70,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece30,71,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece31,72,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece32,73,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece33|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece33,74,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece34|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece34,75,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece35|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece35,76,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece36|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece36,77,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece37|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece37,78,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece38|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece38,79,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece39|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
ece39,80,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece40,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
