target,shot_id,rrv,n_grid_samples,grid_dt_ms
bt,160715,0.0026546616117192998,215,20.0
bt,160720,0.0025261649053888056,215,20.0
bt,161138,0.001640061366353078,188,20.0
bt,165022,0.002137187300602308,214,20.0
bt,165028,0.0020290191926443345,215,20.0
bt,165042,0.0020311974465324766,214,20.0
bt,165861,0.0023790238704120823,215,20.0
bt,170396,0.0027938122591004686,230,20.0
bt,187017,0.00408510608319983,250,20.0
bt,187020,0.0037222257188487293,257,20.0
bt,187024,0.0036291231852320924,257,20.0
bt,189647,0.004154512598214991,218,20.0
bt,189651,0.0038306402748632057,218,20.0
bt,195264,0.004746088243068157,264,20.0
bt,195267,0.0036975423246038523,268,20.0
bt,195273,0.0036445898673183675,268,20.0
bt,195638,0.004542886025869672,238,20.0
bt,195647,0.004934950971940109,238,20.0
bt,195650,0.005187276663825762,238,20.0
bt,195655,0.004460362650189836,239,20.0
ip,160715,0.004250521823778595,215,20.0
ip,160720,0.0062056898604647345,215,20.0
ip,161138,0.005639296121563217,188,20.0
ip,165022,0.003175200980331406,214,20.0
ip,165028,0.004445150372031918,215,20.0
ip,165042,0.004152786275453374,214,20.0
ip,165861,0.002998875979428771,215,20.0
ip,170396,0.0054327817906840116,230,20.0
ip,187017,0.002421782933907965,250,20.0
ip,187020,0.0052178635204027735,257,20.0
ip,187024,0.004609719071121771,257,20.0
ip,189647,0.003484048843596426,218,20.0
ip,189651,0.003415410433374103,218,20.0
ip,195264,0.00474580474198487,264,20.0
ip,195267,0.0029431255543984646,268,20.0
ip,195273,0.002873899169641206,268,20.0
ip,195638,0.005462441981734041,238,20.0
ip,195647,0.0038627144599755613,238,20.0
ip,195650,0.004086746922569627,238,20.0
ip,195655,0.005522916003813128,239,20.0
vsurf,160715,0.12467777873584208,215,20.0
vsurf,160720,0.26964547295701186,215,20.0
vsurf,161138,0.31446944687253164,188,20.0
vsurf,165022,0.14620947780861762,214,20.0
vsurf,165028,0.28194630364064144,215,20.0
vsurf,165042,0.12440519406230646,214,20.0
vsurf,165861,0.12345624733562864,215,20.0
vsurf,170396,0.11818148140310557,230,20.0
vsurf,187017,0.1942200983948967,250,20.0
vsurf,187020,0.3610323426119194,257,20.0
vsurf,187024,0.27355068089496487,257,20.0
vsurf,189647,0.13753851170268114,218,20.0
vsurf,189651,0.16508264307431691,218,20.0
vsurf,195264,0.34687563604141247,264,20.0
vsurf,195267,0.3236946529363942,268,20.0
vsurf,195273,0.3410967941931523,268,20.0
vsurf,195638,0.22351656177859572,238,20.0
vsurf,195647,0.12629921482795323,238,20.0
vsurf,195650,0.13644638791480132,238,20.0
vsurf,195655,0.10565403444417105,239,20.0
density,160715,0.07814258422916555,215,20.0
density,160720,0.20154474124598254,215,20.0
density,161138,0.09087370172550016,188,20.0
density,165022,0.02869555910598538,214,20.0
density,165028,0.04065549476364648,215,20.0
density,165042,0.02883131621791463,214,20.0
density,165861,0.03553872772234783,215,20.0
density,170396,0.04950779517077882,230,20.0
density,187017,0.2403278116597206,250,20.0
density,187020,0.0962303358355916,257,20.0
density,187024,0.1004454913037253,257,20.0
density,189647,0.16567489543149064,218,20.0
density,189651,0.25703267929159046,218,20.0
density,195264,0.15643096261849912,264,20.0
density,195267,0.16782709130439769,268,20.0
density,195273,0.10787866289100448,268,20.0
density,195638,0.15769061338531196,238,20.0
density,195647,0.07394451344173791,238,20.0
density,195650,0.07573597592580412,238,20.0
density,195655,0.10229688068576592,239,20.0
