regime,representation_id,learner,trajectory_id,rmse,nrmse,n,representation_label,noise_level,cohort,canonical_or_augmentation,evidence_level,support_scope,native_coverage
clean,C0_poly2,STLSQ,conf_013,2.185418984886381,0.2492692965452369,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_014,2.5368906792168104,0.3066974253550257,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_015,2.610368073423949,0.2826148803495288,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_016,2.197289743117337,0.2638142900471537,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_017,2.22965082846419,0.2588136996503499,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_018,2.13654622354155,0.2363505669513095,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_019,2.266708479335589,0.2487756557217569,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_020,2.3457947264042813,0.2710055975745815,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_021,2.0525032484890264,0.2435666761944379,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_022,1.985861678680239,0.2330759328286178,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly2,STLSQ,conf_023,2.3183526086875608,0.2548125725601436,2397,quadratic (10->65),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_000,2.6222604759552963,0.3020645929558163,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_001,2.095646007624628,0.2360082808893196,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_002,1.6475096574480208,0.2240665983216014,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_003,2.266754299165407,0.2851355470922235,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_004,2.3197695190842693,0.2666602050956503,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_005,2.402188918253843,0.2794087154837621,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_006,2.3576192366133126,0.2637394751703062,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_007,2.712618037419244,0.3356507091779523,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_008,2.14326266046592,0.2556498806429425,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_009,2.2585605464806022,0.2612347667165874,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_010,2.543109538480957,0.304658103278989,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_011,2.3222732924975213,0.2695114312826527,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_012,2.1588016519377584,0.2416994684515158,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_013,2.2511633113017973,0.2567681066639123,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_014,2.646667393921677,0.3199688824342523,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_015,2.720806969979796,0.2945716905227107,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_016,2.308238719941107,0.2771352121712861,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
clean,C0_poly3,STLSQ,conf_017,2.265145786687631,0.2629338880401486,2397,cubic (10->285),0.0,confirmation_24,canonical,protected_confirmation,native,0.9983340274885464
