times,x,y,z
0.0,1.0,1.0,1.0
0.01,1.0125657329779638,1.259920026252885,0.9848910449164534
0.02,1.048821455821053,1.5240008488728818,0.9731143389932736
0.03,1.107206280284722,1.7983146118504023,0.9651590915283523
0.04,1.186865463491264,2.0885455720820927,0.9617373650304708
0.05,1.287554770359613,2.4001604471630125,0.9638061868678932
0.06,1.4095688168170935,2.7385521054988806,0.9726082635071108
0.07,1.5536888013201215,3.109161007502912,0.9897311791450287
0.08,1.721145808685049,3.517577147509978,1.0171865424300595
0.09,1.9135964123414169,3.9696235166081917,1.0575118411806366
0.1,2.133107618645118,4.471420177184905,1.113898885778289
0.11,2.382148284485555,5.029425749888783,1.1903537013806964
0.12,2.663583975542313,5.65045026523424,1.291893522664953
0.13,2.9806717765944084,6.341629688061095,1.4247870098154236
0.14,3.3370507566133263,7.110347707479532,1.5968436613171935
0.15,3.736722547095741,7.964084304141736,1.817757170087618
0.16,4.184014710241131,8.910162893122301,2.099504388194608
0.17,4.683517142630049,9.95535837301423,2.456795463857033
0.18,5.239978581179972,11.10531740550445,2.9075598833398617
0.19,5.858146312951093,12.363730644439087,3.473435226606908
0.2,6.542527555894548,13.73118671407311,4.180197411971715
0.21,7.29704609094566,15.203634033536519,5.058029653072976
0.22,8.124563564190245,16.770387203257815,6.14146943185576
0.23,9.026233318752011,18.411652631502832,7.468798278874786
0.24,10.000658879456283,20.095632194370907,9.080554463857723
0.25,11.04284424002831,21.77541718374144,11.016773388027696
0.26,12.142955545363225,23.38612854058958,13.31253586725352
0.27,13.284970915572105,24.843095827321697,15.991501320167872
0.28,14.445381824653122,26.04225107128812,19.057419128237274
0.29,15.592221736408947,26.864211801158003,22.48424457601216
0.3,16.684813966310042,27.183492350042286,26.206460202062527
0.31,17.67470311809966,26.8835828735862,30.112350596960272
0.32,18.50818988023452,25.87701542227915,34.04382155576885
0.33,19.130652430725746,24.12711650953444,37.80613173752297
0.34,19.492384142124845,21.665729326187456,41.188907382675
0.35000000000000003,19.555094380493628,18.600223937184293,43.99603664619564
0.36,19.297729099422284,15.104976094270613,46.07776658489627
0.37,18.72015023277454,11.397283091333982,47.35586564194367
0.38,17.84363409623228,7.703504645317491,47.83402833024935
0.39,16.708009421867292,4.22499991748888,47.59071226015433
0.4,15.366200073817692,1.1130374690532967,46.757843319097034
0.41000000000000003,13.877558042993005,-1.5423129218916447,45.49306239484402
0.42,12.301453736492535,-3.7096921234973754,43.9536621971372
0.43,10.692206039319919,-5.404655425819934,42.277708648134855
0.44,9.095843973328844,-6.674058016191606,40.57411106343431
0.45,7.54865859135907,-7.581102915557624,38.920458050163724
0.46,6.077173145693074,-8.19358418410635,37.36603912666686
0.47000000000000003,4.699045033770401,-8.576058936625605,35.93741146105662
0.48,3.424450814876982,-8.785532885672538,34.644526072972944
0.49,2.257615900635898,-8.869757348007445,33.48624384673204
0.5,1.1982729680504163,-8.867197729733421,32.454740211502006
0.51,0.24293544487892874,-8.807912353669026,31.538726902094716
0.52,-0.6140556477659648,-8.714814488442972,30.725638652153243
0.53,-1.3797094523130773,-8.604996925900156,30.00300993250362
0.54,-2.061763053311261,-8.490949962361867,29.359265348387837
0.55,-2.668226064008942,-8.381601605164036,28.78411139468065
0.56,-3.2070582060616957,-8.28316545893829,28.26867261656869
0.5700000000000001,-3.685949464523135,-8.199810487677436,27.80547419327809
0.58,-4.112177314148785,-8.134178600389863,27.388339999757783
0.59,-4.492520575924021,-8.08777838331558,27.012250738103294
0.6,-4.833214019828725,-8.061281107113842,26.67318953660352
0.61,-5.139931642463897,-8.05474116088278,26.367990826022638
0.62,-5.41778959634859,-8.067758784222587,26.094200772643664
0.63,-5.671362114430063,-8.099599076116762,25.849952829654505
0.64,-5.904705574643867,-8.149278010227382,25.633859136266793
0.65,-6.12138720201165,-8.215623610675733,25.444916892181464
0.66,-6.3245159162420235,-8.297318472262601,25.28242801432071
0.67,-6.51677358305265,-8.392928336929309,25.145930046934577
0.68,-6.700445486580457,-8.500920366082001,25.03513624984018
0.6900000000000001,-6.877449261457885,-8.619673967572298,24.949882911968547
0.7000000000000001,-7.049361836162183,-8.747486496616059,24.890082151678087
0.71,-7.217444186853069,-8.882575754620488,24.855678728524097
0.72,-7.382663886147285,-9.023080949426516,24.84660967765061
0.73,-7.545715582979347,-9.167063587136347,24.86276587629076
0.74,-7.707039670078137,-9.312509626591318,24.903954955224307
0.75,-7.866839489687363,-9.4573341122214,24.96986527755334
0.76,-8.025097509001288,-9.599389384926212,25.060031015696072
0.77,-8.181590949018064,-9.736477840567568,25.17379867003201
0.78,-8.335907395036143,-9.866370037152262,25.310295673076222
0.79,-8.487460926630554,-9.98682873641589,25.468402011645637
0.8,-8.635509302680717,-10.095639187983245,25.646726050931957
0.81,-8.779172693911926,-10.19064562150567,25.843585946773178
0.8200000000000001,-8.917454390678584,-10.26979350555665,26.05699815687498
