analysis,realization_index,shot,parameter,feature,display_name,coefficient,canonical_coefficient
fixed_rank,0,155537,5.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.8060993361047175,0.3970412945316385
fixed_rank,0,155537,5.0,d[kappa]/d[t],dot kappa,0.47266725547455624,1.3182993586331713
fixed_rank,0,155537,5.0,r[q95]/r[kappa],q95 / kappa,-0.022474017406402036,-0.0162003192608668
fixed_rank,0,155537,5.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.5988140698932548,1.2638060173861885
fixed_rank,0,155537,5.0,d[kappa]/d[betan],D_betaN kappa,0.11470082216405965,-1.6150993824471749
fixed_rank,0,155537,5.0,d[betan]/d[t],dot beta_N,0.3556589757314301,-0.4024227133882137
fixed_rank,0,155537,5.0,d[li]/d[betan],D_betaN l_i,0.008549346793651602,0.0087053584259089
fixed_rank,0,155537,4.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.5074674258339541,0.3970412945316385
fixed_rank,0,155537,4.0,d[kappa]/d[t],dot kappa,0.1893939729168147,1.3182993586331713
fixed_rank,0,155537,4.0,r[q95]/r[kappa],q95 / kappa,0.11138913540761114,-0.0162003192608668
fixed_rank,0,155537,4.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.4879611262029913,1.2638060173861885
fixed_rank,0,155537,4.0,d[kappa]/d[betan],D_betaN kappa,0.23792697035682733,-1.6150993824471749
fixed_rank,0,155537,4.0,d[betan]/d[t],dot beta_N,-0.176572939626174,-0.4024227133882137
fixed_rank,0,155537,4.0,d[li]/d[betan],D_betaN l_i,-0.3437180570441253,0.0087053584259089
fixed_threshold,1,159310,0.001,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.20098599229570369,0.2009859922957055
fixed_threshold,1,159310,0.001,d[kappa]/d[t],dot kappa,0.18329535813579673,0.1832953581357968
fixed_threshold,1,159310,0.001,r[q95]/r[kappa],q95 / kappa,-0.015542686558065512,-0.0155426865580661
fixed_threshold,1,159310,0.001,d[pcdiamag3]/d[betan],D_betaN W_dia,0.5208682073706452,0.5208682073706433
fixed_threshold,1,159310,0.001,d[kappa]/d[betan],D_betaN kappa,-0.06864124912441363,-0.0686412491244117
fixed_threshold,1,159310,0.001,d[betan]/d[t],dot beta_N,0.8079141971887026,0.8079141971887019
fixed_threshold,1,159310,0.001,d[li]/d[betan],D_betaN l_i,0.009658223388830408,0.0096582233888301
fixed_threshold,1,159310,0.005,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.20098599229570369,0.2009859922957055
fixed_threshold,1,159310,0.005,d[kappa]/d[t],dot kappa,0.18329535813579673,0.1832953581357968
fixed_threshold,1,159310,0.005,r[q95]/r[kappa],q95 / kappa,-0.015542686558065512,-0.0155426865580661
fixed_threshold,1,159310,0.005,d[pcdiamag3]/d[betan],D_betaN W_dia,0.5208682073706452,0.5208682073706433
fixed_threshold,1,159310,0.005,d[kappa]/d[betan],D_betaN kappa,-0.06864124912441363,-0.0686412491244117
fixed_threshold,1,159310,0.005,d[betan]/d[t],dot beta_N,0.8079141971887026,0.8079141971887019
fixed_threshold,1,159310,0.005,d[li]/d[betan],D_betaN l_i,0.009658223388830408,0.0096582233888301
fixed_threshold,1,159310,0.01,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.20098599229570369,0.2009859922957055
fixed_threshold,1,159310,0.01,d[kappa]/d[t],dot kappa,0.18329535813579673,0.1832953581357968
fixed_threshold,1,159310,0.01,r[q95]/r[kappa],q95 / kappa,-0.015542686558065512,-0.0155426865580661
fixed_threshold,1,159310,0.01,d[pcdiamag3]/d[betan],D_betaN W_dia,0.5208682073706452,0.5208682073706433
fixed_threshold,1,159310,0.01,d[kappa]/d[betan],D_betaN kappa,-0.06864124912441363,-0.0686412491244117
fixed_threshold,1,159310,0.01,d[betan]/d[t],dot beta_N,0.8079141971887026,0.8079141971887019
fixed_threshold,1,159310,0.01,d[li]/d[betan],D_betaN l_i,0.009658223388830408,0.0096582233888301
fixed_threshold,1,159310,0.02,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.20098599229570369,0.2009859922957055
fixed_threshold,1,159310,0.02,d[kappa]/d[t],dot kappa,0.18329535813579673,0.1832953581357968
fixed_threshold,1,159310,0.02,r[q95]/r[kappa],q95 / kappa,-0.015542686558065512,-0.0155426865580661
fixed_threshold,1,159310,0.02,d[pcdiamag3]/d[betan],D_betaN W_dia,0.5208682073706452,0.5208682073706433
fixed_threshold,1,159310,0.02,d[kappa]/d[betan],D_betaN kappa,-0.06864124912441363,-0.0686412491244117
fixed_threshold,1,159310,0.02,d[betan]/d[t],dot beta_N,0.8079141971887026,0.8079141971887019
fixed_threshold,1,159310,0.02,d[li]/d[betan],D_betaN l_i,0.009658223388830408,0.0096582233888301
fixed_threshold,1,159310,0.05,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.40368771421444666,0.2009859922957055
fixed_threshold,1,159310,0.05,d[kappa]/d[t],dot kappa,0.3665868721417065,0.1832953581357968
fixed_threshold,1,159310,0.05,r[q95]/r[kappa],q95 / kappa,-0.0258967158378909,-0.0155426865580661
fixed_threshold,1,159310,0.05,d[pcdiamag3]/d[betan],D_betaN W_dia,0.431147077360982,0.5208682073706433
fixed_threshold,1,159310,0.05,d[kappa]/d[betan],D_betaN kappa,-0.1410424629266718,-0.0686412491244117
fixed_threshold,1,159310,0.05,d[betan]/d[t],dot beta_N,0.609667817101457,0.8079141971887019
fixed_threshold,1,159310,0.05,d[li]/d[betan],D_betaN l_i,0.013226887064303252,0.0096582233888301
fixed_threshold,1,159310,0.1,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.39892179422844554,0.2009859922957055
fixed_threshold,1,159310,0.1,d[kappa]/d[t],dot kappa,0.36845200966303043,0.1832953581357968
fixed_threshold,1,159310,0.1,r[q95]/r[kappa],q95 / kappa,-0.02583991914499912,-0.0155426865580661
fixed_threshold,1,159310,0.1,d[pcdiamag3]/d[betan],D_betaN W_dia,0.43312319751398703,0.5208682073706433
fixed_threshold,1,159310,0.1,d[kappa]/d[betan],D_betaN kappa,-0.1486086394415549,-0.0686412491244117
fixed_threshold,1,159310,0.1,d[betan]/d[t],dot beta_N,0.6083964360049725,0.8079141971887019
fixed_threshold,1,159310,0.1,d[li]/d[betan],D_betaN l_i,0.013853746851247628,0.0096582233888301
fixed_rank,1,159310,7.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.20098599229570369,0.2009859922957055
fixed_rank,1,159310,7.0,d[kappa]/d[t],dot kappa,0.18329535813579673,0.1832953581357968
fixed_rank,1,159310,7.0,r[q95]/r[kappa],q95 / kappa,-0.015542686558065512,-0.0155426865580661
fixed_rank,1,159310,7.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.5208682073706452,0.5208682073706433
fixed_rank,1,159310,7.0,d[kappa]/d[betan],D_betaN kappa,-0.06864124912441363,-0.0686412491244117
fixed_rank,1,159310,7.0,d[betan]/d[t],dot beta_N,0.8079141971887026,0.8079141971887019
fixed_rank,1,159310,7.0,d[li]/d[betan],D_betaN l_i,0.009658223388830408,0.0096582233888301
fixed_rank,1,159310,6.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.40368771421444666,0.2009859922957055
fixed_rank,1,159310,6.0,d[kappa]/d[t],dot kappa,0.3665868721417065,0.1832953581357968
fixed_rank,1,159310,6.0,r[q95]/r[kappa],q95 / kappa,-0.0258967158378909,-0.0155426865580661
fixed_rank,1,159310,6.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.431147077360982,0.5208682073706433
fixed_rank,1,159310,6.0,d[kappa]/d[betan],D_betaN kappa,-0.1410424629266718,-0.0686412491244117
fixed_rank,1,159310,6.0,d[betan]/d[t],dot beta_N,0.609667817101457,0.8079141971887019
fixed_rank,1,159310,6.0,d[li]/d[betan],D_betaN l_i,0.013226887064303252,0.0096582233888301
fixed_rank,1,159310,5.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.39892179422844554,0.2009859922957055
fixed_rank,1,159310,5.0,d[kappa]/d[t],dot kappa,0.36845200966303043,0.1832953581357968
fixed_rank,1,159310,5.0,r[q95]/r[kappa],q95 / kappa,-0.02583991914499912,-0.0155426865580661
fixed_rank,1,159310,5.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.43312319751398703,0.5208682073706433
fixed_rank,1,159310,5.0,d[kappa]/d[betan],D_betaN kappa,-0.1486086394415549,-0.0686412491244117
fixed_rank,1,159310,5.0,d[betan]/d[t],dot beta_N,0.6083964360049725,0.8079141971887019
fixed_rank,1,159310,5.0,d[li]/d[betan],D_betaN l_i,0.013853746851247628,0.0096582233888301
fixed_rank,1,159310,4.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.32710392085617923,0.2009859922957055
fixed_rank,1,159310,4.0,d[kappa]/d[t],dot kappa,0.24302729915318877,0.1832953581357968
fixed_rank,1,159310,4.0,r[q95]/r[kappa],q95 / kappa,0.05340319258945938,-0.0155426865580661
fixed_rank,1,159310,4.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.49271177699086144,0.5208682073706433
fixed_rank,1,159310,4.0,d[kappa]/d[betan],D_betaN kappa,-0.10592376642796981,-0.0686412491244117
