realization_index,feature,display_name,var_primary,var_short,var_long,var_ratio_short_over_primary,var_ratio_long_over_primary,interval_width_primary,interval_width_ratio_short,interval_width_ratio_long,sign_stability_primary,sign_stability_short,sign_stability_long,mc_se_var_short_B300,mc_se_var_long_B300,n_primary,n_sensitivity
0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.08120167513851405,0.06396403151751477,0.08738497468743972,0.7877181278391702,1.0761474383179679,0.8826911018777917,0.9368406593458112,1.0039689084935508,1.0,1.0,1.0,0.00523136752744265,0.007146874706312003,1000,300
0,d[kappa]/d[t],dot kappa,0.017695692329569624,0.013615826774296735,0.016836299111220757,0.7694430102372765,0.9514348914784863,0.4663827914548855,0.9628321144079367,0.9544170469336587,1.0,1.0,1.0,0.0011135851252095635,0.001376974939871237,1000,300
0,r[q95]/r[kappa],q95 / kappa,0.0005184519233137272,0.00043738436061489463,0.0005250329281585022,0.8436353323164804,1.0126935681957008,0.09538355422298517,0.8126865131221844,1.055145488438358,0.85,0.93,0.8533333333333334,3.5771953187558045e-05,4.2940386120822096e-05,1000,300
0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.17670017983967506,0.13932723817702342,0.1921252112356923,0.7884951690679594,1.0872949388620474,1.3241219933511756,0.9296707503008081,1.0062061104694298,1.0,1.0,1.0,0.011395028927905629,0.01571316828249401,1000,300
0,d[kappa]/d[betan],D_betaN kappa,0.288606685323033,0.23039750476302262,0.2892569338267548,0.7983096597542162,1.0022530611270977,1.7059158340042957,0.9525232505206231,0.9227550372637271,1.0,1.0,1.0,0.01884330921966752,0.023657191312191794,1000,300
0,d[betan]/d[t],dot beta_N,0.021725562074360803,0.016314455370381807,0.022112623136128877,0.7509336381973354,1.017815928556567,0.4667574792526487,0.978007602864726,0.9598633776496678,0.997,1.0,0.9866666666666667,0.0013342953848860801,0.0018085048092887346,1000,300
0,d[li]/d[betan],D_betaN l_i,7.301627522591895e-05,5.933775067098642e-05,7.287606440826535e-05,0.8126647173851317,0.9980797319882482,0.03422857748211765,0.885720925469609,0.9469497820930303,0.747,0.8,0.6666666666666666,4.853002142722781e-06,5.960247780329888e-06,1000,300
1,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.05766182464015698,0.03390571345202548,0.06456437443212383,0.5880097215725771,1.1197074465652577,0.9588821982108547,0.7578802668268048,1.0718537262790917,1.0,1.0,1.0,0.0027730154610272305,0.005280467222291561,1000,300
1,d[kappa]/d[t],dot kappa,0.02895610794208971,0.018181464754060322,0.03324207080181201,0.6278973952722529,1.1480158475819313,0.711609439579035,0.7897991006629911,1.0624472475510098,1.0,1.0,1.0,0.0014869907674548303,0.0027187387288109053,1000,300
1,r[q95]/r[kappa],q95 / kappa,0.0002582104130172808,0.00017618897501107524,0.00020943043358685525,0.6823465132650702,0.8110843832345331,0.07001193956005958,0.8086265161812569,0.9094626429321286,0.893,0.9666666666666667,0.8433333333333334,1.440980595968156e-05,1.7128494616924003e-05,1000,300
1,d[pcdiamag3]/d[betan],D_betaN W_dia,0.012141500090874852,0.007218147122047186,0.013454463462970903,0.594502085246625,1.1081384806052779,0.44484470500742024,0.7516934865874693,1.0733843772359855,1.0,1.0,1.0,0.000590343972490876,0.00110038785219591,1000,300
1,d[kappa]/d[betan],D_betaN kappa,0.012911585631537341,0.010682214630639246,0.015903713362151836,0.8273356143452498,1.2317397580747975,0.3591381413921301,0.986462752950097,1.0198752706488179,0.996,0.9966666666666667,0.9933333333333333,0.0008736564818400642,0.0013007024053156401,1000,300
1,d[betan]/d[t],dot beta_N,0.028964535452089223,0.01814779054134759,0.03328232067022495,0.6265521009776313,1.1490714472282095,0.7175641390651979,0.7783459109902265,1.053604905928285,1.0,1.0,1.0,0.0014842366855322522,0.0027220306078498562,1000,300
1,d[li]/d[betan],D_betaN l_i,2.3040215935385813e-05,2.3353766870458718e-05,2.525249125797836e-05,1.0136088540121424,1.0960179943103254,0.017944615358104425,1.0079221795719082,1.0270829020946393,0.993,0.9933333333333333,0.9966666666666667,1.9100130925320154e-06,2.0653023210058934e-06,1000,300
2,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.04039289054920597,0.031061171963298526,0.039811732861623955,0.7689762119267078,0.9856123768395811,0.8056659318752345,0.8368108870643574,1.0015752186895424,1.0,1.0,1.0,0.0025403715575466495,0.003256045648818932,1000,300
2,d[kappa]/d[t],dot kappa,0.005668651759608363,0.005938679972736096,0.00449260909365607,1.047635350446433,0.7925357358636644,0.2955866448523431,1.0595018887743926,0.8195105648650636,1.0,1.0,1.0,0.0004857013672869989,0.00036743289577690887,1000,300
2,r[q95]/r[kappa],q95 / kappa,0.0024480858031447525,0.0010640288582244404,0.0044905938647848975,0.43463707720440775,1.8343286248449249,0.19736535916049494,0.7799875011863129,1.1692212213612918,0.511,0.58,0.5766666666666667,8.702275146076484e-05,0.0003672680781031803,1000,300
2,d[pcdiamag3]/d[betan],D_betaN W_dia,0.08486775406913435,0.06652499024371,0.08483214730927356,0.7838665105891444,0.9995804441834082,1.160912420601297,0.8310292726332571,0.9965606125163934,1.0,1.0,1.0,0.005440818307849919,0.006938088957001499,1000,300
2,d[kappa]/d[betan],D_betaN kappa,0.10713173425100311,0.09041263039427465,0.10393399297627934,0.84393882938965,0.9701513160682,1.3002938780101367,0.9389310474968874,0.9363968046686669,1.0,1.0,1.0,0.007394494804252134,0.008500354073283803,1000,300
2,d[betan]/d[t],dot beta_N,0.004793998097085614,0.004300324101401111,0.005030278953357052,0.897022488184837,1.0492868064372156,0.2787978588688015,1.0173293632046982,1.0068430054810422,0.996,1.0,0.9966666666666667,0.0003517066596308693,0.00041140680701723105,1000,300
2,d[li]/d[betan],D_betaN l_i,0.00026576437280734835,0.00022260006950546767,0.00027080663625073706,0.8375843125776293,1.0189726839234536,0.06518012632218956,0.9125905388321468,1.0326757579251087,0.63,0.71,0.6733333333333333,1.8205587540218032e-05,2.2148213761513118e-05,1000,300
3,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.04223628409299138,0.03997763780757807,0.0581143712552703,0.9465235558970941,1.3759347561759987,0.8049175480582051,1.0666073805460672,1.3183878993829985,1.0,1.0,1.0,0.0032696143643347582,0.00475294673349851,1000,300
3,d[kappa]/d[t],dot kappa,0.008776828486935775,0.007947086710743628,0.007641877075638963,0.9054622318953583,0.870687753214481,0.38548024800856173,1.001142539435984,0.9813064994605681,1.0,1.0,1.0,0.0006499610854730336,0.0006249991852258304,1000,300
3,r[q95]/r[kappa],q95 / kappa,0.0008455834699056703,0.0003251298815496567,0.0023726041142292913,0.38450359204151285,2.8058780696055576,0.1283664887176277,0.6110673806330391,1.3811555070324992,0.962,0.9733333333333334,0.9666666666666667,2.659109915663168e-05,0.00019404599466588148,1000,300
3,d[pcdiamag3]/d[betan],D_betaN W_dia,0.09224959626965136,0.08593132306720491,0.12779620224053703,0.931508933827984,1.3853307484076214,1.201905894077508,1.0669708269794926,1.3186029551711091,0.989,0.9833333333333333,0.9666666666666667,0.007027986235684124,0.010451950677132905,1000,300
3,d[kappa]/d[betan],D_betaN kappa,0.12303621162993549,0.12116536028546873,0.15643980191929255,0.9847943030780739,1.271493976015999,1.4260187056485703,1.0384248692272393,1.2564187275944865,0.985,0.9833333333333333,0.9666666666666667,0.009909640093194021,0.012794598469548514,1000,300
3,d[betan]/d[t],dot beta_N,0.013835106143015247,0.013634766397720984,0.013597339627936054,0.9855194645257271,0.9828142615877774,0.467573442879578,1.024844234291137,1.1732547271014073,0.984,0.9833333333333333,0.9733333333333334,0.0011151341228041955,0.0011120731339411601,1000,300
3,d[li]/d[betan],D_betaN l_i,0.0005032652173071806,0.00044728039148499946,0.000541553022993571,0.8887568147035096,1.0760787838493127,0.08231220593474758,0.9444827442481889,1.0215993460976462,0.991,0.9966666666666667,1.0,3.658131077988336e-05,4.429149995183175e-05,1000,300
4,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.016072230695748053,0.00970558086574092,0.010829311163409301,0.6038726701644815,0.6737901768840476,0.4811355994899471,0.7950550256516979,0.9018668209855825,1.0,1.0,1.0,0.0007937814326494238,0.0008856869309327227,1000,300
4,d[kappa]/d[t],dot kappa,0.013443878762139058,0.011547899269192112,0.01656085808181301,0.858970798049262,1.2318511922654387,0.4154235403756583,0.9364063125861245,1.1184360072516826,1.0,1.0,1.0,0.0009444574366843711,0.0013544476972509136,1000,300
4,r[q95]/r[kappa],q95 / kappa,0.000512373122769155,0.000205752206958179,0.0006982960932381902,0.4015671349936885,1.3628663608742826,0.10078154664542592,0.5965748700451113,1.0460400610875817,0.615,0.61,0.5666666666666667,1.6827666872216214e-05,5.7110901549506755e-05,1000,300
4,d[pcdiamag3]/d[betan],D_betaN W_dia,0.03471285960018515,0.02107202931213417,0.02365316212374906,0.6070381280838578,0.6813948028534906,0.7175446951629049,0.8115899516076491,0.9061323094771265,1.0,1.0,1.0,0.001723398717459412,0.0019344994572713095,1000,300
4,d[kappa]/d[betan],D_betaN kappa,0.0629026210774002,0.04355013157231967,0.06047018485021151,0.692342080924295,0.9613301292453992,1.0032839753851162,0.7689818303408594,0.9938209970591955,1.0,1.0,1.0,0.003561794632361533,0.004945619497376891,1000,300
4,d[betan]/d[t],dot beta_N,0.010593363593148185,0.008661047951370817,0.01216398298261907,0.8175918701565955,1.1482644653570435,0.38929180001719954,0.9037023824628599,1.0415773850951158,0.998,1.0,1.0,0.0007083531780516107,0.0009948445097963208,1000,300
4,d[li]/d[betan],D_betaN l_i,0.00024521358718791595,0.00022389125034310442,0.00019500075924641218,0.9130458589618385,0.795228198741598,0.060045705249907086,0.9443639853703931,0.9095630513089926,0.985,0.9933333333333333,0.9866666666666667,1.8311188162095962e-05,1.594834808792518e-05,1000,300
5,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.06466267667583457,0.06668691150184676,0.06597143417451166,1.0313045319197045,1.0202397668323897,0.9645166576068646,1.0057574842845451,0.9456088335235443,1.0,1.0,1.0,0.005454061213147209,0.005395545125776803,1000,300
5,d[kappa]/d[t],dot kappa,0.012826530764290732,0.012832620900447792,0.011512643213981351,1.0004748077456778,0.897564854093886,0.4401282256527186,1.0313367129074875,0.9025905229472229,1.0,1.0,1.0,0.0010495297853794934,0.0009415739820615211,1000,300
5,r[q95]/r[kappa],q95 / kappa,0.0016928728304967569,0.0006054813442943558,0.0024660174273472106,0.3576649901792583,1.4567056561617697,0.1806273166697113,0.5749202777094855,1.0172533354397366,0.955,0.97,0.9766666666666667,4.951994688056029e-05,0.00020168590355345846,1000,300
