realization_index,shot,lambda_relative,lambda,coefficient_norm,edf,relative_coefficient_change,max_abs_coefficient_change,relative_prediction_change,prediction_correlation,rmse,rmse_canonical,absolute_rmse_change,relative_rmse_change,r2,r2_change,n_sign_changes,reconstruction_label,sensitivity_class
0,155537,0.0,0.0,2.5027163097640512,7.0,1.249427591830271e-15,1.7763568394002505e-15,4.440532638722243e-15,0.9999999999999999,0.05815626535159006,0.05815626535159004,2.0816681711721685e-17,3.579439220498739e-16,0.9966178488003554,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
0,155537,1e-06,0.003684465031919807,2.498437520838206,6.997395166797688,0.0019992569186236798,0.003722019395688392,0.00019876926330935387,0.9999999805116803,0.05815660388329459,0.05815626535159004,3.385317045509484e-07,5.821070223548783e-06,0.9966178094247615,-3.937559389655121e-08,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
0,155537,1e-05,0.03684465031919808,2.460927303591202,6.974445281077199,0.019577217232883488,0.036452964636638496,0.0019467555059745878,0.9999981301454397,0.05818872948239374,0.05815626535159004,3.2464130803697144e-05,0.0005582224134825568,0.9966140717612249,-3.777039130570259e-06,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
0,155537,0.0001,0.36844650319198075,2.1651104493093443,6.784526775916486,0.1621014180214611,0.3023214691895144,0.01615166427373845,0.9998710608707754,0.06035018753495649,0.05815626535159004,0.002193922183366448,0.037724605768661636,0.9963578548644956,-0.000259993935859848,0,STABLE_RECONSTRUCTION,LARGE_COEFFICIENT_MOVEMENT_STABLE_RECONSTRUCTION
0,155537,0.001,3.684465031919807,1.4112457116936996,6.0823510560884175,0.5969320851120453,1.1275318135568262,0.061408967874837926,0.9981403574477034,0.08450123215360707,0.05815626535159004,0.026344966802017027,0.4530030709975134,0.9928595417645222,-0.0037583070358332415,0,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
0,155537,0.01,36.844650319198074,1.010685616447533,4.925299940826297,0.8343063159014534,1.6236285564384945,0.12770201882090587,0.992603912205069,0.14012423539940877,0.05815626535159004,0.08196797004781872,1.4094434976570627,0.9803651986537311,-0.01625265014662436,4,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
0,155537,0.1,368.44650319198075,0.5698634590827066,3.1353430521037913,0.9253546582111986,1.726079374981528,0.32614596451703615,0.9569140153805269,0.3307469998684018,0.05815626535159004,0.27259073451681176,4.687211822644217,0.8906064220780514,-0.10601142672230401,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
0,155537,1.0,3684.465031919807,0.23378833189546416,1.1456118500866277,0.9770014458344538,1.6838105218425903,0.6522304778191552,0.9022851731041253,0.6537185669158316,0.05815626535159004,0.5955623015642416,10.240724674524655,0.5726520352695113,-0.42396581353084417,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
1,159310,0.0,0.0,1.0015328623403326,7.0,3.573477412150534e-15,2.220446049250313e-15,9.80510924004702e-16,1.0,0.043804993830068535,0.04380499383006854,6.938893903907228e-18,1.584041748944178e-16,0.9980811225155477,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,1e-06,0.0036854614363815686,1.0013422552820774,6.998129695608282,0.000513039679426106,0.00029294622086772915,2.6539590429337997e-05,0.9999999996546793,0.04380500185424767,0.04380499383006854,8.02417912670883e-09,1.8317955157890482e-07,0.9980811218125494,-7.029983262185624e-10,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
