realization_index,shot,tolerance,retained_rank,n_directions_removed,removed_singular_directions,relative_coefficient_change,max_abs_coefficient_change,relative_prediction_change,prediction_correlation,rmse,rmse_canonical,absolute_rmse_change,relative_rmse_change,r2,r2_change,n_sign_changes,reconstruction_label,sensitivity_class
57,195650,0.05,5,2,"[6, 7]",0.828340736663368,1.4068460032056458,0.06902306408305525,0.9976150643532751,0.0826962744721816,0.04565545969586339,0.03704081477631821,0.8113118348400614,0.9931613261884216,-0.004754252811537851,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
57,195650,0.1,5,2,"[6, 7]",0.828340736663368,1.4068460032056458,0.06902306408305525,0.9976150643532751,0.0826962744721816,0.04565545969586339,0.03704081477631821,0.8113118348400614,0.9931613261884216,-0.004754252811537851,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
58,195651,0.001,7,0,[],1.1786347694176612e-15,1.5543122344752192e-15,2.7018567777341957e-15,1.0,0.05494881234151568,0.05494881234151568,0.0,0.0,0.9969806280222568,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
58,195651,0.005,7,0,[],1.1786347694176612e-15,1.5543122344752192e-15,2.7018567777341957e-15,1.0,0.05494881234151568,0.05494881234151568,0.0,0.0,0.9969806280222568,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
58,195651,0.01,7,0,[],1.1786347694176612e-15,1.5543122344752192e-15,2.7018567777341957e-15,1.0,0.05494881234151568,0.05494881234151568,0.0,0.0,0.9969806280222568,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
58,195651,0.02,7,0,[],1.1786347694176612e-15,1.5543122344752192e-15,2.7018567777341957e-15,1.0,0.05494881234151568,0.05494881234151568,0.0,0.0,0.9969806280222568,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
58,195651,0.05,5,2,"[6, 7]",0.8823173551789336,1.6298048265470078,0.10038677483057622,0.9949484888370431,0.11430856837416514,0.05494881234151568,0.05935975603264946,1.0802736856934774,0.9869335511962488,-0.010047076826008028,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
58,195651,0.1,5,2,"[6, 7]",0.8823173551789336,1.6298048265470078,0.10038677483057622,0.9949484888370431,0.11430856837416514,0.05494881234151568,0.05935975603264946,1.0802736856934774,0.9869335511962488,-0.010047076826008028,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
59,195652,0.001,7,0,[],5.227968782975584e-15,9.103828801926284e-15,3.5892841026082564e-15,0.9999999999999999,0.06657638452491278,0.06657638452491287,8.326672684688674e-17,1.250694633556244e-15,0.995567585023591,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
59,195652,0.005,7,0,[],5.227968782975584e-15,9.103828801926284e-15,3.5892841026082564e-15,0.9999999999999999,0.06657638452491278,0.06657638452491287,8.326672684688674e-17,1.250694633556244e-15,0.995567585023591,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
59,195652,0.01,7,0,[],5.227968782975584e-15,9.103828801926284e-15,3.5892841026082564e-15,0.9999999999999999,0.06657638452491278,0.06657638452491287,8.326672684688674e-17,1.250694633556244e-15,0.995567585023591,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
59,195652,0.02,7,0,[],5.227968782975584e-15,9.103828801926284e-15,3.5892841026082564e-15,0.9999999999999999,0.06657638452491278,0.06657638452491287,8.326672684688674e-17,1.250694633556244e-15,0.995567585023591,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
59,195652,0.05,6,1,[7],0.8834935442822434,1.646165641009325,0.1166092409790777,0.9931778717421578,0.13405170398824695,0.06657638452491287,0.06747531946333409,1.0135023093373872,0.9820301406578474,-0.013537444365743556,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
59,195652,0.1,5,2,"[6, 7]",0.8945596666760872,1.7351143491455325,0.1276384711236943,0.9918207603640915,0.14370728320818235,0.06657638452491287,0.07713089868326949,1.158532402047245,0.9793482167529233,-0.016219368270667722,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
60,195655,0.001,7,0,[],9.062733060140616e-16,1.5543122344752192e-15,1.9404023111728126e-15,1.0,0.050960490192761256,0.05096049019276125,6.938893903907228e-18,1.361622283785005e-16,0.9974030284393135,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
60,195655,0.005,7,0,[],9.062733060140616e-16,1.5543122344752192e-15,1.9404023111728126e-15,1.0,0.050960490192761256,0.05096049019276125,6.938893903907228e-18,1.361622283785005e-16,0.9974030284393135,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
60,195655,0.01,7,0,[],9.062733060140616e-16,1.5543122344752192e-15,1.9404023111728126e-15,1.0,0.050960490192761256,0.05096049019276125,6.938893903907228e-18,1.361622283785005e-16,0.9974030284393135,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
60,195655,0.02,7,0,[],9.062733060140616e-16,1.5543122344752192e-15,1.9404023111728126e-15,1.0,0.050960490192761256,0.05096049019276125,6.938893903907228e-18,1.361622283785005e-16,0.9974030284393135,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
60,195655,0.05,5,2,"[6, 7]",0.8726670745850513,1.5671666309772594,0.09314796096414125,0.9956522773379376,0.10607064371447879,0.05096049019276125,0.05511015352171754,1.0814290308680088,0.9887490185419961,-0.00865400989731735,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
