feature,display_name,x,y,spearman_r,p_value,block_sensitivity_tau2_long_over_short,p_fdr,reject_fdr
d[pcdiamag3]/d[betan],D_betaN W_dia,max_vif,abs_coefficient,0.5348392133162096,7.529573758136206e-06,0.7292525881435487,5.749856324394921e-05,True
d[pcdiamag3]/d[betan],D_betaN W_dia,max_vif,bootstrap_sd,0.5603233361033467,2.1821065549527953e-06,0.7292525881435487,2.036632784622609e-05,True
d[pcdiamag3]/d[betan],D_betaN W_dia,max_vif,loo_influence,-0.13978494623655913,0.27854269536927556,0.7292525881435487,0.48744971689623223,False
d[pcdiamag3]/d[betan],D_betaN W_dia,weak_direction_abs_loading,abs_coefficient,0.5354939437435471,7.302892811481994e-06,0.7292525881435487,5.749856324394921e-05,True
d[pcdiamag3]/d[betan],D_betaN W_dia,weak_direction_abs_loading,bootstrap_sd,0.5844476341567828,6.120763464995318e-07,0.7292525881435487,6.426801638245084e-06,True
d[pcdiamag3]/d[betan],D_betaN W_dia,weak_direction_abs_loading,loo_influence,0.09173780564579084,0.4782368375641892,0.7292525881435487,0.618029143929106,False
d[kappa]/d[betan],D_betaN kappa,log10_condition_number,abs_coefficient,0.39684218478507216,0.0014062055555783,0.8502763874905744,0.007382579166786075,True
d[kappa]/d[betan],D_betaN kappa,log10_condition_number,bootstrap_sd,0.3860139507944902,0.001943852515688829,0.8502763874905744,0.009071311739881202,True
d[kappa]/d[betan],D_betaN kappa,log10_condition_number,loo_influence,-0.11178262949812393,0.38704965822233345,0.8502763874905744,0.5445858147974472,False
d[kappa]/d[betan],D_betaN kappa,normalized_sigma_7,abs_coefficient,-0.39684218478507216,0.0014062055555783,0.8502763874905744,0.007382579166786075,True
d[kappa]/d[betan],D_betaN kappa,normalized_sigma_7,bootstrap_sd,-0.3860139507944902,0.001943852515688829,0.8502763874905744,0.009071311739881202,True
d[kappa]/d[betan],D_betaN kappa,normalized_sigma_7,loo_influence,0.11178262949812393,0.38704965822233345,0.8502763874905744,0.5445858147974472,False
d[kappa]/d[betan],D_betaN kappa,max_vif,abs_coefficient,0.6320918637153434,3.58774686513689e-08,0.8502763874905744,5.022845611191646e-07,True
d[kappa]/d[betan],D_betaN kappa,max_vif,bootstrap_sd,0.5993553423484677,2.647118103378048e-07,0.8502763874905744,3.1765417240536576e-06,True
d[kappa]/d[betan],D_betaN kappa,max_vif,loo_influence,-0.0883130618720254,0.49488392430942574,0.8502763874905744,0.6298522673029056,False
d[kappa]/d[betan],D_betaN kappa,weak_direction_abs_loading,abs_coefficient,0.7645992294326509,4.746718084360176e-13,0.8502763874905744,3.9872431908625476e-11,True
d[kappa]/d[betan],D_betaN kappa,weak_direction_abs_loading,bootstrap_sd,0.6656845710256604,3.5633072517955867e-09,0.8502763874905744,9.977260305027644e-08,True
d[kappa]/d[betan],D_betaN kappa,weak_direction_abs_loading,loo_influence,-0.034977713983531014,0.7872430329016533,0.8502763874905744,0.8701107205755115,False
d[betan]/d[t],dot beta_N,log10_condition_number,abs_coefficient,-0.07960011080053386,0.5385589882591828,0.9229704297033493,0.6652787502025199,False
d[betan]/d[t],dot beta_N,log10_condition_number,bootstrap_sd,-0.05869910100475939,0.6504176105832201,0.9229704297033493,0.7805011326998641,False
d[betan]/d[t],dot beta_N,log10_condition_number,loo_influence,-0.11208481277227972,0.3857593877920724,0.9229704297033493,0.5445858147974472,False
d[betan]/d[t],dot beta_N,normalized_sigma_7,abs_coefficient,0.07960011080053386,0.5385589882591828,0.9229704297033493,0.6652787502025199,False
d[betan]/d[t],dot beta_N,normalized_sigma_7,bootstrap_sd,0.05869910100475939,0.6504176105832201,0.9229704297033493,0.7805011326998641,False
d[betan]/d[t],dot beta_N,normalized_sigma_7,loo_influence,0.11208481277227972,0.3857593877920724,0.9229704297033493,0.5445858147974472,False
d[betan]/d[t],dot beta_N,max_vif,abs_coefficient,-0.31313741784392235,0.013207015890563965,0.9229704297033493,0.05042678794578969,False
d[betan]/d[t],dot beta_N,max_vif,bootstrap_sd,-0.15605247916194506,0.22582307977914576,0.9229704297033493,0.4311167886692783,False
d[betan]/d[t],dot beta_N,max_vif,loo_influence,-0.14139659036538993,0.27298311703033673,0.9229704297033493,0.48744971689623223,False
d[betan]/d[t],dot beta_N,weak_direction_abs_loading,abs_coefficient,0.6907657827805898,5.193750070186284e-10,0.9229704297033493,2.1813750294782394e-08,True
d[betan]/d[t],dot beta_N,weak_direction_abs_loading,bootstrap_sd,0.23416685553121303,0.06697097226341119,0.9229704297033493,0.18676821551223494,False
d[betan]/d[t],dot beta_N,weak_direction_abs_loading,loo_influence,0.14477097026012944,0.2615838058954237,0.9229704297033493,0.48744971689623223,False
d[li]/d[betan],D_betaN l_i,log10_condition_number,abs_coefficient,-0.21140238221147792,0.09906408016758297,0.8711217669176607,0.23114952039102693,False
d[li]/d[betan],D_betaN l_i,log10_condition_number,bootstrap_sd,-0.2578882425524414,0.04300518935929417,0.8711217669176607,0.13893984254541192,False
d[li]/d[betan],D_betaN l_i,log10_condition_number,loo_influence,-0.10770315529702099,0.40471823725910205,0.8711217669176607,0.5483279343510415,False
d[li]/d[betan],D_betaN l_i,normalized_sigma_7,abs_coefficient,0.21140238221147792,0.09906408016758297,0.8711217669176607,0.23114952039102693,False
d[li]/d[betan],D_betaN l_i,normalized_sigma_7,bootstrap_sd,0.2578882425524414,0.04300518935929417,0.8711217669176607,0.13893984254541192,False
d[li]/d[betan],D_betaN l_i,normalized_sigma_7,loo_influence,0.10770315529702099,0.40471823725910205,0.8711217669176607,0.5483279343510415,False
d[li]/d[betan],D_betaN l_i,max_vif,abs_coefficient,-0.012162876784769962,0.9252481776341371,0.8711217669176607,0.971510586515844,False
d[li]/d[betan],D_betaN l_i,max_vif,bootstrap_sd,-0.015889803832691195,0.9024413641680908,0.8711217669176607,0.9595579062040459,False
d[li]/d[betan],D_betaN l_i,max_vif,loo_influence,-0.12472614640779633,0.3341009450707821,0.8711217669176607,0.5397015266528018,False
d[li]/d[betan],D_betaN l_i,weak_direction_abs_loading,abs_coefficient,0.040114829644179194,0.7568948510684351,0.8711217669176607,0.8477222331966473,False
d[li]/d[betan],D_betaN l_i,weak_direction_abs_loading,bootstrap_sd,0.13001435370552242,0.3138468256697862,0.8711217669176607,0.5329620299761244,False
d[li]/d[betan],D_betaN l_i,weak_direction_abs_loading,loo_influence,0.11132935458689029,0.3889898677124623,0.8711217669176607,0.5445858147974472,False
