canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,noise_seed,trajectory_id,representation_id,representation_label,support_scope,rmse,estimator,cohort
canonical,0.0,0.0,0,,conf_019,C0_poly2,quadratic (10->65),native,2.266708479335589,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C0_poly2,quadratic (10->65),native,2.3457947264042813,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_021,C0_poly2,quadratic (10->65),native,2.0525032484890264,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_022,C0_poly2,quadratic (10->65),native,1.985861678680239,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_023,C0_poly2,quadratic (10->65),native,2.3183526086875608,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_000,C0_poly3,cubic (10->285),native,2.6222604759552963,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_001,C0_poly3,cubic (10->285),native,2.095646007624628,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_002,C0_poly3,cubic (10->285),native,1.6475096574480208,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_003,C0_poly3,cubic (10->285),native,2.266754299165407,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_004,C0_poly3,cubic (10->285),native,2.3197695190842693,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_005,C0_poly3,cubic (10->285),native,2.402188918253843,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_006,C0_poly3,cubic (10->285),native,2.3576192366133126,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_007,C0_poly3,cubic (10->285),native,2.712618037419244,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_008,C0_poly3,cubic (10->285),native,2.14326266046592,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_009,C0_poly3,cubic (10->285),native,2.2585605464806022,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_010,C0_poly3,cubic (10->285),native,2.543109538480957,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_011,C0_poly3,cubic (10->285),native,2.3222732924975213,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_012,C0_poly3,cubic (10->285),native,2.1588016519377584,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_013,C0_poly3,cubic (10->285),native,2.2511633113017973,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_014,C0_poly3,cubic (10->285),native,2.646667393921677,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_015,C0_poly3,cubic (10->285),native,2.720806969979796,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_016,C0_poly3,cubic (10->285),native,2.308238719941107,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_017,C0_poly3,cubic (10->285),native,2.265145786687631,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_018,C0_poly3,cubic (10->285),native,2.185374893990934,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_019,C0_poly3,cubic (10->285),native,2.305777214289217,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C0_poly3,cubic (10->285),native,2.3582234834458493,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_021,C0_poly3,cubic (10->285),native,2.0699069929802807,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_022,C0_poly3,cubic (10->285),native,2.015563669096885,pysindy.STLSQ,confirmation_24
