shot,filename,size_bytes,sha256,original_path,redistributable,bundled_in_package
170394,shot_170394_resampled.npz,18785484,b949d668b69928b728a3358ecacedc619a93e4b8e708acc28012c5ce7faa37c7,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_170394_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
170396,shot_170396_resampled.npz,18608819,9de7318d8d5fdea29d8030f54c25bacca94de492cc8c0289a1229570880d31a0,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_170396_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
170411,shot_170411_resampled.npz,18605857,8bb249051c12eb0ce309de7c59deca70b6dbcecf0ea1e725e515ec1c687b4578,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_170411_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
186997,shot_186997_resampled.npz,21851641,9f0cf977017ea0486f376187f2e158d3c554cff6f2b00970010a69e5ff021884,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_186997_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
187017,shot_187017_resampled.npz,20817968,5c93b31fd56916fb8302f5b9b34358d88a0c34d26093aee22ba5a9ffe5f8774d,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_187017_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
187018,shot_187018_resampled.npz,19765079,b3ef4653a7b35a6f3402b25c14f52ef3e5d710d27c6723fded8c89652a24c701,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_187018_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
187019,shot_187019_resampled.npz,20191009,136b28cca9c45eb44959c5d144bdefd4585002b73f158ded4f35f3c30674a845,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_187019_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
187020,shot_187020_resampled.npz,21072947,e67decd5c5d6fe62b37a84335be4c5c803ed4fd8cf67d175234a43bd72fa6c39,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_187020_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
187021,shot_187021_resampled.npz,19634859,b40bcb7bcb62e537ba634c0debbc17dedd29f330d08ba0ea08a40d3989995e61,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_187021_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
187022,shot_187022_resampled.npz,20383957,92ab01e2b6231c53cc2dff787933e4aa32f76658873b06b55a75fbe105a0a8f0,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_187022_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
187024,shot_187024_resampled.npz,20690306,2e43a9f5c1969265c72c0b2996e3129b79e6c649611263bda80702f0ed5cc628,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_187024_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
189646,shot_189646_resampled.npz,17638714,65006b4736d707a363e3b08ef1679b20bb3c882ea83e0a1d5cd190d317f949ec,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_189646_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
189647,shot_189647_resampled.npz,17609393,261bb7fca329d8c860a9d322c7d0cf755ec05fb223307b30ef26f9eb8f81423f,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_189647_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
189649,shot_189649_resampled.npz,17123650,c181c3fe58eeeb030a42b86cd8d23e2d4b9c4a1310bdd8e55b7717795a7169ed,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_189649_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
189650,shot_189650_resampled.npz,17431088,590ee7ac095c0f6f7ebd54e3ff81831678efdc5fb2a60c4e19824632d9ffe5ac,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_189650_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
189651,shot_189651_resampled.npz,17144256,79dbb19645cad6009f039c667d6d1eeb53eb87ff55fbb34b20f93b92eaf496b9,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_189651_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
189652,shot_189652_resampled.npz,16760924,c3e6e9b3d5e7c3bc684c57525d80d6a01f3238cb03f9b5f7fc91fe4a233c3454,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_189652_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195261,shot_195261_resampled.npz,21575459,30b8ed10385e8121cb3e72810193b0311d39aba33db6d8ba3dd2edc6dc74ebd1,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195261_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195264,shot_195264_resampled.npz,20375651,c3652995b1b3b9b6906ab26cfb4f32a6a78970eb172632c1cef2faf249a2818b,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195264_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195265,shot_195265_resampled.npz,20991221,b83b540ee70f32ba14f9c3d4fb8258f9209028e5e50f1e940865ceb45efa88e8,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195265_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195266,shot_195266_resampled.npz,21295952,4e822b576739cb8e0a25b4e4e90daa4291cc3adda48e28c825b434c89cc4de77,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195266_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195267,shot_195267_resampled.npz,22099629,c5cc3a2cdd9592ca8499cecd414ca7e72b788746f8c4bbae5ce54d858e80f918,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195267_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195268,shot_195268_resampled.npz,22137776,1216f687d7ad369671b7268a3ed2ea54d4ee9f654f57c24000fe8152938bb134,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195268_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195269,shot_195269_resampled.npz,21279352,d2f72200f4a46404aea2a3b86d9e3bef31051c28600ca903fb4bc45ef198ae5e,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195269_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195273,shot_195273_resampled.npz,21758385,777b203020f169663f02e5c032bf9d48b5adf4b8af59194855b9e75448e95f73,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195273_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195274,shot_195274_resampled.npz,21456098,06c4fd0e72623097376a0971592478204c32fb7510f3c4505a9222161e330708,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195274_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195626,shot_195626_resampled.npz,19932768,956e3d01f4811b37150295a82006c262787364c4031f9705f00dfedfcf43e540,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195626_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195638,shot_195638_resampled.npz,19159596,8292cb9f914b5374c5338ef5a089fcccdbb83f46afda83cbb7eb0fa23fd7746f,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195638_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195642,shot_195642_resampled.npz,18952557,77dfb05802d4e803a9e82f730e5862d1528a64c23d9bcaec1d6974dc1b0560e1,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195642_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195645,shot_195645_resampled.npz,19129261,7d98696abd9f92636c4a7ffa6e5271416e6d82e7e95aed40cdca3c66cd66a3b2,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195645_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195647,shot_195647_resampled.npz,18497655,c772dc5e357010d4ce47446563066799c69b77e8fa8ad1a2495f6b1a83377638,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195647_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195648,shot_195648_resampled.npz,18602835,5d7ce13f5bce18044e559cb368aebfb4740f781acd30759974c55cf97e3b6f3b,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195648_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195649,shot_195649_resampled.npz,19007495,556336ce2a286c9c5187accaa5daecb434ed913b0f98ab678967c809ae9142da,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195649_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195650,shot_195650_resampled.npz,18775330,675573ee70402305123ee4cb7e17fba78c1e318499b6a25555c4f480bffdf336,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195650_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195651,shot_195651_resampled.npz,18765695,6b7f57ba0262940cf98e2153455a5cf2ffee0400bb4c8de28d64dc5d0efb234d,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195651_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195652,shot_195652_resampled.npz,18913254,95d069b188d9918aa6f108058d5532df110b8e0d4d655c51927978857d7a32d1,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195652_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195655,shot_195655_resampled.npz,17798689,fbba2eadb6dda12a502bd1526148afaec3d28ebe041d9aac13b20b09651fceca,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195655_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
195659,shot_195659_resampled.npz,15201271,9b1af0974dc2e00f57d18b6dc6c177450667aeed13ce95f467107c5d40aacec8,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_195659_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
