shot_id,era,block,denominator,used_by,finite,rms,no_sign_change,eta,eta_threshold,admissible,failure_reasons
160721,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.582534549694162e+19,True,0.1794244732834973,0.05,True,
160721,earlier,B,cerqtit10,RECIP(cerqtit10),True,1440.4433199674122,True,0.18571845505468068,0.05,True,
160721,earlier,B,ece22,"RATIO(ip,ece22)",True,3534.902117661459,True,0.31844120653481767,0.05,True,
160721,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.863481990164694e+19,True,0.16182043501822693,0.05,True,
160721,earlier,C,cerqtit10,RECIP(cerqtit10),True,1486.1144963203205,True,0.18001096728452992,0.05,True,
160721,earlier,C,ece22,"RATIO(ip,ece22)",True,3522.195886947208,True,0.31958997496480496,0.05,True,
160721,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.204493870345077e+19,True,0.14460002735639835,0.05,True,
161136,earlier,A,cerqtit10,RECIP(cerqtit10),True,624.412670834531,True,0.4580304234021379,0.05,True,
161136,earlier,A,ece22,"RATIO(ip,ece22)",True,2064.25009712987,True,0.7908666964565619,0.05,True,
161136,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.7855383829524242e+19,True,0.3761969320469925,0.05,True,
161136,earlier,B,cerqtit10,RECIP(cerqtit10),True,641.3228642153283,True,0.4459532256813062,0.05,True,
161136,earlier,B,ece22,"RATIO(ip,ece22)",True,2023.883409497604,True,0.8066406628544333,0.05,True,
161136,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.068290136669756e+19,True,0.34152930364767214,0.05,True,
