shot_id,era,comparator,NRMSE_REL,NRMSE_comparator,d_s,class
155537,earlier,B0,0.0881634176028925,0.6240865199904772,-0.5359231023875847,WIN
159310,earlier,B0,0.1024085998029482,0.2990341728226806,-0.19662557301973238,WIN
160717,earlier,B0,0.3667649468845722,1.5544479434454168,-1.1876829965608446,WIN
160719,earlier,B0,0.1743859588532056,0.9513685675116084,-0.7769826086584027,WIN
160721,earlier,B0,0.1477670102128884,0.8425905412686653,-0.6948235310557769,WIN
161136,earlier,B0,0.3507506315519817,1.2135362702776442,-0.8627856387256625,WIN
161145,earlier,B0,0.1348071042439103,0.7420008324067523,-0.607193728162842,WIN
161414,earlier,B0,0.1316860054311389,0.6572331457657089,-0.52554714033457,WIN
165017,earlier,B0,0.2002137627391678,0.4655749162132672,-0.2653611534740994,WIN
165026,earlier,B0,0.1649247648569792,0.8773247749317395,-0.7124000100747603,WIN
165027,earlier,B0,0.1190299581843449,0.8372644571711064,-0.7182344989867615,WIN
165029,earlier,B0,0.1546676472311377,0.5691302755725592,-0.41446262834142156,WIN
165031,earlier,B0,0.3144382275033943,0.7517315499643177,-0.4372933224609234,WIN
165043,earlier,B0,0.1597994106811542,0.905154990182588,-0.7453555795014338,WIN
165860,earlier,B0,0.1011016505227557,0.9149293351920438,-0.8138276846692881,WIN
165955,earlier,B0,0.1935103166218603,0.3274974086405586,-0.1339870920186983,WIN
165965,earlier,B0,0.1897777329274167,0.4746419449827948,-0.28486421205537804,WIN
170394,earlier,B0,0.2196926846708603,1.0902439055254372,-0.8705512208545768,WIN
170411,earlier,B0,0.1236438541971501,0.8100163335388076,-0.6863724793416576,WIN
186997,earlier,B0,0.2431984910921842,1.0217782057536906,-0.7785797146615064,WIN
187018,earlier,B0,0.3085991152311767,1.7027787494803033,-1.3941796342491266,WIN
187019,earlier,B0,11.952633158377472,1.2063721657860962,10.746260992591376,LOSS
187021,earlier,B0,0.2339909427410042,1.1415465930682869,-0.9075556503272827,WIN
187022,earlier,B0,11.766571685014748,0.9835375611479736,10.783034123866774,LOSS
189646,later,B0,0.2402300600201362,1.1006477448202614,-0.8604176848001253,WIN
189649,later,B0,0.1374895379814073,1.1461750536735713,-1.008685515692164,WIN
189650,later,B0,0.1699439778423281,1.3105101549259377,-1.1405661770836095,WIN
189652,later,B0,0.1781385530057603,1.3035710522709736,-1.1254324992652134,WIN
195261,later,B0,0.1697792788135332,0.8312987937603137,-0.6615195149467805,WIN
195265,later,B0,0.1880751743690242,1.1131575026295566,-0.9250823282605324,WIN
195266,later,B0,0.2512944925106523,1.2670768773451366,-1.0157823848344845,WIN
195268,later,B0,0.2617329850600386,1.1143911581698185,-0.8526581731097799,WIN
195269,later,B0,0.2077212378630986,0.6520366256886133,-0.4443153878255147,WIN
195274,later,B0,0.499649267736147,0.8847909665477434,-0.3851416988115964,WIN
195626,later,B0,0.1402416861252779,0.517077578402707,-0.3768358922774291,WIN
195642,later,B0,0.0801776221388742,0.9026993135002748,-0.8225216913614006,WIN
195645,later,B0,0.1211655672429321,0.8204103931914547,-0.6992448259485226,WIN
195648,later,B0,0.0504973280382959,1.0139877619865232,-0.9634904339482273,WIN
195649,later,B0,0.1013440042194344,0.934962296383756,-0.8336182921643216,WIN
