comparator,full_cohort_mean_delta,lodo_min,lodo_max,lodo_range,most_influential_shot,n_lodo_cohorts_meeting_minus_0.01
B0,-0.18009502685176143,-0.4474884207717256,-0.15048320715914287,0.29700521361258275,187022,42
B1,0.5320905620084037,0.25786868567959575,0.5513708560302882,0.2935021703506925,187019,0
B1A,0.3919191033039335,0.11789222310022617,0.41521599459823527,0.2973237714980091,187019,0
B2,0.46195848366685044,0.19900800320146078,0.491673501662717,0.2926654984612562,187019,0
B3,0.4364008518255257,0.1761521295287256,0.48215682246393765,0.30600469293521204,187019,0
H0,0.45956438466937766,0.19650134893484128,0.48864402124524026,0.292142672310399,187019,0
