shot_id,era,block,max_abs_z_protected,worst_coordinate,worst_constructor,mean_abs_z_protected,n_coordinates_above_10_sigma,REL_nrmse_discharge
189649,later,A,1.4300046547537686,"PROD(prmtan_neped,prmtan_neped)",C2,0.8082272045754929,0,0.1374895379814073
189649,later,B,6.472199062255245,"RATIO(ip,ece22)",C3,1.0031517235337424,0,0.1374895379814073
189649,later,C,2.1574531042079657,"PROD(prmtan_neped,prmtan_neped)",C2,0.5988296876571777,0,0.1374895379814073
189650,later,A,2.5356111220205304,"PROD(prmtan_neped,prmtan_neped)",C2,1.3233488612224276,0,0.1699439778423281
189650,later,B,2.687208360683576,"RATIO(ip,ece22)",C3,0.8726691090388706,0,0.1699439778423281
189650,later,C,1.957306193466278,"RATIO(ip,ece22)",C3,0.6273205173262456,0,0.1699439778423281
189652,later,A,3.0533312521068763,"PROD(prmtan_neped,prmtan_neped)",C2,1.4019889477487921,0,0.1781385530057603
189652,later,B,2.2101050087483203,"PROD(pinj,cerqrott6)",C2,0.9128306761505184,0,0.1781385530057603
189652,later,C,1.9140468003768933,"PROD(prmtan_neped,prmtan_neped)",C2,0.5212825824419455,0,0.1781385530057603
195261,later,A,4.564517842553806,"RATIO(fs03da,prmtan_neped)",C3,0.8285619466493767,0,0.1697792788135332
195261,later,B,3.38899342450554,"RATIO(fs03da,prmtan_neped)",C3,0.5859934325654927,0,0.1697792788135332
195261,later,C,4.879687984776351,"RATIO(fs03da,prmtan_neped)",C3,0.5735266285159839,0,0.1697792788135332
195265,later,A,4.380545274191293,"RATIO(fs03da,prmtan_neped)",C3,0.7627113783039177,0,0.1880751743690242
195265,later,B,5.811945242364777,"RATIO(fs03da,prmtan_neped)",C3,0.7340029033813414,0,0.1880751743690242
195265,later,C,4.924226929788022,"PROD(prmtan_neped,prmtan_neped)",C2,0.9256600533215701,0,0.1880751743690242
195266,later,A,1.9620299757881954,"PROD(pinj,cerqrott6)",C2,0.7384107919204572,0,0.2512944925106523
195266,later,B,8.933792142928024,"RATIO(fs03da,prmtan_neped)",C3,0.791365230589583,0,0.2512944925106523
195266,later,C,5.650189347786854,"RATIO(fs03da,prmtan_neped)",C3,0.8738288567500603,0,0.2512944925106523
