shot_id,era,n_eligible_blocks,blocks,evaluable,REL_nrmse,REL_mse,REL_rmse,B0_nrmse,B0_mse,B0_rmse,B1_nrmse,B1_mse,B1_rmse,B1A_nrmse,B1A_mse,B1A_rmse,B2_nrmse,B2_mse,B2_rmse,B3_nrmse,B3_mse,B3_rmse,H0_nrmse,H0_mse,H0_rmse,S_pers_REL,S_pers_undefined
155537,earlier,3,ABC,True,0.08816341760289252,5.217410751727017e+35,6.581304909987718e+17,0.6240865199904772,2.649377761035848e+37,4.676052398177543e+18,0.09285395380123178,5.61593481831348e+35,6.933289739289755e+17,0.33291157424737366,7.615597381940339e+36,2.500714603615957e+18,0.08318839591810791,4.362609898055869e+35,6.187688641605649e+17,0.05430230694410431,1.5421318900251044e+35,3.925238424490196e+17,0.08192417227994285,4.07183452574623e+35,6.079114780002625e+17,0.0709630861965993,False
159310,earlier,3,ABC,True,0.10240859980294825,8.619148203806149e+35,8.85866372386751e+17,0.2990341728226806,6.825599939842438e+36,2.557749495627734e+18,0.10166566910684167,1.2006271735508073e+36,9.18106130500252e+17,0.11571171116456182,9.20821750411546e+35,9.560304209808462e+17,0.08399593481170879,5.860337844030992e+35,7.276311846973134e+17,0.11884061606972555,1.4322758594187488e+36,1.0586995820416614e+18,0.08489700535878769,5.9359178708093206e+35,7.345475022901946e+17,0.2821128495438463,False
160717,earlier,3,ABC,True,0.3667649468845722,1.8654268922019378e+37,3.9064307604376837e+18,1.5544479434454168,3.171426571071894e+38,1.6526581329173322e+19,0.1731689681899915,4.6410115659060363e+36,1.872012879926529e+18,0.2910103741430942,9.129315002586034e+36,3.00710677470027e+18,0.49653639963849017,4.935683719934539e+37,5.490953594827818e+18,0.5825744451608965,1.0060681161042708e+38,6.660697148365688e+18,0.5005732749222361,4.826737412113994e+37,5.518044262692823e+18,-3.019440300269456,False
160719,earlier,3,ABC,True,0.1743859588532056,3.139256616669928e+36,1.6306725808522322e+18,0.9513685675116085,7.809596129261076e+37,8.830775188950893e+18,0.09170482991659971,7.925319437589436e+35,8.569094973421208e+17,0.23292255562363529,4.783789365459503e+36,2.169568932015106e+18,0.1945533117765101,3.4925787564912e+36,1.801325099307873e+18,0.1742580653470025,4.149496992721086e+36,1.6490447967745016e+18,0.18263713946306118,3.0481188078033786e+36,1.6910968202966868e+18,-2.961047427035653,False
160721,earlier,3,ABC,True,0.14776701021288843,1.556448675420616e+36,1.2300409781118031e+18,0.8425905412686653,4.921170920842228e+37,6.970635563326353e+18,0.14959738770490746,1.8160681117553725e+36,1.2012134318413888e+18,0.3069642225599076,8.22111109677249e+36,2.60574454713903e+18,0.20801724138260227,5.400916367099369e+36,1.795300418299563e+18,0.23754279782639887,4.5484915140281404e+36,1.975007766925192e+18,0.2075278620051441,5.396808033241246e+36,1.7907907778533768e+18,0.14295688286923003,False
161136,earlier,3,ABC,True,0.3507506315519817,3.893112944178119e+36,1.837177410114691e+18,1.2135362702776442,4.309591455555179e+37,6.492837085652508e+18,0.6091521244408399,1.081725651098671e+37,3.2624584604197985e+18,0.4352324382730918,9.148737826697667e+36,2.670849176436331e+18,0.3156553616512298,3.3066792641898236e+36,1.6839725359580803e+18,0.6648288343287756,1.3023886794576414e+37,3.476797936722194e+18,0.3263262280495477,3.4661026597332907e+36,1.7384491720963679e+18,0.6401016338824894,False
161145,earlier,3,ABC,True,0.13480710424391038,1.4079245699511085e+36,1.0854422419568835e+18,0.7420008324067523,3.925833398374405e+37,6.207958807217745e+18,0.09493236808041135,7.819145331238085e+35,7.633100552825489e+17,0.2993731457335233,8.572145946271358e+36,2.594482540826303e+18,0.08717104427871192,6.971518611603995e+35,6.908834203685453e+17,0.10318210364110249,1.046855193484204e+36,8.190023826152186e+17,0.0835039791550174,6.18431918988679e+35,6.638019230493692e+17,-0.8006118447835238,False
161414,earlier,3,ABC,True,0.13168600543113892,7.008290753018293e+35,8.05744271490134e+17,0.6572331457657089,1.6304076512983984e+37,3.949882649564315e+18,0.2099593209737157,2.054820921685918e+36,1.274481751930214e+18,0.20750279914216996,1.6116853066654418e+36,1.2519883242773156e+18,0.1685029894296605,1.1888552911263507e+36,1.0361539347733572e+18,0.1600151547785339,1.1413049125782293e+36,9.65029617527571e+17,0.16865752168282921,1.199622791722036e+36,1.0379967719059309e+18,0.6589342322216476,False
165017,earlier,3,ABC,True,0.20021376273916783,7.497041130322574e+36,2.377856603890389e+18,0.4655749162132672,3.7106558883846384e+37,5.468958771160509e+18,0.3533484427576376,3.601561560753109e+37,4.3470830307380613e+18,0.5741594632662979,1.0493703458661858e+38,7.153851924284596e+18,0.20023879250492171,8.28166541426878e+36,2.3982694111801426e+18,0.21981565571426853,7.61869739897767e+36,2.564588510775835e+18,0.21686337072376258,1.0291667799117718e+37,2.608786346226574e+18,0.7918391507722862,False
165026,earlier,3,ABC,True,0.16492476485697927,3.056754903354854e+36,1.7249171771679273e+18,0.8773247749317395,9.312624431001486e+37,9.212582704585848e+18,0.12688897082435938,2.2544478637289116e+36,1.3392964713066483e+18,0.23734684641906578,6.587591155218011e+36,2.4891890162475325e+18,0.20319198495892696,6.269709465835727e+36,2.1549692383047032e+18,0.18699566066533765,5.672409105130467e+36,1.9868864832961994e+18,0.18665210931308285,5.061449695653068e+36,1.9772968808646676e+18,-0.3558773979802341,False
165027,earlier,3,ABC,True,0.11902995818434499,1.9051306967680312e+36,1.2332818471245274e+18,0.8372644571711064,8.010714080930547e+37,8.650598441328348e+18,0.07940256579346183,6.839716029227351e+35,8.102185953969628e+17,0.28879041166489117,1.0775287610293009e+37,3.0097190601838843e+18,0.18411756594559334,7.049939956377158e+36,1.9456365034636137e+18,0.0937526734713824,1.2622576908215768e+36,9.778081672349297e+17,0.1663786701395826,5.380343981028997e+36,1.7535271020661614e+18,-1.7853944354225542,False
165029,earlier,3,ABC,True,0.15466764723113777,2.845139154410136e+36,1.4475485424711928e+18,0.5691302755725592,3.2438687100857647e+37,5.24784792858832e+18,0.10415192419369418,9.966459903997863e+35,9.537553715203656e+17,0.2602107746301181,6.241929783650175e+36,2.3879268674228014e+18,0.1693874470854998,2.640675442867807e+36,1.545824804961332e+18,0.11288141717992846,1.208741409974201e+36,1.0318643600449229e+18,0.17858822926584925,2.9359278333996665e+36,1.6270788267337103e+18,-1.8547138922104733,False
165031,earlier,3,ABC,True,0.3144382275033943,1.3463658918455654e+37,3.2000643898367974e+18,0.7517315499643177,6.116845113038646e+37,7.523714711725253e+18,0.5653403261116127,6.177251904735691e+37,5.651639591069998e+18,0.8776916672658365,1.2547253348187429e+38,8.860651123083044e+18,0.18409612427663172,4.2726104964888216e+36,1.8642485207464223e+18,0.15479888370769235,2.895755005728971e+36,1.554507763893724e+18,0.19624283567772105,4.8963961839763127e+36,1.9885593563670065e+18,0.7820445219639828,False
165043,earlier,3,ABC,True,0.15979941068115422,2.677186535773706e+36,1.5593103680468705e+18,0.9051549901825879,7.756855902198376e+37,8.753556332104111e+18,0.17773415706201234,4.631568211771704e+36,1.706519204909019e+18,0.24620489483670346,6.501210787454485e+36,2.408073192110307e+18,0.39580846943764675,2.712607255639576e+37,3.815453761033748e+18,0.25750101609101533,1.17758230778373e+37,2.481717176166925e+18,0.39088959728834594,2.6372939982996204e+37,3.7673747416834954e+18,0.4219697490432496,False
165860,earlier,3,ABC,True,0.10110165052275576,1.1455473699485947e+36,1.0164030263220973e+18,0.9149293351920438,9.291721608845493e+37,9.223604418583914e+18,0.10930988933174601,1.2506683861051223e+36,1.0859169371942458e+18,0.27003945860381157,1.013078021527723e+37,2.7541241163982054e+18,0.12246236326327085,2.4514019263243982e+36,1.239293317575619e+18,0.08017532821565565,9.792058143144667e+35,8.088937853467679e+17,0.12355405467945939,2.4946130643391207e+36,1.2502517944755702e+18,0.08405186964379852,False
165955,earlier,3,ABC,True,0.19351031662186038,3.192202690479115e+36,1.7218783458957373e+18,0.32749740864055865,2.1388419617675615e+37,3.1951962880038113e+18,0.21626853812628502,9.344318921490025e+36,2.1319075556600886e+18,0.41243119476763895,3.187893732890254e+37,4.0572046255766636e+18,0.14229754509525117,2.1073721719190638e+36,1.310370307574409e+18,0.13292260509061313,1.6120373273420932e+36,1.2010367788876618e+18,0.1393367962789394,2.139674963134079e+36,1.2927648204897912e+18,0.6583803787841935,False
165965,earlier,3,ABC,True,0.18977773292741673,6.438435095605105e+36,1.9389210632572762e+18,0.4746419449827948,2.422928892720837e+37,4.630916013571788e+18,0.14795028225614762,2.672355856160443e+36,1.4581846618718088e+18,0.38120121528085393,1.8063559845054536e+37,3.7773374598639877e+18,0.08814616596358062,7.039930607148724e+35,8.366419420059684e+17,0.11328155533361949,1.3077743662449619e+36,1.0996803869112248e+18,0.08886526935423894,7.13409348248696e+35,8.427755775677788e+17,-1.4092731066347004,False
170394,earlier,3,ABC,True,0.21969268467086037,8.092635089503855e+36,2.6098936243928253e+18,1.0902439055254372,1.6909231374852663e+38,1.2834422615429597e+19,0.2206892587272621,9.437979356358065e+36,2.6307639514686326e+18,0.1762266875212313,4.5821245607562296e+36,2.0874403110389955e+18,0.17702241909463048,6.159859266589671e+36,2.1121046192270694e+18,0.26774635498645366,1.281447058972565e+37,3.1635481780966584e+18,0.17065460499989527,5.714865886791142e+36,2.0366606897130796e+18,0.14254579460887395,False
